pattern,school,item_id,item_name,stored_label,stored_grade,correct_subject_dim,correct_grade_dim,session,standards_majority_family,n_rows,standards_sample
cube_label_contradicts_standards,Athenian Academy of Technology and the Arts,7789640645,Chapter 16 Temperature and Time,ELA,Grade 3,Math,Grade 4,2024-25,Math,24,MA.4.M.1.1 | MA.4.M.1.2 | MA.4.M.2.1
cube_label_contradicts_standards,Athenian Academy of Technology and the Arts,8325672509,Module 15 Test,ELA,Grade K,Math,Grade 6,2025-26,Math,92,MA.5.DP.1.1 | MA.5.DP.1.2 | MA.6.DP.1.2 | MA.6.DP.1.3 | MA.6.DP.1.4 | MA.6.DP.1.5 | MA.6.DP.1.6 | MA.6.MAFS.6.SP.1.2 | MA.6.MAFS.6.SP.1.3 | MA.6.MAFS.6.SP.2.4 | MA.6.MAFS.6.SP.2.5.c | MA.6.MAFS.6.SP.2.5.d
cube_label_contradicts_standards,Central Florida Preparatory School,7997317688,Unit 11 Test: Organisms and Their Environment,ELA,Grade 5,Science,Grade 4,2025-26,Science,20,SCI.4.SC.4.L.17.1 | SCI.4.SC.4.L.17.2 | SCI.4.SC.4.L.17.3 | SCI.4.SC.4.L.17.4
cube_label_contradicts_standards,Central Florida Preparatory School,7997342490,Unit 7 Benchmark Test: Working With Electricity,ELA,Grade 1,Science,Grade 5,2025-26,Science,22,SCI.5.SC.5.N.1.1 | SCI.5.SC.5.N.2.1 | SCI.5.SC.5.P.11.1 | SCI.5.SC.5.P.11.2
cube_label_contradicts_standards,Central Florida Preparatory School,8216302399,Topic 3 Assessment A,ELA,Grade 1,HS Honors Algebra I,Higher-Ed,2025-26,Math,24,MA.912.AR.2.4 | MA.912.AR.2.5 | MA.912.AR.4.3 | MA.912.F.1.2 | MA.912.F.2.1 | MA.912.FL.3.2 | MA.912.FL.3.4
cube_label_contradicts_standards,Central Florida Preparatory School,8247281686,Topic 5: World War I and the 1920s,ELA,Higher-Ed,HS United States History,Higher-Ed,2025-26,SocialStudies,36,SOC.9-12.SS.912.A.1.4 | SOC.9-12.SS.912.A.1.7 | SOC.9-12.SS.912.A.3.5 | SOC.9-12.SS.912.A.4.10 | SOC.9-12.SS.912.A.4.5 | SOC.9-12.SS.912.A.4.6 | SOC.9-12.SS.912.A.4.7 | SOC.9-12.SS.912.A.5.1 | SOC.9-12.SS.912.A.5.10 | SOC.9-12.SS.912.A.5.2 | SOC.9-12.SS.912.A.5.3 | SOC.9-12.SS.912.A.5.4 | SOC.9-12.S
cube_label_contradicts_standards,Central Florida Preparatory School,8273780092,Topic 6: The Great Depression and the New Deal (1928-1941),ELA,Higher-Ed,HS United States History,Higher-Ed,2025-26,SocialStudies,33,SOC.9-12.SS.912.A.1.4 | SOC.9-12.SS.912.A.1.6 | SOC.9-12.SS.912.A.1.7 | SOC.9-12.SS.912.A.5.11 | SOC.9-12.SS.912.G.2.1 | SOC.H.PreK-K.1 | SS.912.H.1.5
cube_label_contradicts_standards,Central Florida Preparatory School,8326850838,Topic 7: World War II,ELA,Higher-Ed,HS United States History,Higher-Ed,2025-26,SocialStudies,31,SOC.9-12.SS.912.A.6.1 | SOC.9-12.SS.912.A.6.2 | SOC.9-12.SS.912.A.6.3 | SOC.9-12.SS.912.A.6.4 | SOC.9-12.SS.912.A.6.5 | SOC.9-12.SS.912.A.6.6 | SOC.9-12.SS.912.A.6.9 | SOC.9-12.SS.912.G.4.3
cube_label_contradicts_standards,Central Florida Preparatory School,8347031150,Topic 8: Postwar America (1945?1960),ELA,Higher-Ed,HS United States History,Higher-Ed,2025-26,SocialStudies,31,SOC.9-12.SS.912.A.1.7 | SOC.9-12.SS.912.A.6.10 | SOC.9-12.SS.912.A.6.11 | SOC.9-12.SS.912.A.6.12 | SOC.9-12.SS.912.A.6.13 | SOC.9-12.SS.912.A.6.15 | SOC.9-12.SS.912.A.6.8 | SOC.9-12.SS.912.A.7.1 | SOC.9-12.SS.912.A.7.2 | SOC.9-12.SS.912.G.4.3 | SOC.9-12.SS.912.H.3.1 | SS.912.A.7.17
cube_label_contradicts_standards,Central Florida Preparatory School,8349556979,Chapter 13 Test: Fraction Concepts,ELA,Grade 3,Math,Grade 1,2025-26,Math,8,MA.1.FR.1.1
cube_label_contradicts_standards,Central Florida Preparatory School,8368439603,Topic 9: Civil Rights and Reform in the 1960s (1945–1968),ELA,Higher-Ed,HS United States History,Higher-Ed,2025-26,SocialStudies,34,SOC.9-12.SS.912.A.7.13 | SOC.9-12.SS.912.A.7.4 | SOC.9-12.SS.912.A.7.5 | SOC.9-12.SS.912.A.7.6 | SOC.9-12.SS.912.A.7.7 | SOC.9-12.SS.912.A.7.8
cube_label_contradicts_standards,Central Florida Preparatory School,8371766709,Topic 10: The Vietnam War Era (1954–1975),ELA,Higher-Ed,HS United States History,Higher-Ed,2025-26,SocialStudies,39,SOC.9-12.SS.912.A.6.11 | SOC.9-12.SS.912.A.6.13 | SOC.9-12.SS.912.A.6.14 | SOC.9-12.SS.912.A.6.15 | SOC.9-12.SS.912.A.7.10 | SOC.9-12.SS.912.A.7.9
cube_label_contradicts_standards,Crestwell School,8358079682,Chapter 16 Test: Fraction Concepts,Reading,Grade 3,Math,Grade 2,2025-26,Math,4,MA.2.FR.1.1 | MA.2.FR.1.2
cube_label_mixed_vintage_same_family,Athenian Academy of Technology and the Arts,8325672509,Module 15 Test,ELA+Math,Grade 6+Grade K,Math,Grade 6,2025-26,Math,143,MA.5.DP.1.1 | MA.5.DP.1.2 | MA.6.DP.1.2 | MA.6.DP.1.3 | MA.6.DP.1.4 | MA.6.DP.1.5 | MA.6.DP.1.6 | MA.6.MAFS.6.SP.1.2 | MA.6.MAFS.6.SP.1.3 | MA.6.MAFS.6.SP.2.4 | MA.6.MAFS.6.SP.2.5.c | MA.6.MAFS.6.SP.2.5.d
cube_label_mixed_vintage_same_family,Crestwell School,7929054690,What Makes Us Who We Are?: Weekly Assessment: Week 2,ELA+Reading,Grade 4,Reading,Grade 4,2025-26,ELA,10,ELA.4.C.3.1 | ELA.4.R.1.1 | ELA.4.R.1.3 | ELA.4.R.1.4 | ELA.4.V.1.2 | ELA.4.V.1.3
cube_label_mixed_vintage_same_family,Crestwell School,7929054711,Module Assessment: What Makes Us Who We Are?,ELA+Reading,Grade 4,Reading,Grade 4,2025-26,ELA,21,ELA.4.C.1.2 | ELA.4.C.3.1 | ELA.4.R.1.1 | ELA.4.R.1.2 | ELA.4.R.1.3 | ELA.4.R.1.4 | ELA.4.R.3.1 | ELA.4.V.1.2 | ELA.4.V.1.3
cube_label_mixed_vintage_same_family,Crestwell School,8030067964,Module Assessment: Come to Your Senses,ELA+Reading,Grade 4,Reading,Grade 4,2025-26,ELA,23,ELA.4.C.3.1 | ELA.4.R.1.1 | ELA.4.R.1.2 | ELA.4.R.2.1 | ELA.4.R.3.1 | ELA.4.V.1.2 | ELA.4.V.1.3
cube_label_mixed_vintage_same_family,Crestwell School,8030068554,Module Assessment: Come to Your Senses,ELA+Reading,Grade 4,Reading,Grade 4,2025-26,ELA,23,ELA.4.C.3.1 | ELA.4.R.1.1 | ELA.4.R.1.2 | ELA.4.R.2.1 | ELA.4.R.3.1 | ELA.4.V.1.2 | ELA.4.V.1.3
cube_label_mixed_vintage_same_family,Crestwell School,8076248252,Module Assessment: Natural Disasters,ELA+Reading,Grade 5,Reading,Grade 5,2025-26,ELA,21,ELA.5.C.1.3 | ELA.5.C.3.1 | ELA.5.R.2.1 | ELA.5.R.2.2 | ELA.5.R.3.1 | ELA.5.V.1.2 | ELA.5.V.1.3
cube_label_mixed_vintage_same_family,Crestwell School,8076251173,Module Assessment: Natural Disasters,ELA+Reading,Grade 5,Reading,Grade 5,2025-26,ELA,21,ELA.5.C.1.3 | ELA.5.C.3.1 | ELA.5.R.2.1 | ELA.5.R.2.2 | ELA.5.R.3.1 | ELA.5.V.1.2 | ELA.5.V.1.3
cube_label_mixed_vintage_same_family,Crestwell School,8358079682,Chapter 16 Test: Fraction Concepts,Math+Reading,Grade 2+Grade 3,Math,Grade 2,2025-26,Math,15,MA.2.FR.1.1 | MA.2.FR.1.2
cube_label_stale_vs_dim,Athenian Academy of Technology and the Arts,7789640645,Chapter 16 Temperature and Time,ELA,Grade 3,Math,Grade 4,2024-25,Math,24,MA.4.M.1.1 | MA.4.M.1.2 | MA.4.M.2.1
cube_label_stale_vs_dim,Athenian Academy of Technology and the Arts,8325672509,Module 15 Test,ELA,Grade K,Math,Grade 6,2025-26,Math,92,MA.5.DP.1.1 | MA.5.DP.1.2 | MA.6.DP.1.2 | MA.6.DP.1.3 | MA.6.DP.1.4 | MA.6.DP.1.5 | MA.6.DP.1.6 | MA.6.MAFS.6.SP.1.2 | MA.6.MAFS.6.SP.1.3 | MA.6.MAFS.6.SP.2.4 | MA.6.MAFS.6.SP.2.5.c | MA.6.MAFS.6.SP.2.5.d
cube_label_stale_vs_dim,Central Florida Preparatory School,7997317688,Unit 11 Test: Organisms and Their Environment,ELA,Grade 5,Science,Grade 4,2025-26,Science,20,SCI.4.SC.4.L.17.1 | SCI.4.SC.4.L.17.2 | SCI.4.SC.4.L.17.3 | SCI.4.SC.4.L.17.4
cube_label_stale_vs_dim,Central Florida Preparatory School,7997342490,Unit 7 Benchmark Test: Working With Electricity,ELA,Grade 1,Science,Grade 5,2025-26,Science,22,SCI.5.SC.5.N.1.1 | SCI.5.SC.5.N.2.1 | SCI.5.SC.5.P.11.1 | SCI.5.SC.5.P.11.2
cube_label_stale_vs_dim,Central Florida Preparatory School,8216302399,Topic 3 Assessment A,ELA,Grade 1,HS Honors Algebra I,Higher-Ed,2025-26,Math,24,MA.912.AR.2.4 | MA.912.AR.2.5 | MA.912.AR.4.3 | MA.912.F.1.2 | MA.912.F.2.1 | MA.912.FL.3.2 | MA.912.FL.3.4
cube_label_stale_vs_dim,Central Florida Preparatory School,8247281686,Topic 5: World War I and the 1920s,ELA,Higher-Ed,HS United States History,Higher-Ed,2025-26,SocialStudies,38,SOC.9-12.SS.912.A.1.4 | SOC.9-12.SS.912.A.1.7 | SOC.9-12.SS.912.A.3.5 | SOC.9-12.SS.912.A.4.10 | SOC.9-12.SS.912.A.4.5 | SOC.9-12.SS.912.A.4.6 | SOC.9-12.SS.912.A.4.7 | SOC.9-12.SS.912.A.5.1 | SOC.9-12.SS.912.A.5.10 | SOC.9-12.SS.912.A.5.2 | SOC.9-12.SS.912.A.5.3 | SOC.9-12.SS.912.A.5.4 | SOC.9-12.S
cube_label_stale_vs_dim,Central Florida Preparatory School,8273780092,Topic 6: The Great Depression and the New Deal (1928-1941),ELA,Higher-Ed,HS United States History,Higher-Ed,2025-26,SocialStudies,33,SOC.9-12.SS.912.A.1.4 | SOC.9-12.SS.912.A.1.6 | SOC.9-12.SS.912.A.1.7 | SOC.9-12.SS.912.A.5.11 | SOC.9-12.SS.912.G.2.1 | SOC.H.PreK-K.1 | SS.912.H.1.5
cube_label_stale_vs_dim,Central Florida Preparatory School,8326850838,Topic 7: World War II,ELA,Higher-Ed,HS United States History,Higher-Ed,2025-26,SocialStudies,33,SOC.9-12.SS.912.A.6.1 | SOC.9-12.SS.912.A.6.2 | SOC.9-12.SS.912.A.6.3 | SOC.9-12.SS.912.A.6.4 | SOC.9-12.SS.912.A.6.5 | SOC.9-12.SS.912.A.6.6 | SOC.9-12.SS.912.A.6.9 | SOC.9-12.SS.912.G.4.3
cube_label_stale_vs_dim,Central Florida Preparatory School,8347030584,Topic 8: Sectionalism and Civil War (1820-1865),Civics,Grade 7,History,Grade 8,2025-26,SocialStudies,20,SOC.8.SS.8.A.4.2 | SOC.8.SS.8.A.5.1 | SOC.8.SS.8.A.5.2 | SOC.8.SS.8.A.5.3 | SOC.8.SS.8.A.5.5 | SOC.8.SS.8.A.5.6 | SS.8.CG.3.1
cube_label_stale_vs_dim,Central Florida Preparatory School,8347031150,Topic 8: Postwar America (1945?1960),ELA,Higher-Ed,HS United States History,Higher-Ed,2025-26,SocialStudies,31,SOC.9-12.SS.912.A.1.7 | SOC.9-12.SS.912.A.6.10 | SOC.9-12.SS.912.A.6.11 | SOC.9-12.SS.912.A.6.12 | SOC.9-12.SS.912.A.6.13 | SOC.9-12.SS.912.A.6.15 | SOC.9-12.SS.912.A.6.8 | SOC.9-12.SS.912.A.7.1 | SOC.9-12.SS.912.A.7.2 | SOC.9-12.SS.912.G.4.3 | SOC.9-12.SS.912.H.3.1 | SS.912.A.7.17
cube_label_stale_vs_dim,Central Florida Preparatory School,8349556979,Chapter 13 Test: Fraction Concepts,ELA,Grade 3,Math,Grade 1,2025-26,Math,8,MA.1.FR.1.1
cube_label_stale_vs_dim,Central Florida Preparatory School,8368439603,Topic 9: Civil Rights and Reform in the 1960s (1945–1968),ELA,Higher-Ed,HS United States History,Higher-Ed,2025-26,SocialStudies,34,SOC.9-12.SS.912.A.7.13 | SOC.9-12.SS.912.A.7.4 | SOC.9-12.SS.912.A.7.5 | SOC.9-12.SS.912.A.7.6 | SOC.9-12.SS.912.A.7.7 | SOC.9-12.SS.912.A.7.8
cube_label_stale_vs_dim,Central Florida Preparatory School,8371766709,Topic 10: The Vietnam War Era (1954–1975),ELA,Higher-Ed,HS United States History,Higher-Ed,2025-26,SocialStudies,39,SOC.9-12.SS.912.A.6.11 | SOC.9-12.SS.912.A.6.13 | SOC.9-12.SS.912.A.6.14 | SOC.9-12.SS.912.A.6.15 | SOC.9-12.SS.912.A.7.10 | SOC.9-12.SS.912.A.7.9
cube_label_stale_vs_dim,Crestwell School,8358079682,Chapter 16 Test: Fraction Concepts,Reading,Grade 3,Math,Grade 2,2025-26,Math,4,MA.2.FR.1.1 | MA.2.FR.1.2
dqd_dual_subject_labels,Athenian Academy of Technology and the Arts,7696812668,Unit 3 Lesson 3 Quiz,Science+Social Studies,Grade 1,Science,Grade 1,2024-25,,8,
dqd_dual_subject_labels,Athenian Academy of Technology and the Arts,7701493741,Unit 3 Lesson 3 Quiz,Science+Social Studies,Grade 1,Science,Grade 1,2024-25,,8,
dqd_dual_subject_labels,Athenian Academy of Technology and the Arts,7789287431,M7W2 Vocabulary Quiz,ELA+Math,Grade 3,ELA,Grade 3,2024-25,,27,
dqd_dual_subject_labels,Central Florida Preparatory School,8216302399,Topic 3 Assessment A,HS Honors Algebra I+Math,Higher-Ed,HS Honors Algebra I,Higher-Ed,2025-26,Math,48,MA.912.AR.2.4 | MA.912.AR.2.5 | MA.912.AR.4.3 | MA.912.F.1.2 | MA.912.F.2.1 | MA.912.FL.3.2 | MA.912.FL.3.4
dqd_dual_subject_labels,Central Florida Preparatory School,8368439603,Topic 9: Civil Rights and Reform in the 1960s (1945–1968),ELA+HS United States History,Higher-Ed,HS United States History,Higher-Ed,2025-26,SocialStudies,34,SOC.9-12.SS.912.A.7.13 | SOC.9-12.SS.912.A.7.4 | SOC.9-12.SS.912.A.7.5 | SOC.9-12.SS.912.A.7.6 | SOC.9-12.SS.912.A.7.7 | SOC.9-12.SS.912.A.7.8
dqd_dual_subject_labels,Crestwell School,7929054690,What Makes Us Who We Are?: Weekly Assessment: Week 2,ELA+Reading,Grade 4,Reading,Grade 4,2025-26,ELA,30,ELA.4.C.3.1 | ELA.4.R.1.1 | ELA.4.R.1.3 | ELA.4.R.1.4 | ELA.4.V.1.2 | ELA.4.V.1.3
dqd_dual_subject_labels,Crestwell School,7929054711,Module Assessment: What Makes Us Who We Are?,ELA+Reading,Grade 4,Reading,Grade 4,2025-26,ELA,42,ELA.4.C.1.2 | ELA.4.C.3.1 | ELA.4.R.1.1 | ELA.4.R.1.2 | ELA.4.R.1.3 | ELA.4.R.1.4 | ELA.4.R.3.1 | ELA.4.V.1.2 | ELA.4.V.1.3
dqd_dual_subject_labels,Crestwell School,8030067964,Module Assessment: Come to Your Senses,ELA+Reading,Grade 4,Reading,Grade 4,2025-26,ELA,46,ELA.4.C.3.1 | ELA.4.R.1.1 | ELA.4.R.1.2 | ELA.4.R.2.1 | ELA.4.R.3.1 | ELA.4.V.1.2 | ELA.4.V.1.3
dqd_dual_subject_labels,Crestwell School,8030068539,Come to Your Senses: Weekly Assessment: Week 1,ELA+Reading,Grade 4,Reading,Grade 4,2025-26,ELA,22,ELA.4.C.3.1 | ELA.4.R.2.1 | ELA.4.V.1.1 | ELA.4.V.1.2 | ELA.4.V.1.3
dqd_dual_subject_labels,Crestwell School,8030068554,Module Assessment: Come to Your Senses,ELA+Reading,Grade 4,Reading,Grade 4,2025-26,ELA,46,ELA.4.C.3.1 | ELA.4.R.1.1 | ELA.4.R.1.2 | ELA.4.R.2.1 | ELA.4.R.3.1 | ELA.4.V.1.2 | ELA.4.V.1.3
dqd_dual_subject_labels,Crestwell School,8043769075,Come to Your Senses: Weekly Assessment: Week 2,ELA+Reading,Grade 4,Reading,Grade 4,2025-26,ELA,27,ELA.4.C.3.1 | ELA.4.R.2.1 | ELA.4.R.3.1 | ELA.4.V.1.2 | ELA.4.V.1.3
dqd_dual_subject_labels,Crestwell School,8043771169,Come to Your Senses: Weekly Assessment: Week 2,ELA+Reading,Grade 4,Reading,Grade 4,2025-26,ELA,28,ELA.4.C.3.1 | ELA.4.R.1.3 | ELA.4.R.2.1 | ELA.4.R.3.1 | ELA.4.V.1.2 | ELA.4.V.1.3
dqd_dual_subject_labels,Crestwell School,8067707756,Let Freedom Ring!: Weekly Assessment: Week 2,ELA+Reading,Grade 3,Reading,Grade 3,2025-26,ELA,20,ELA.3.C.3.1 | ELA.3.R.2.1 | ELA.3.V.1.2 | ELA.3.V.1.3
dqd_dual_subject_labels,Crestwell School,8076248252,Module Assessment: Natural Disasters,ELA+Reading,Grade 5,Reading,Grade 5,2025-26,ELA,42,ELA.5.C.1.3 | ELA.5.C.3.1 | ELA.5.R.2.1 | ELA.5.R.2.2 | ELA.5.R.3.1 | ELA.5.V.1.2 | ELA.5.V.1.3
dqd_dual_subject_labels,Crestwell School,8076251173,Module Assessment: Natural Disasters,ELA+Reading,Grade 5,Reading,Grade 5,2025-26,ELA,42,ELA.5.C.1.3 | ELA.5.C.3.1 | ELA.5.R.2.1 | ELA.5.R.2.2 | ELA.5.R.3.1 | ELA.5.V.1.2 | ELA.5.V.1.3
dqd_label_contradicts_standards,Central Florida Preparatory School,8347031150,Topic 8: Postwar America (1945?1960),ELA,Higher-Ed,HS United States History,Higher-Ed,2025-26,SocialStudies,31,SOC.9-12.SS.912.A.1.7 | SOC.9-12.SS.912.A.6.10 | SOC.9-12.SS.912.A.6.11 | SOC.9-12.SS.912.A.6.12 | SOC.9-12.SS.912.A.6.13 | SOC.9-12.SS.912.A.6.15 | SOC.9-12.SS.912.A.6.8 | SOC.9-12.SS.912.A.7.1 | SOC.9-12.SS.912.A.7.2 | SOC.9-12.SS.912.G.4.3 | SOC.9-12.SS.912.H.3.1 | SS.912.A.7.17
dqd_label_contradicts_standards,Central Florida Preparatory School,8368439603,Topic 9: Civil Rights and Reform in the 1960s (1945–1968),ELA,Higher-Ed,HS United States History,Higher-Ed,2025-26,SocialStudies,24,SOC.9-12.SS.912.A.7.13 | SOC.9-12.SS.912.A.7.4 | SOC.9-12.SS.912.A.7.5 | SOC.9-12.SS.912.A.7.6 | SOC.9-12.SS.912.A.7.7 | SOC.9-12.SS.912.A.7.8
no_standards_coverage_gap,Athenian Academy of Technology and the Arts,7338323403,Unit: 3 Civilization in India and China,History,Grade 6,History,Grade 6,2024-25,,0,
no_standards_coverage_gap,Athenian Academy of Technology and the Arts,7338323435,Unit: 6 Islamic and African Civilizations,History,Grade 6,History,Grade 6,2024-25,,0,
no_standards_coverage_gap,Athenian Academy of Technology and the Arts,7445551763,Module 4 Week 3 Vocabulary Quiz,ELA,Grade 2,ELA,Grade 2,2024-25,,0,
no_standards_coverage_gap,Athenian Academy of Technology and the Arts,7445551765,Module 5 Week 2 Vocabulary Quiz,ELA,Grade 2,ELA,Grade 2,2024-25,,0,
no_standards_coverage_gap,Athenian Academy of Technology and the Arts,7445551766,Module 5 Week 3 Vocabulary Quiz,ELA,Grade 2,ELA,Grade 2,2024-25,,0,
no_standards_coverage_gap,Athenian Academy of Technology and the Arts,7445551767,Module 6 Week 1 Vocabulary Quiz,ELA,Grade 2,ELA,Grade 2,2024-25,,0,
no_standards_coverage_gap,Athenian Academy of Technology and the Arts,7445551768,Module 6 Week 2 Vocabulary Quiz,ELA,Grade 2,ELA,Grade 2,2024-25,,0,
no_standards_coverage_gap,Athenian Academy of Technology and the Arts,7445551771,Module 7 Week 1 Vocabulary Quiz,ELA,Grade 2,ELA,Grade 2,2024-25,,0,
no_standards_coverage_gap,Athenian Academy of Technology and the Arts,7445551772,Module 7 Week 2 Vocabulary Quiz,ELA,Grade 2,ELA,Grade 2,2024-25,,0,
no_standards_coverage_gap,Athenian Academy of Technology and the Arts,7445551773,Module 7 Week 3 Vocabulary Quiz,ELA,Grade 2,ELA,Grade 2,2024-25,,0,
no_standards_coverage_gap,Athenian Academy of Technology and the Arts,7598715892,M4W2 Vocabulary Quiz,ELA,Grade 5,ELA,Grade 5,2024-25,,0,
no_standards_coverage_gap,Athenian Academy of Technology and the Arts,7599209632,Chapter 7 Review,Math,Grade 1,Math,Grade 1,2024-25,,0,
no_standards_coverage_gap,Athenian Academy of Technology and the Arts,7606210127,"Unit 4 Weather- Lesson 1, 2, and 3",Science,Grade 2,Science,Grade 2,2024-25,,0,
no_standards_coverage_gap,Athenian Academy of Technology and the Arts,7607478150,Inherited Traits 'Genius Challenge',Science,Grade 1,Science,Grade 1,2024-25,,0,
no_standards_coverage_gap,Athenian Academy of Technology and the Arts,7607484223,Unit 8 Lesson 1 Quiz,Science,Grade 1,Science,Grade 1,2024-25,,0,
no_standards_coverage_gap,Athenian Academy of Technology and the Arts,7608209146,Unit 6 Lesson 1 Quiz- What Are Some Heat Sources?,Science,Grade 3,Science,Grade 3,2024-25,,0,
no_standards_coverage_gap,Athenian Academy of Technology and the Arts,7608230744,"HW Ch. 8.3 pgs. 363-364 #1-15 ODD, 19, 21, 23 - 12/4/24",Math,Grade 3,Math,Grade 3,2024-25,,0,
no_standards_coverage_gap,Athenian Academy of Technology and the Arts,7608232113,"HW Ch. 8.9 pgs. 399-400 #1-17 ODD, #21, 23, 25 - 12/5/24",Math,Grade 3,Math,Grade 3,2024-25,,0,
no_standards_coverage_gap,Athenian Academy of Technology and the Arts,7608233480,CW - Ch. 8.4  pg. 367 #6-24 even - 12/4/24,Math,Grade 3,Math,Grade 3,2024-25,,0,
no_standards_coverage_gap,Athenian Academy of Technology and the Arts,7612731858,CW - Ch. 8.4  pg. 367 #6-24 even - 12/4/24,Math,Grade 3,Math,Grade 3,2024-25,,0,
no_standards_coverage_gap,Athenian Academy of Technology and the Arts,7613262289,Module 4 Week 2 Vocabulary Quiz,ELA,Grade 2,ELA,Grade 2,2024-25,,0,
no_standards_coverage_gap,Athenian Academy of Technology and the Arts,7613415036,HW 8.6  pgs. 331-332  #1-8 (skip #3),Math,Grade 2,Math,Grade 2,2024-25,,0,
no_standards_coverage_gap,Athenian Academy of Technology and the Arts,7613842590,12/5 Reading Classwork,ELA,Grade 4,ELA,Grade 4,2024-25,,0,
no_standards_coverage_gap,Athenian Academy of Technology and the Arts,7613842755,HW 8.6  pgs. 331-332  #1-8 (skip #3),Math,Grade 2,Math,Grade 2,2024-25,,0,
no_standards_coverage_gap,Athenian Academy of Technology and the Arts,7614077179,CW: 12/06 Lesson 2 Brain Check,Science,Grade 4,Science,Grade 4,2024-25,,0,
no_standards_coverage_gap,Athenian Academy of Technology and the Arts,7615718091,"HW Ch. 8.3 pgs. 363-364 #1-15 ODD, 19, 21, 23 - 12/4/24",Math,Grade 3,Math,Grade 3,2024-25,,0,
