school,norm_name,subject,grade,session,assessment_type,n_subject_ids,n_items,students
Athenian Academy of Technology and the Arts,project earth: weekly assessment: week 1,ELA,Grade 5,2024-25,Lesson  Assessments,1,1,18
Athenian Academy of Technology and the Arts,quarter 3 quiz #1,Civics,Grade 8,2024-25,Assessments,1,1,15
Athenian Academy of Technology and the Arts,quarter 3 quiz #1,Civics,Grade 8,2024-25,Lesson  Assessments,1,1,1
Athenian Academy of Technology and the Arts,quarter 4 quiz 2,History,Grade 7,2024-25,Assessments,1,1,1
Athenian Academy of Technology and the Arts,quarter 4 quiz 2,History,Grade 7,2024-25,Lesson  Assessments,1,1,27
Athenian Academy of Technology and the Arts,teamwork: weekly assessment: week 1,ELA,Grade 3,2024-25,Assessments,1,2,39
Athenian Academy of Technology and the Arts,teamwork: weekly assessment: week 1,ELA,Grade 3,2024-25,Lesson  Assessments,1,1,20
Athenian Academy of Technology and the Arts,the big outdoors: weekly assessment: week 2,ELA,Grade 1,2024-25,Assessments,1,2,36
Athenian Academy of Technology and the Arts,the big outdoors: weekly assessment: week 2,ELA,Grade 1,2024-25,Lesson  Assessments,1,1,19
Athenian Academy of Technology and the Arts,tricksters and tall tales: weekly assessment: week 2,ELA,Grade 4,2024-25,Assessments,1,1,20
Athenian Academy of Technology and the Arts,tricksters and tall tales: weekly assessment: week 2,ELA,Grade 4,2024-25,Lesson  Assessments,1,1,21
Athenian Academy of Technology and the Arts,unit 4 benchmark test: day and night,Science,Grade K,2024-25,Assessments,1,3,37
Athenian Academy of Technology and the Arts,unit 4 benchmark test: day and night,Science,Grade K,2024-25,Lesson  Assessments,1,1,20
Athenian Academy of Technology and the Arts,unit 4 benchmark test: earth?s resources,Science,Grade 1,2024-25,Assessments,1,2,35
Athenian Academy of Technology and the Arts,unit 4 benchmark test: earth?s resources,Science,Grade 1,2024-25,Lesson  Assessments,1,1,19
Athenian Academy of Technology and the Arts,unit 4 benchmark test: weather,Science,Grade 2,2024-25,Lesson  Assessments,1,1,19
Athenian Academy of Technology and the Arts,unit 4 benchmark test: weather,Science,Grade 2,2024-25,Unit-Chap  Assessments,1,2,32
Athenian Academy of Technology and the Arts,unit 5 benchmark test: all about matter,Science,Grade 2,2024-25,Assessments,1,1,19
Athenian Academy of Technology and the Arts,unit 5 benchmark test: all about matter,Science,Grade 2,2024-25,Lesson  Assessments,1,2,35
Athenian Academy of Technology and the Arts,unit 6 benchmark test: heat sources,Science,Grade 3,2024-25,Lesson  Assessments,1,2,40
Athenian Academy of Technology and the Arts,unit 6 benchmark test: heat sources,Science,Grade 3,2024-25,Unit-Chap  Assessments,1,1,19
Athenian Academy of Technology and the Arts,unit 8 benchmark test: living things and their parents,Science,Grade 1,2024-25,Lesson  Assessments,1,1,16
Athenian Academy of Technology and the Arts,unit 8 benchmark test: living things and their parents,Science,Grade 1,2024-25,Unit-Chap  Assessments,1,3,37
Athenian Academy of Technology and the Arts,unit 9 benchmark test: plant and animal needs,Science,Grade 1,2024-25,Lesson  Assessments,1,1,17
Athenian Academy of Technology and the Arts,unit 9 benchmark test: plant and animal needs,Science,Grade 1,2024-25,Unit-Chap  Assessments,1,3,33
Athenian Academy of Technology and the Arts,unit 9 benchmark test: the human body,Science,Grade 2,2024-25,Assessments,1,2,34
Athenian Academy of Technology and the Arts,unit 9 benchmark test: the human body,Science,Grade 2,2024-25,Lesson  Assessments,1,1,20
Central Florida Preparatory School,topic 6: the constitution protects your rights: defend all rights,Civics,Grade 7,2025-26,Summative,1,1,16
Central Florida Preparatory School,topic 6: the constitution protects your rights: defend all rights,Civics,Grade 7,2025-26,topic,1,1,16
Central Florida Preparatory School,topic 9: civilizations of east asia and southeast asia (250 bce - 1644 ce),History,Grade 6,2025-26,Summative,1,1,19
Central Florida Preparatory School,topic 9: civilizations of east asia and southeast asia (250 bce - 1644 ce),History,Grade 6,2025-26,topic,1,1,21
Crestwell School,what makes us who we are?: weekly assessment: week 2,Reading,Grade 4,2025-26,Summative,1,1,15
Crestwell School,what makes us who we are?: weekly assessment: week 2,Reading,Grade 4,2025-26,Weekly Test,1,1,3
