item_id,item_name,label_grade,subject,section_name,section_instructors,n_takers,n_home_match,n_no_other,has_hs_band,offgrade_standards
7338320706,Unit 1 Test,Grade 7,History,5th Period,Benjamin Hitzig,28,28,0,f,SOC.8.SS.8.A.1.5; SOC.8.SS.8.A.2.1; SOC.8.SS.8.A.2.2; SOC.8.SS.8.A.2.4; SOC.8.SS.8.A.2.5; SOC.8.SS.8.A.3.2; SOC.8.SS.8.A.3.3; SOC.8.SS.8.A.3.5; SOC.8.SS.8.A.3.6; SOC.8.SS.8.A.3.7; SOC.8.SS.8.A.3.8; SOC.8.SS.8.A.4.3; SOC.8.SS.8.G.1.2; SOC.8.SS.8.G.2.1; SOC.8.SS.8.G.4.2; SOC.8.SS.8.G.5.2; SS.8.C.2.1; SS.8.E.2.2; SS.8.G.4.1
7338320715,Unit 2 Test,Grade 7,History,5th Period,Benjamin Hitzig,31,31,0,f,SOC.8.SS.8.A.3.10; SOC.8.SS.8.A.3.11; SOC.8.SS.8.A.3.12; SOC.8.SS.8.A.3.3; SOC.8.SS.8.A.3.9; SOC.8.SS.8.A.4.2; SOC.8.SS.8.A.5.2; SOC.8.SS.8.C.1.1; SOC.8.SS.8.C.1.5; SOC.8.SS.8.G.1.2; SS.8.C.1.3; SS.8.C.1.4; SS.8.E.2.2
7338320727,Unit 3 Test,Grade 7,History,5th Period,Benjamin Hitzig,31,31,0,f,SOC.8.SS.8.A.1; SOC.8.SS.8.A.1.2; SOC.8.SS.8.A.1.4; SOC.8.SS.8.A.1.5; SOC.8.SS.8.A.1.6; SOC.8.SS.8.A.1.7; SOC.8.SS.8.A.3.12; SOC.8.SS.8.A.3.14; SOC.8.SS.8.A.3.15; SOC.8.SS.8.A.3.9; SOC.8.SS.8.A.4.3
7338320735,Unit 4 Test,Grade 7,History,5th Period,Benjamin Hitzig,30,30,0,f,SOC.8.SS.8.A.4.10; SOC.8.SS.8.A.4.11; SOC.8.SS.8.A.4.15; SOC.8.SS.8.A.4.6; SOC.8.SS.8.A.4.7; SOC.8.SS.8.A.4.8; SOC.8.SS.8.A.5.1; SOC.8.SS.8.A.5.2; SOC.8.SS.8.G.1.2; SOC.8.SS.8.G.2.1; SOC.8.SS.8.G.5.2; SS.8.E.1.1
7799460640,Unit 5 Test,Grade 7,History,5th Period,Benjamin Hitzig,31,31,0,f,SOC.8.SS.8.A.5.1; SOC.8.SS.8.A.5.3; SOC.8.SS.8.A.5.5; SOC.8.SS.8.A.5.6; SOC.8.SS.8.A.5.8; SS.8.C.1.4
7892360966,Unit: 5 The Roman World,Grade 6,History,3rd Period,Benjamin Hitzig,39,39,0,f,SS.7.CG.1.4
7337961656,Chapter 1,Grade 3,Math,Leiva,Ana Leiva,20,20,0,f,MA.2.MAFS.2.NBT.1.3; MA.2.NSO.1.1
7337961658,Chapter 2,Grade 3,Math,Leiva,Ana Leiva,20,20,0,f,MA.4.NSO.2.5
7337962222,Chapter 1,Grade 3,Math,Rossi,Pattie Rossi,20,20,0,f,MA.2.MAFS.2.NBT.1.3; MA.2.NSO.1.1
7337962422,Chapter 1,Grade 3,Math,Vaughn,Mary Vaughn,20,20,0,f,MA.2.MAFS.2.NBT.1.3; MA.2.NSO.1.1
7338206076,Module 1 Test,Grade 7,Math,2nd Period,Steven Burney,32,32,0,f,MA.6.AR.3.2; MA.8.MAFS.8.EE.2.5
7338206081,Module 2 Test,Grade 7,Math,2nd Period,Steven Burney,31,31,0,f,MA.6.AR.3.1; MA.6.AR.3.3; MA.6.AR.3.5; MA.6.MAFS.6.RP.1.1; MA.6.MAFS.6.RP.1.3.d
7338206096,Module 4 Test,Grade 7,Math,2nd Period,Steven Burney,30,30,0,f,MA.6.NSO.4.1
7338206105,Module 5 Test,Grade 7,Math,2nd Period,Steven Burney,32,32,0,f,MA.6.NSO.4.2; MA.8.AR.1.1; MA.8.MAFS.8.EE.1.1; MA.8.NSO.1.3
7338206131,Module 8 Test,Grade 7,Math,2nd Period,Steven Burney,30,30,0,f,MA.8.AR.2.2
7466682539,Chapter 2,Grade 3,Math,Vaughn,Mary Vaughn,19,19,0,f,MA.4.NSO.2.5
7466683686,Chapter 2,Grade 3,Math,Rossi,Pattie Rossi,20,20,0,f,MA.4.NSO.2.5
7475503805,Chapter 3,Grade 3,Math,Vaughn,Mary Vaughn,19,19,0,f,MA.4.MAFS.4.NBT.2.4; MA.4.MAFS.4.OA.1.3; MA.K-12.1
7475507855,Chapter 3,Grade 3,Math,Rossi,Pattie Rossi,20,20,0,f,MA.4.MAFS.4.NBT.2.4; MA.4.MAFS.4.OA.1.3; MA.K-12.1
7475518443,Chapter 3,Grade 3,Math,Leiva,Ana Leiva,20,20,0,f,MA.4.MAFS.4.NBT.2.4; MA.4.MAFS.4.OA.1.3; MA.K-12.1
7623314096,HW 12/6,Grade 7,Math,2nd Period,Steven Burney,28,28,0,f,MA.8.AR.1.3
7632044430,Module 9 Test,Grade 6,Math,4th Period,Steven Burney,18,18,0,f,MA.7.AR.1.2
7632051430,Module 7 Test,Grade 7,Math,2nd Period,Steven Burney,30,30,0,f,MA.8.AR.1.3
7702564757,Module 12 Test,Grade 6,Math,4th Period,Steven Burney,31,31,0,f,MA.7.GR.1.2
7702567077,Module 12 Test,Grade 7,Math,2nd Period,Steven Burney,31,31,0,f,MA.8.DP.2.1; MA.8.DP.2.3
7793759158,Chapter 18,Grade 3,Math,Rossi,Pattie Rossi,18,18,0,f,MA.2.DP.1.2
7797823622,Module 14 Test,Grade 6,Math,4th Period,Steven Burney,28,28,0,f,MA.5.DP.1.1; MA.5.DP.1.2
7797823628,Module 15 Test,Grade 6,Math,4th Period,Steven Burney,29,29,0,f,MA.5.DP.1.1; MA.5.DP.1.2
8203118282,2 Digit Addition,Grade K,Math,Bennet,Elizabeth Bennet,24,24,0,f,MA.2.NSO.2.4
8203127041,2 Digit Addition,Grade K,Math,Tsakonas,Kathleen Tsakonas,22,22,0,f,MA.2.NSO.2.4
8203574006,2 Digit Addition,Grade K,Math,Watkins,Heather Watkins,22,22,0,f,MA.2.NSO.2.4
8225739858,Adding 3 Numbers,Grade K,Math,Bennet,Elizabeth Bennet,23,23,0,f,MA.1.AR.1.1
8226074862,Adding 3 Numbers,Grade K,Math,Watkins,Heather Watkins,22,22,0,f,MA.1.AR.1.1
8226238606,Adding 3 Numbers,Grade K,Math,Tsakonas,Kathleen Tsakonas,21,21,0,f,MA.1.AR.1.1
8257707783,Module 12 Test,Grade 6,Math,4th Period,"GAINS Admin, Steven Burney",19,19,0,f,MA.7.GR.1.2
8257707820,Module 12 Test,Grade 6,Math,5th Period,Steven Burney,21,21,0,f,MA.7.GR.1.2
8292007827,Module 14 Test,Grade 6,Math,4th Period,"GAINS Admin, Steven Burney",18,18,0,f,MA.5.DP.1.1; MA.5.DP.1.2
8292007847,Module 14 Test,Grade 6,Math,5th Period,Steven Burney,21,21,0,f,MA.5.DP.1.1; MA.5.DP.1.2
8325672466,Module 15 Test,Grade 6,Math,4th Period,"GAINS Admin, Steven Burney",17,17,0,f,MA.5.DP.1.1; MA.5.DP.1.2
8325672509,Module 15 Test,Grade 6,Math,5th Period,Steven Burney,20,20,0,f,MA.5.DP.1.1; MA.5.DP.1.2
8339203424,POP Quiz #1,Grade 6,Math,4th Period,"GAINS Admin, Steven Burney",18,18,0,f,MA.7.MAFS.7.NS.1.1.d; MA.7.MAFS.7.NS.1.2.c
7338058191,Beginning of Year Science Benchmark,Grade 7,Science,4th Period,Sharon Long,32,32,0,f,SCI.6.SC.6.E.6.1; SCI.6.SC.6.E.7.1; SCI.6.SC.6.E.7.2; SCI.6.SC.6.E.7.3; SCI.6.SC.6.E.7.4; SCI.6.SC.6.E.7.5; SCI.6.SC.6.E.7.6; SCI.6.SC.6.E.7.7; SCI.6.SC.6.E.7.8; SCI.6.SC.6.E.7.9; SCI.6.SC.6.L.14.1; SCI.6.SC.6.L.14.2; SCI.6.SC.6.L.14.3; SCI.6.SC.6.L.14.4; SCI.6.SC.6.L.14.5; SCI.6.SC.6.L.14.6; SCI.6.SC.6.L.15.1; SCI.6.SC.6.N.1.1; SCI.6.SC.6.N.2.1; SCI.6.SC.6.N.2.2; SCI.6.SC.6.N.3.2; SCI.6.SC.6.N.3.3; SCI.6.SC.6.N.3.4; SCI.6.SC.6.P.11.1; SCI.6.SC.6.P.12.1; SCI.6.SC.6.P.13.1; SCI.6.SC.6.P.13.2; SCI.6.SC.6.P.13.3
7338068286,Unit 1 Benchmark Test: Nature of Science,Grade 8,Science,5th Period,Sharon Long,17,17,0,f,SCI.6.SC.6.N.1.1; SCI.6.SC.6.N.1.2; SCI.6.SC.6.N.1.3; SCI.6.SC.6.N.1.5; SCI.6.SC.6.N.2.1; SCI.6.SC.6.N.2.2; SCI.6.SC.6.N.3.1; SCI.6.SC.6.N.3.2; SCI.6.SC.6.N.3.3; SCI.6.SC.6.N.3.4
7476279934,Chapter 1 Test,Grade 8,Algebra,3rd Period,Steven Burney,19,19,0,t,AI.MA.912.AR.1.2; AI.MA.912.AR.2.1; AI.MA.912.AR.2.6; AI.MA.912.AR.4.1; MA.912.AR.1.2; MA.912.AR.2.1; MA.912.AR.2.6; MA.912.AR.4.1; MA.9-12.MAFS.912.A-CED.1.1
7503402943,Chapter 2 Test,Grade 8,Algebra,3rd Period,Steven Burney,19,19,0,t,AI.MA.912.AR.1.1; AI.MA.912.AR.2.1; AI.MA.912.AR.2.6; MA.912.AR.1.1; MA.912.AR.2.1; MA.912.AR.2.6; MA.9-12.MAFS.912.A-CED.1.1; MA.9-12.MAFS.912.A-CED.1.3; MA.9-12.MAFS.912.A-REI.2.3
7570315981,Chapter 3 Test,Grade 8,Algebra,3rd Period,Steven Burney,19,19,0,t,AI.MA.912.AR.2.2; AI.MA.912.AR.2.4; AI.MA.912.AR.4.3; AI.MA.912.F.1.1; AI.MA.912.F.1.2; AI.MA.912.F.2.1; MA.912.AR.2.2; MA.912.AR.2.4; MA.912.AR.4.3; MA.912.F.1.1; MA.912.F.1.2; MA.912.F.2.1; MA.912.F.2.3; MA.9-12.MAFS.912.A-CED.1.2; MA.9-12.MAFS.912.A-REI.4.10; MA.9-12.MAFS.912.F-BF.2.3; MA.9-12.MAFS.912.F-IF.1.2; MA.9-12.MAFS.912.F-IF.3.7.b
7606124717,Chapter 4 Test,Grade 8,Algebra,3rd Period,Steven Burney,19,19,0,t,AI.MA.912.AR.2.2; AI.MA.912.AR.2.4; AI.MA.912.AR.2.5; AI.MA.912.DP.1.3; AI.MA.912.DP.2.4; AI.MA.912.DP.2.6; MA.912.AR.2.2; MA.912.AR.2.4; MA.912.AR.2.5; MA.912.DP.1.3; MA.912.DP.2.4; MA.912.DP.2.5; MA.912.DP.2.6; MA.912.DP.2.7; MA.912.F.1
7669808106,Chapter 5 Test,Grade 8,Algebra,3rd Period,Steven Burney,19,19,0,t,AI.MA.912.AR.2.7; AI.MA.912.AR.2.8; AI.MA.912.AR.9.1; AI.MA.912.AR.9.6; MA.912.AR.2.8; MA.912.AR.9.1; MA.912.AR.9.6; MA.9-12.MAFS.912.A-REI.3.6
7708642601,Chapter 6 Test,Grade 8,Algebra,3rd Period,Steven Burney,18,18,0,t,AI.MA.912.AR.5.4; AI.MA.912.AR.5.6; AI.MA.912.FL.3.2; AI.MA.912.NSO.1.1; AI.MA.912.NSO.1.2; MA.912.AR.5.3; MA.912.AR.5.4; MA.912.AR.5.5; MA.912.AR.5.6; MA.912.AR.6.6; MA.912.F.1.6; MA.912.F.1.7; MA.912.FL.3.2; MA.912.FL.3.4; MA.9-12.MAFS.912.A-SSE.2.3.c; MA.9-12.MAFS.912.F-IF.2.4; MA.9-12.MAFS.912.F-IF.3.9; MA.9-12.MAFS.912.F-LE.1.2; MA.9-12.MAFS.912.N-RN.1.1; MA.9-12.MAFS.912.N-RN.1.2; MA.912.NSO.1.1; MA.912.NSO.1.2
7722564422,Chapter 7 Quiz 7.1-7.2,Grade 8,Algebra,3rd Period,Steven Burney,18,18,0,t,AI.MA.912.AR.1.1; AI.MA.912.AR.1.3; MA.912.AR.10.5; MA.912.AR.1.1; MA.912.AR.1.3; MA.912.AR.6.6; MA.9-12.MAFS.912.A-APR.1.1; MA.9-12.MAFS.912.A-SSE.1.1.a; MA.9-12.MAFS.912.A-SSE.1.1.b; MA.9-12.MAFS.912.F-BF.1.1.a
7747912472,Chapter 7 Test,Grade 8,Algebra,3rd Period,Steven Burney,18,18,0,t,AI.MA.912.AR.1.1; AI.MA.912.AR.1.3; AI.MA.912.AR.1.7; AI.MA.912.AR.3.1; AI.MA.912.AR.3.6; MA.912.AR.1.1; MA.912.AR.1.3; MA.912.AR.1.7; MA.912.AR.3.1; MA.912.AR.3.6; MA.912.AR.6.6; MA.912.F.3.1; MA.9-12.MAFS.912.A-APR.1.1; MA.9-12.MAFS.912.A-REI.2.4.b; MA.9-12.MAFS.912.A-SSE.1.1.a; MA.9-12.MAFS.912.A-SSE.1.1.b; MA.9-12.MAFS.912.A-SSE.1.2
7801021169,HW 4/11 Chapter 8 Review,Grade 8,Algebra,3rd Period,Steven Burney,17,17,0,t,AI.MA.912.AR.1.2; AI.MA.912.AR.1.7; AI.MA.912.AR.3.6; AI.MA.912.DP.2.4; AI.MA.912.F.1.2; AI.MA.912.F.1.8; AI.MA.912.F.2.1; MA.912.AR.1.2; MA.912.AR.1.7; MA.912.AR.3.6; MA.912.AR.6.4; MA.912.DP.2.4; MA.912.DP.2.8; MA.912.DP.2.9; MA.912.F.1.2; MA.912.F.1.6; MA.912.F.1.7; MA.912.F.1.8; MA.912.F.2.1; MA.912.F.2.3; MA.9-12.MAFS.912.A-APR.2.3; MA.9-12.MAFS.912.A-CED.1.2; MA.9-12.MAFS.912.A-SSE.2.3.a; MA.9-12.MAFS.912.A-SSE.2.3.b; MA.9-12.MAFS.912.F-BF.2.3; MA.9-12.MAFS.912.F-IF.3.8.a; MA.9-12.MAFS.912.F-IF.3.9; MA.9-12.MAFS.912.F-LE.1.1.b; MA.9-12.MAFS.912.F-LE.1.1.c; MA.9-12.MAFS.912.S-ID.2.6.a
7802303138,Chapter 8 Test,Grade 8,Algebra,3rd Period,Steven Burney,16,16,0,t,AI.MA.912.AR.1.7; AI.MA.912.AR.3.1; AI.MA.912.AR.3.6; AI.MA.912.DP.2.4; AI.MA.912.F.1.2; AI.MA.912.F.1.8; AI.MA.912.F.2.1; MA.912.AR.1.2; MA.912.AR.1.7; MA.912.AR.3.1; MA.912.AR.3.4; MA.912.AR.3.6; MA.912.AR.3.8; MA.912.AR.6.4; MA.912.AR.9.2; MA.912.DP.2.4; MA.912.DP.2.8; MA.912.DP.2.9; MA.912.F.1.2; MA.912.F.1.6; MA.912.F.1.7; MA.912.F.1.8; MA.912.F.2.1; MA.912.F.2.3; MA.9-12.MAFS.912.A-APR.2.3; MA.9-12.MAFS.912.A-CED.1.2; MA.9-12.MAFS.912.A-REI.3.7; MA.9-12.MAFS.912.A-REI.4.11; MA.9-12.MAFS.912.A-SSE.2.3.a; MA.9-12.MAFS.912.A-SSE.2.3.b; MA.9-12.MAFS.912.F-BF.2.3; MA.9-12.MAFS.912.F-IF.3.8.a; MA.9-12.MAFS.912.F-IF.3.9; MA.9-12.MAFS.912.F-LE.1.1.b; MA.9-12.MAFS.912.F-LE.1.1.c; MA.9-12.MAFS.912.S-ID.2.6.a
7702567070,Module 10 Test,Grade 7,Math,2nd Period,Steven Burney,31,31,0,t,G.MA.912.GR.4.5; MA.912.GR.4.5
