school,user_uid,item_id,item_name,submission,n_attempts,rowsum_recv,rowsum_poss,submission_grade,classification,flag
Athenian Academy of Technology and the Arts,85652751,7628347421,HW 12/10 Spiral Review,2,4,2.00,3.00,8.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,126606628,7628347421,HW 12/10 Spiral Review,3,4,4.00,5.00,8.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,85652751,7628347421,HW 12/10 Spiral Review,1,4,0.00,3.00,6.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,126606628,7628347421,HW 12/10 Spiral Review,1,4,2.00,6.00,5.00,matches_neither,""
Athenian Academy of Technology and the Arts,56939036,7628391502,HW 12/10 Spiral Review,1,4,2.00,9.00,6.00,matches_neither,""
Athenian Academy of Technology and the Arts,56939036,7628391502,HW 12/10 Spiral Review,3,4,5.33,7.00,11.33,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,126606628,7628347421,HW 12/10 Spiral Review,2,4,2.00,4.00,7.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,56939944,7626416439,HW 12/9 Spiral Review,1,4,0.33,8.00,1.33,matches_neither,""
Athenian Academy of Technology and the Arts,56939944,7626416439,HW 12/9 Spiral Review,2,4,2.00,7.00,4.00,matches_neither,""
Athenian Academy of Technology and the Arts,73961488,7626433775,HW 12/9 Spiral Review,1,4,2.00,8.00,6.00,matches_neither,""
Athenian Academy of Technology and the Arts,73961488,7626433775,HW 12/9 Spiral Review,2,4,1.00,4.00,9.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,56939944,7626416439,HW 12/9 Spiral Review,3,4,4.00,7.00,6.00,matches_neither,""
Athenian Academy of Technology and the Arts,73961488,7626433775,HW 12/9 Spiral Review,3,4,2.00,4.00,10.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,117497317,7801021169,HW 4/11 Chapter 8 Review,3,4,6.00,7.00,14.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,117497317,7801021169,HW 4/11 Chapter 8 Review,2,4,4.00,6.00,13.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,117497319,7801021169,HW 4/11 Chapter 8 Review,3,4,5.00,8.00,12.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,117497319,7801021169,HW 4/11 Chapter 8 Review,2,4,6.00,9.00,12.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,85217664,7801021169,HW 4/11 Chapter 8 Review,3,4,6.50,7.00,14.50,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,85217664,7801021169,HW 4/11 Chapter 8 Review,1,4,0.00,3.00,12.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,85217664,7801021169,HW 4/11 Chapter 8 Review,2,4,6.00,7.00,14.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,117497319,7801021169,HW 4/11 Chapter 8 Review,1,4,0.92,7.00,8.92,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,117497317,7801021169,HW 4/11 Chapter 8 Review,1,4,1.67,7.00,9.67,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,73961454,8002526684,Quiz #1,4,4,0.00,1.00,3.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,73961454,8002526684,Quiz #1,1,4,0.00,1.00,3.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,73961454,8002526684,Quiz #1,5,4,0.00,2.00,3.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,110145269,8122018182,Chapter 4 Practice Test #3,1,3,2.00,3.00,8.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,110145269,8122018182,Chapter 4 Practice Test #3,2,3,2.00,3.00,8.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,110354363,7628347421,HW 12/10 Spiral Review,2,3,3.00,4.00,8.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,56940720,7628391502,HW 12/10 Spiral Review,2,3,3.00,4.00,12.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,56939948,7628391502,HW 12/10 Spiral Review,1,3,2.25,10.00,5.25,matches_neither,""
Athenian Academy of Technology and the Arts,56940720,7628391502,HW 12/10 Spiral Review,1,3,3.33,4.00,12.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,123362967,7628391502,HW 12/10 Spiral Review,2,3,3.33,6.00,10.33,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,73961366,7628347421,HW 12/10 Spiral Review,1,3,1.00,2.00,8.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,73961366,7628347421,HW 12/10 Spiral Review,2,3,4.00,5.00,8.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,123362967,7628391502,HW 12/10 Spiral Review,1,3,1.50,11.00,3.50,matches_neither,""
Athenian Academy of Technology and the Arts,110354363,7628347421,HW 12/10 Spiral Review,1,3,1.00,5.00,5.00,matches_neither,""
Athenian Academy of Technology and the Arts,56939948,7628391502,HW 12/10 Spiral Review,2,3,5.00,9.00,8.17,matches_neither,""
Athenian Academy of Technology and the Arts,73961454,7617762025,HW 12/3 8.1,1,3,0.00,5.00,3.00,matches_neither,""
Athenian Academy of Technology and the Arts,73961454,7617762025,HW 12/3 8.1,2,3,0.00,5.00,3.00,matches_neither,""
Athenian Academy of Technology and the Arts,73961516,7617762025,HW 12/3 8.1,1,3,0.00,2.00,3.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,73961366,7617762025,HW 12/3 8.1,2,3,0.00,1.00,7.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,73961366,7617762025,HW 12/3 8.1,1,3,0.00,3.00,5.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,73961516,7617762025,HW 12/3 8.1,2,3,0.00,5.00,2.00,matches_neither,""
Athenian Academy of Technology and the Arts,123792248,7619625033,HW 12/4 7.2 - 7.3,1,3,1.00,9.00,2.00,matches_neither,""
Athenian Academy of Technology and the Arts,56939944,7619625033,HW 12/4 7.2 - 7.3,1,3,1.00,8.00,3.00,matches_neither,""
Athenian Academy of Technology and the Arts,123792248,7619625033,HW 12/4 7.2 - 7.3,2,3,5.00,9.00,6.00,matches_neither,""
Athenian Academy of Technology and the Arts,56939944,7619625033,HW 12/4 7.2 - 7.3,2,3,4.00,9.00,5.00,matches_neither,""
Athenian Academy of Technology and the Arts,56939036,7619625033,HW 12/4 7.2 - 7.3,2,3,1.00,8.00,3.00,matches_neither,""
Athenian Academy of Technology and the Arts,126606628,7619615379,HW 12/4 8.2,1,3,0.00,6.00,1.00,matches_neither,""
Athenian Academy of Technology and the Arts,126606628,7619615379,HW 12/4 8.2,2,3,0.00,4.00,3.00,matches_neither,""
Athenian Academy of Technology and the Arts,56939036,7623314096,HW 12/6,1,3,1.00,7.00,2.00,matches_neither,""
Athenian Academy of Technology and the Arts,56939036,7623314096,HW 12/6,2,3,3.33,7.00,4.33,matches_neither,""
Athenian Academy of Technology and the Arts,56940720,7626416439,HW 12/9 Spiral Review,1,3,3.00,6.00,6.00,matches_neither,""
Athenian Academy of Technology and the Arts,123362775,7626416439,HW 12/9 Spiral Review,2,3,5.00,6.00,9.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,73961510,7626433775,HW 12/9 Spiral Review,1,3,2.00,3.00,11.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,123362775,7626416439,HW 12/9 Spiral Review,1,3,4.00,6.00,8.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,56939948,7626416439,HW 12/9 Spiral Review,2,3,3.00,9.00,3.67,matches_neither,""
Athenian Academy of Technology and the Arts,73961366,7626433775,HW 12/9 Spiral Review,1,3,2.00,5.00,9.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,56940720,7626416439,HW 12/9 Spiral Review,2,3,4.33,6.00,8.33,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,73961510,7626433775,HW 12/9 Spiral Review,2,3,3.00,4.00,11.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,73961366,7626433775,HW 12/9 Spiral Review,2,3,2.00,3.00,11.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,130313961,7801021169,HW 4/11 Chapter 8 Review,1,3,3.83,10.00,8.83,matches_neither,""
Athenian Academy of Technology and the Arts,130313961,7801021169,HW 4/11 Chapter 8 Review,2,3,5.00,8.00,12.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,141355732,8203574006,2 Digit Addition,1,2,0.00,5.00,8.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,131861995,7687741861,Chapter 12,1,2,0.00,2.00,11.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,131770756,7687741861,Chapter 12,1,2,1.00,4.00,11.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,131793988,7702559165,Chapter 16,1,2,3.00,6.00,19.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,131811559,7702559175,Chapter 17,1,2,19.00,21.00,22.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,56940728,8122018182,Chapter 4 Practice Test #3,1,2,3.33,4.00,7.33,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,88723509,8122018182,Chapter 4 Practice Test #3,1,2,1.67,4.00,6.67,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,56939948,8122018182,Chapter 4 Practice Test #3,1,2,2.67,3.00,8.67,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,56940720,8122018182,Chapter 4 Practice Test #3,1,2,2.00,4.00,7.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,56940730,8122018182,Chapter 4 Practice Test #3,1,2,1.67,3.00,7.67,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,123362776,8122018182,Chapter 4 Practice Test #3,1,2,4.33,5.00,8.33,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,123362967,8122018182,Chapter 4 Practice Test #3,1,2,4.00,6.00,7.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,133344197,7480755450,Chapter 5,1,2,1.00,6.00,14.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,131770756,7485555213,Chapter 6,1,2,1.00,2.00,15.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,133064364,7337899008,Happy Healthy Me: Weekly Assessment: Week 3,1,2,13.00,16.00,15.00,matches_neither,""
Athenian Academy of Technology and the Arts,131770358,7337899786,Happy Healthy Me: Weekly Assessment: Week 4,1,2,3.00,7.00,14.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,123326286,7337899786,Happy Healthy Me: Weekly Assessment: Week 4,1,2,1.00,5.00,12.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,73961210,7628347421,HW 12/10 Spiral Review,1,2,3.00,6.00,6.00,matches_neither,""
Athenian Academy of Technology and the Arts,73961518,7628347421,HW 12/10 Spiral Review,1,2,1.00,7.00,3.00,matches_neither,""
Athenian Academy of Technology and the Arts,73961454,7628347421,HW 12/10 Spiral Review,1,2,1.00,4.00,6.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,110144463,7628347421,HW 12/10 Spiral Review,1,2,1.00,4.00,6.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,110145269,7628391502,HW 12/10 Spiral Review,1,2,3.33,10.00,6.33,matches_neither,""
Athenian Academy of Technology and the Arts,73961486,7628347421,HW 12/10 Spiral Review,1,2,1.00,3.00,7.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,132649303,7628347421,HW 12/10 Spiral Review,1,2,3.00,5.00,7.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,123362775,7628391502,HW 12/10 Spiral Review,1,2,4.00,5.00,11.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,73961376,7628391502,HW 12/10 Spiral Review,1,2,2.67,6.00,9.67,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,73961510,7628347421,HW 12/10 Spiral Review,1,2,2.00,3.00,8.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,73961200,7628347421,HW 12/10 Spiral Review,1,2,2.00,5.00,6.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,56939944,7628391502,HW 12/10 Spiral Review,1,2,5.58,9.00,9.58,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,110354363,7617762025,HW 12/3 8.1,1,2,0.00,2.00,6.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,131695852,7617762025,HW 12/3 8.1,1,2,0.00,2.00,6.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,73961354,7617762025,HW 12/3 8.1,1,2,0.00,3.00,5.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,73961336,7617762025,HW 12/3 8.1,1,2,0.00,3.00,5.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,110145269,7619625033,HW 12/4 7.2 - 7.3,1,2,1.00,8.00,3.00,matches_neither,""
Athenian Academy of Technology and the Arts,73961246,7619625033,HW 12/4 7.2 - 7.3,1,2,3.00,7.00,6.00,matches_neither,""
Athenian Academy of Technology and the Arts,56940716,7619625033,HW 12/4 7.2 - 7.3,1,2,3.00,7.00,6.00,matches_neither,""
Athenian Academy of Technology and the Arts,73961448,7619625033,HW 12/4 7.2 - 7.3,1,2,1.00,8.00,3.00,matches_neither,""
Athenian Academy of Technology and the Arts,56940720,7619625033,HW 12/4 7.2 - 7.3,1,2,4.00,6.00,8.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,98608531,7619625033,HW 12/4 7.2 - 7.3,1,2,6.00,8.00,8.00,matches_neither,""
Athenian Academy of Technology and the Arts,123362775,7619625033,HW 12/4 7.2 - 7.3,1,2,2.00,6.00,6.00,matches_neither,""
Athenian Academy of Technology and the Arts,73961376,7619625033,HW 12/4 7.2 - 7.3,1,2,3.00,8.00,5.00,matches_neither,""
Athenian Academy of Technology and the Arts,73961510,7619615379,HW 12/4 8.2,1,2,1.00,2.00,6.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,73961516,7619615379,HW 12/4 8.2,1,2,2.00,5.00,4.00,matches_neither,""
Athenian Academy of Technology and the Arts,73961518,7619615379,HW 12/4 8.2,1,2,0.00,3.00,4.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,85652955,7619615379,HW 12/4 8.2,1,2,0.00,1.00,6.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,110354363,7619615379,HW 12/4 8.2,1,2,1.00,2.00,6.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,73961200,7619615379,HW 12/4 8.2,1,2,1.00,2.00,6.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,56940720,7623314096,HW 12/6,1,2,6.00,7.00,7.00,matches_neither,""
Athenian Academy of Technology and the Arts,85217066,7623314096,HW 12/6,1,2,4.33,7.00,5.33,matches_neither,""
Athenian Academy of Technology and the Arts,73961246,7623314096,HW 12/6,1,2,3.67,7.00,4.67,matches_neither,""
Athenian Academy of Technology and the Arts,56939944,7623314096,HW 12/6,1,2,1.33,6.00,3.33,matches_neither,""
Athenian Academy of Technology and the Arts,56939948,7623314096,HW 12/6,1,2,1.00,7.00,2.00,matches_neither,""
Athenian Academy of Technology and the Arts,98608531,7623314096,HW 12/6,1,2,4.00,6.00,6.00,matches_neither,""
Athenian Academy of Technology and the Arts,123362775,7623314096,HW 12/6,1,2,2.00,5.00,5.00,matches_neither,""
Athenian Academy of Technology and the Arts,73961248,7623314096,HW 12/6,1,2,1.00,7.00,2.00,matches_neither,""
Athenian Academy of Technology and the Arts,56939946,7623314096,HW 12/6,1,2,4.00,6.00,6.00,matches_neither,""
Athenian Academy of Technology and the Arts,110144463,7626433775,HW 12/9 Spiral Review,1,2,1.00,6.00,7.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,126606628,7626433775,HW 12/9 Spiral Review,1,2,1.00,8.00,5.00,matches_neither,""
Athenian Academy of Technology and the Arts,56940726,7626416439,HW 12/9 Spiral Review,1,2,4.00,9.00,5.00,matches_neither,""
Athenian Academy of Technology and the Arts,85217066,7626416439,HW 12/9 Spiral Review,1,2,5.00,8.00,7.00,matches_neither,""
Athenian Academy of Technology and the Arts,110144462,7626433775,HW 12/9 Spiral Review,1,2,3.00,6.00,8.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,73961234,7626433775,HW 12/9 Spiral Review,1,2,2.00,6.00,6.00,matches_neither,""
Athenian Academy of Technology and the Arts,85652751,7626433775,HW 12/9 Spiral Review,1,2,2.00,7.00,7.00,matches_neither,""
Athenian Academy of Technology and the Arts,73961246,7626416439,HW 12/9 Spiral Review,1,2,6.33,9.00,7.33,matches_neither,""
Athenian Academy of Technology and the Arts,131695852,7626433775,HW 12/9 Spiral Review,1,2,1.00,4.00,8.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,113383155,7801021169,HW 4/11 Chapter 8 Review,1,2,1.67,7.00,9.67,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,117497949,7801021169,HW 4/11 Chapter 8 Review,1,2,6.00,7.00,14.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,131813998,7892310086,Module Assessment: Amazing Animals,1,2,0.00,6.00,17.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,123325884,7334634550,Nice to Meet You!: Weekly Assessment: Week 1,1,2,11.00,11.00,18.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,117497311,8002526684,Quiz #1,1,2,0.00,1.00,4.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,137498417,8002526684,Quiz #1,1,2,0.00,1.00,4.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,81575814,8002526684,Quiz #1,1,2,0.00,3.00,2.00,matches_neither,""
Athenian Academy of Technology and the Arts,137498415,8002526684,Quiz #1,1,2,0.00,1.00,4.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,98608520,8085496323,Quiz 1,1,2,0.00,2.00,3.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,132721640,8085496323,Quiz 1,1,2,0.00,1.00,4.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,85649705,8085496323,Quiz 1,1,2,0.00,2.00,3.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,135741689,8085496323,Quiz 1,1,2,0.00,1.00,4.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,137498414,8085496323,Quiz 1,1,2,0.00,2.00,3.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,137497393,8085496323,Quiz 1,1,2,0.00,2.00,2.00,matches_neither,""
Athenian Academy of Technology and the Arts,117497940,8085496323,Quiz 1,1,2,0.00,2.00,3.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,85649727,8085496323,Quiz 1,1,2,0.00,1.00,4.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,137857105,8085496323,Quiz 1,1,2,0.00,2.00,2.00,matches_neither,""
Athenian Academy of Technology and the Arts,73961436,8085496323,Quiz 1,1,2,1.00,4.00,2.00,matches_neither,""
Athenian Academy of Technology and the Arts,73961288,8085496323,Quiz 1,1,2,2.00,2.00,4.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,140435414,8085496323,Quiz 1,1,2,2.00,3.00,3.00,matches_neither,""
Athenian Academy of Technology and the Arts,85649716,8085496323,Quiz 1,1,2,0.00,3.00,2.00,matches_neither,""
Athenian Academy of Technology and the Arts,140605426,8085496323,Quiz 1,1,2,0.00,2.00,3.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,131771558,7337899081,There's Only One Me!: Weekly Assessment: Week 3,1,2,1.00,6.00,15.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,123325884,7338365147,Unit 7 Benchmark Test: Living Things,1,2,0.00,5.00,5.00,matches_neither,""
Athenian Academy of Technology and the Arts,123361670,7338365147,Unit 7 Benchmark Test: Living Things,1,2,1.00,2.00,8.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,134824341,7338365147,Unit 7 Benchmark Test: Living Things,1,2,0.00,3.00,7.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,123326449,7338365147,Unit 7 Benchmark Test: Living Things,1,2,0.00,1.00,9.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,123326468,7338365147,Unit 7 Benchmark Test: Living Things,1,2,0.00,1.00,9.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,123361673,7338365147,Unit 7 Benchmark Test: Living Things,1,2,0.00,2.00,7.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,125274084,7338365147,Unit 7 Benchmark Test: Living Things,1,2,0.00,3.00,7.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,125287571,7338365147,Unit 7 Benchmark Test: Living Things,1,2,1.00,4.00,7.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,131862914,7338365147,Unit 7 Benchmark Test: Living Things,1,2,0.00,1.00,8.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,123361705,7338365147,Unit 7 Benchmark Test: Living Things,1,2,0.00,4.00,6.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,123326459,7338365147,Unit 7 Benchmark Test: Living Things,1,2,0.00,2.00,8.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,123361674,7338365147,Unit 7 Benchmark Test: Living Things,1,2,0.00,2.00,7.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,134374836,7338365147,Unit 7 Benchmark Test: Living Things,1,2,0.00,2.00,7.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,117456243,7338365147,Unit 7 Benchmark Test: Living Things,1,2,3.00,6.00,7.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,73961336,8016821134,U.S. History Quiz 2,1,2,0.00,3.00,2.00,matches_neither,""
Athenian Academy of Technology and the Arts,73961510,8016821134,U.S. History Quiz 2,1,2,0.00,1.00,4.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,137498416,8016821134,U.S. History Quiz 2,1,2,0.00,3.00,2.00,matches_neither,""
Athenian Academy of Technology and the Arts,138457943,8016821134,U.S. History Quiz 2,1,2,0.00,3.00,2.00,matches_neither,""
Athenian Academy of Technology and the Arts,73961454,8016821134,U.S. History Quiz 2,1,2,0.00,3.00,2.00,matches_neither,""
Athenian Academy of Technology and the Arts,131695852,8016821134,U.S. History Quiz 2,1,2,0.00,2.00,3.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,73961518,8016821134,U.S. History Quiz 2,1,2,0.00,4.00,1.00,matches_neither,""
Athenian Academy of Technology and the Arts,73961354,8016821134,U.S. History Quiz 2,1,2,0.00,2.00,3.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,81575814,8016821134,U.S. History Quiz 2,1,2,1.00,4.00,2.00,matches_neither,""
Athenian Academy of Technology and the Arts,137498415,8016821134,U.S. History Quiz 2,1,2,0.00,2.00,3.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,131695592,8016821134,U.S. History Quiz 2,1,2,0.00,3.00,2.00,matches_neither,""
Athenian Academy of Technology and the Arts,73961302,8016821134,U.S. History Quiz 2,1,2,0.00,1.00,4.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,126606628,8016821134,U.S. History Quiz 2,1,2,0.00,4.00,1.00,matches_neither,""
Athenian Academy of Technology and the Arts,117497315,8016821134,U.S. History Quiz 2,1,2,0.00,3.00,1.00,matches_neither,""
Athenian Academy of Technology and the Arts,85652955,8016821134,U.S. History Quiz 2,1,2,0.00,2.00,3.00,matches_neither,sg_exceeds_row_possible
Athenian Academy of Technology and the Arts,117497312,8016821134,U.S. History Quiz 2,1,2,0.00,2.00,3.00,matches_neither,sg_exceeds_row_possible
