class,school_name,school_id,subject_id,subject,assessment_type,grade,session,item_name,fact_item_ids,students,fact_rows
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,f71160246e52c2f533e7f3a0485572dfb24a7a58dd3d8f06eacdc5d7ffcf8d91,Science,Lesson  Assessments,Grade 2,2024-25,Unit 4 Benchmark Test: Weather,7338394693,19,342
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,b798dc6154afc5d70c89fe54bc6733c514ab3d1f2decae972cb45389b0fdd11c,ELA,Assessments,Grade 2,2024-25,Everyone Has a Story: Weekly Assessment: Week 2,7334678220,19,342
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,e3856f94f216ede0bd4afbc0b49e137bd3cda0e0a16ba12436479d9ed0275d91,ELA,Lesson  Assessments,Grade 5,2024-25,Project Earth: Weekly Assessment: Week 1,7337889366,18,324
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,c7bb4fdf11ee29d4f43456ceeefa60f77116c23d3d6d9b9f0846ee92701aca3f,ELA,Lesson  Assessments,Grade 3,2024-25,Teamwork: Weekly Assessment: Week 1,7334740354,20,300
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,b426bc2981263e145a5c9247e78a145347491ab1b5d4099383cb4945b121bd77,Science,Lesson  Assessments,Grade 2,2024-25,Unit 9 Benchmark Test: The Human Body,7338394737,20,280
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,9144e000c9b5524a7135ed0a7b3f562fdba99cbf62d2a33edad1f29c6dbfea1d,Science,Lesson  Assessments,Grade 1,2024-25,Unit 4 Benchmark Test: Earth?s Resources,7338364983,19,209
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,6d271a0f1dafc3670161188b9f120349439e147ae7429994781bb9fa76b89e15,Science,Lesson  Assessments,Grade 1,2024-25,Unit 8 Benchmark Test: Living Things and  Their Parents,7338364921,16,208
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,7066432170fe4bb438a09fd420c8328dd42ba684da0926107bcf18cd2dc813d2,ELA,Lesson  Assessments,Grade 5,2024-25,M7W2 vocab quiz,7789275406,18,198
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,f8613defeb50a0e45abb46ca66e000da3a8466ffec293831e3cbf0dd62bc3673,Science,Lesson  Assessments,Grade 1,2024-25,Unit 9 Benchmark Test: Plant and Animal Needs,7338364925,17,170
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,93e723dfe41461d2b1fadbcf00c07dccf710f22e9a75b16ea898e53f45e11b3f,ELA,Lesson  Assessments,Grade 5,2024-25,M5W1 Vocab quiz,7687967795,19,152
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,5b9820af3bcca451a3bfd442a51a9e8a5ec6f9223af1ad705b52ca01cba7e6e0,History,Lesson  Assessments,Grade 7,2024-25,Quarter 4 Quiz 2,7789244025,27,135
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,82c9f3b3cdb7fdbb68db7b29ffc500aad76be31edd384b10ef47bd7abfb1466f,Civics,Assessments,Grade 8,2024-25,Quarter 3 Quiz #1,7676516420,15,75
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,bd098359ce0318bb3a177b93aae2f20935f7c869530443b2c511cabb80569846,ELA,Lesson  Assessments,Grade 7,2024-25,Inspired by Nature Unit Test,7797146594,1,52
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,85e6602009435ef89f61b7b384216b352a250b69d159a2b4b2002dada6759a49,Math,Lesson  Assessments,Grade 1,2024-25,Chapter 14,7661452061,1,19
dim_subject_without_dim_item,Athenian Academy of Technology and the Arts,019eb11c-410a-7ffb-86e6-a0294c669670,e93f836775458de9c65b5631901b73431a6fe43315a5aa090f429f05f53811b6,Math,Assessments,Grade K,2024-25,Chapter 12,7687741861,2,9
dim_subject_without_dim_item,Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,17df9be6c491d4c66bde65d3be3e2e66897b3d5e7d0be0be69842d2990fe8b61,ELA,Summative,Grade 4,2025-26,M4 W1 Heroic Feats: Weekly Assessment: Module 4 Week 1 12/18,8159775714,17,153
dim_subject_without_dim_item,Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,c0cbd1f806ead81bdaa42ff8f3b59e4b51e1d0397b801aef5b6434b497630928,ELA,Summative,Grade 4,2025-26,M6W1 Weekly Assessment: Marvels of Nature:,8330846316,12,119
dim_subject_without_dim_item,Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,38fa194a54c74486c22b4a1780e7e842c68aaa132a5237641c20f03eef8ab063,HS Algebra I,topic,Higher-Ed,2025-26,Topic 8,8362776921,1,33
dim_subject_without_dim_item,Crestwell School,019eb11c-413c-7ed9-872e-0fe5e9a947b6,07a8a60fdad4ec926d5bd5c2b09abea44e50dc00f90f1640767b9443334f6bab,Reading,Summative,Grade 4,2025-26,What Makes Us Who We Are?: Weekly Assessment: Week 2,7929054690,15,140
