item_id,item_name,section_name,subject,grade,session,assessment_type,students,pattern,reason,scope
8004511442,Unit 1 Lesson 3 Quiz,Almendinger,Science,Grade 1,2025-26,Lesson  Assessments,21,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8005770134,Module 1 Week 2 Vocabulary Quiz,Lenhart,ELA,Grade 2,2025-26,Lesson  Assessments,19,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8005896485,Module 1 Week 2 Vocabulary Quiz,Farrell,ELA,Grade 2,2025-26,Lesson  Assessments,19,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8014008298,M1W2 Vocab Quiz,Rivera,ELA,Grade 5,2025-26,Lesson  Assessments,18,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8014033402,9/5 Fort Mose Comprehension,Bagley,Social Studies,Grade 4,2025-26,Lesson  Assessments,20,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8016288394,Module 1 Week 1 Vocabulary,Lenhart,ELA,Grade 2,2025-26,Lesson  Assessments,1,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8016559819,Quiz 2,2nd Period,Civics,Grade 8,2025-26,Lesson  Assessments,30,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8016562092,M1W2 Vocabulary Quiz,Vaughn,ELA,Grade 3,2025-26,Lesson  Assessments,22,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8016572178,Quiz 2,3rd Period,History,Grade 6,2025-26,Lesson  Assessments,37,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8016577944,Unit 1 Lesson 3 Quiz,Reeder,Science,Grade 1,2025-26,Lesson  Assessments,19,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8016724503,M1W2 Vocab Quiz,Birdwell,ELA,Grade 5,2025-26,Lesson  Assessments,19,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8016821134,U.S. History Quiz 2,5th Period,History,Grade 7,2025-26,Lesson  Assessments,27,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8016838893,Module 1 Week 2 Vocabulary Quiz,Agostino,ELA,Grade 2,2025-26,Lesson  Assessments,19,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8017008706,Unit 1 Lesson 3 Quiz,Sedlak,Science,Grade 1,2025-26,Lesson  Assessments,18,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8018787494,M1W3 Vocab Quiz,Rivera,ELA,Grade 5,2025-26,Lesson  Assessments,18,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8019069618,M1W3 Vocabulary Quiz,Vaughn,ELA,Grade 3,2025-26,Lesson  Assessments,21,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8019548255,1.3 Vocabulary Quiz,Almendinger,ELA,Grade 1,2025-26,Lesson  Assessments,21,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8019853921,Module 1 Week 3 Vocabulary Quiz,Farrell,ELA,Grade 2,2025-26,Lesson  Assessments,19,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8022422940,1.3 Vocabulary Quiz,Sedlak,ELA,Grade 1,2025-26,Lesson  Assessments,20,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8025973536,Unit 1 Lesson 5 Quiz,Reeder,Science,Grade 1,2025-26,Lesson  Assessments,20,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8026325899,Unit 1 Lesson 5 Quiz,Almendinger,Science,Grade 1,2025-26,Lesson  Assessments,21,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8026544743,Unit 1 Lesson 5 Quiz,Sedlak,Science,Grade 1,2025-26,Lesson  Assessments,20,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8028273316,1.3 Vocabulary Quiz,Reeder,ELA,Grade 1,2025-26,Lesson  Assessments,20,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8030435267,M1W3 Vocab Quiz,Birdwell,ELA,Grade 5,2025-26,Lesson  Assessments,18,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8030611465,Quiz 3,2nd Period,Civics,Grade 8,2025-26,Lesson  Assessments,29,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8030677985,Module 1 Week 3 Vocabulary Quiz,Lenhart,ELA,Grade 2,2025-26,Lesson  Assessments,19,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8030688955,Quiz 3,3rd Period,History,Grade 6,2025-26,Lesson  Assessments,38,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8030780280,Module 1 Week 3 Vocabulary Quiz,Agostino,ELA,Grade 2,2025-26,Lesson  Assessments,19,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8030945538,Quiz 3,5th Period,History,Grade 7,2025-26,Lesson  Assessments,24,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8033012246,Author's Purpose Quiz,Almendinger,ELA,Grade 1,2025-26,Lesson  Assessments,19,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
