school_name,item_id,item_name,question_no,question_id,section,assessment_type,students_scored,qtext
Athenian Academy of Technology and the Arts,8344562580,Grade 3 FAST Practice- ELA,27,2265677955,Sec 2,Lesson  Assessments,22,Match each statement with the character whose viewpoint it d
Athenian Academy of Technology and the Arts,8344562580,Grade 3 FAST Practice- ELA,27,2265677956,Sec 2,Lesson  Assessments,22,Select two details that belong in a summary of Passage 2.
Athenian Academy of Technology and the Arts,8346388108,Grade 3 FAST Practice- ELA,7,2266083171,Sec 1,Lesson  Assessments,0,Read the sentence from Passage 2. ?He saw the pickle his fel
Athenian Academy of Technology and the Arts,8346388108,Grade 3 FAST Practice- ELA,7,2266083173,Sec 1,Lesson  Assessments,22,"In Passage 2, how does the timeline support information from"
Athenian Academy of Technology and the Arts,8346388108,Grade 3 FAST Practice- ELA,10,2266083175,Sec 1,Lesson  Assessments,22,Match each sentence to the correct passage by choosing Passa
Athenian Academy of Technology and the Arts,8346388108,Grade 3 FAST Practice- ELA,10,2266083178,Sec 1,Lesson  Assessments,22,Read this sentence from the passage. ?Then off they flew tow
Athenian Academy of Technology and the Arts,8346388108,Grade 3 FAST Practice- ELA,13,2266083180,Sec 1,Lesson  Assessments,22,How does Ras feel about the trip to the mountains?
Athenian Academy of Technology and the Arts,8346388108,Grade 3 FAST Practice- ELA,13,2266083182,Sec 1,Lesson  Assessments,22,How does the author develop the theme that something special
Athenian Academy of Technology and the Arts,8346388108,Grade 3 FAST Practice- ELA,15,2266083183,Sec 1,Lesson  Assessments,22,Read this sentence from the passage. ?It looked like buckets
Athenian Academy of Technology and the Arts,8346388108,Grade 3 FAST Practice- ELA,15,2266083184,Sec 1,Lesson  Assessments,22,Read this paragraph from the passage. 28          It was the
Athenian Academy of Technology and the Arts,8346388108,Grade 3 FAST Practice- ELA,21,2266083193,Sec 1,Lesson  Assessments,22,How does Passage 1 support the theme of outsmarting others?
Athenian Academy of Technology and the Arts,8346388108,Grade 3 FAST Practice- ELA,21,2266083194,Sec 1,Lesson  Assessments,22,"This question has two parts. First, answer Part A. Then, ans"
Athenian Academy of Technology and the Arts,8346388108,Grade 3 FAST Practice- ELA,26,2266083198,Sec 1,Lesson  Assessments,22,Read this sentence from Passage 2. ?Greywhiskers twitched hi
Athenian Academy of Technology and the Arts,8346388108,Grade 3 FAST Practice- ELA,26,2266083199,Sec 1,Lesson  Assessments,22,Match each statement with the character whose viewpoint it d
Athenian Academy of Technology and the Arts,8346388108,Grade 3 FAST Practice- ELA,27,2266083199,Sec 1,Lesson  Assessments,22,Match each statement with the character whose viewpoint it d
Athenian Academy of Technology and the Arts,8346388108,Grade 3 FAST Practice- ELA,27,2266083200,Sec 1,Lesson  Assessments,22,Select two details that belong in a summary of Passage 2.
