school,subject_id,item_name,category,question_no,n_items,n_text_sets,legacy_sorting_qno_values,n_texts_in_cqso,verdict
Athenian Academy of Technology and the Arts,00177777a0e7d64081d079df3f05aa2549c52671b6a32d13b2355dd37d7f04b9,7.2 Grammar Review,parallel_sections_same_date,4,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,d5048bb81361ec2c2fba404824a765e59ed8e8a19f15f4717da9ebd3b9f1a657,Chapter 10,parallel_sections_same_date,6,3,3,1,3,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,5e424d51e9ebc65ee844bb15efe691b27e1877bcd27ae65bd87209886acb6395,Chapter 10,parallel_sections_same_date,7,3,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,5e424d51e9ebc65ee844bb15efe691b27e1877bcd27ae65bd87209886acb6395,Chapter 10,parallel_sections_same_date,8,3,2,1,1,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,92cc3119cab34058704b674c0d901cd1cafe827efee368dbe77b88d7b75ac8bb,Chapter 10,parallel_sections_same_date,8,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,5e424d51e9ebc65ee844bb15efe691b27e1877bcd27ae65bd87209886acb6395,Chapter 10,parallel_sections_same_date,9,3,2,1,1,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,5e424d51e9ebc65ee844bb15efe691b27e1877bcd27ae65bd87209886acb6395,Chapter 10,parallel_sections_same_date,10,3,2,1,1,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,5e424d51e9ebc65ee844bb15efe691b27e1877bcd27ae65bd87209886acb6395,Chapter 10,parallel_sections_same_date,11,3,2,1,1,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,5e424d51e9ebc65ee844bb15efe691b27e1877bcd27ae65bd87209886acb6395,Chapter 10,parallel_sections_same_date,12,3,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,5e424d51e9ebc65ee844bb15efe691b27e1877bcd27ae65bd87209886acb6395,Chapter 10,parallel_sections_same_date,13,3,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,5e424d51e9ebc65ee844bb15efe691b27e1877bcd27ae65bd87209886acb6395,Chapter 10,parallel_sections_same_date,14,3,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,5e424d51e9ebc65ee844bb15efe691b27e1877bcd27ae65bd87209886acb6395,Chapter 10,parallel_sections_same_date,15,3,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,9a6effad7e0a35a37360dafb605f9a7235c9f198cd3542ab333375c1bf2d16a3,Chapter 10,parallel_sections_different_dates,18,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,c9c2d7ea91d505b2de51fc1561835d5aa6c6f5750e0e77193fa74e51596899d5,Chapter 16,parallel_sections_same_date,3,3,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,c9c2d7ea91d505b2de51fc1561835d5aa6c6f5750e0e77193fa74e51596899d5,Chapter 16,parallel_sections_same_date,14,3,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,1a1db050a2f9e8b4f48acb2c53ce566ee7b7a402fde3ab915efda3905c09faa7,Chapter 2,parallel_sections_same_date,3,3,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,f4ad60fc6d96c175110c2e54a5bec524692fe84d29b7df84ef582a66bc35fdc3,Chapter 2,parallel_sections_different_dates,4,3,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,c645b92f5b95e0e8fca225d65baa9f8dce445979b634ce2bd94ff57c36c02099,Chapter 5,parallel_sections_same_date,1,3,3,1,3,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,94dea77626cc6b55d9d06a5f71e8221ea933b65d502153daa150bb04862a102d,Chapter 5,parallel_sections_same_date,1,3,3,1,3,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,c645b92f5b95e0e8fca225d65baa9f8dce445979b634ce2bd94ff57c36c02099,Chapter 5,parallel_sections_same_date,6,3,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,94dea77626cc6b55d9d06a5f71e8221ea933b65d502153daa150bb04862a102d,Chapter 5,parallel_sections_same_date,6,3,2,1,3,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,94dea77626cc6b55d9d06a5f71e8221ea933b65d502153daa150bb04862a102d,Chapter 5,parallel_sections_same_date,7,3,3,1,3,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,c645b92f5b95e0e8fca225d65baa9f8dce445979b634ce2bd94ff57c36c02099,Chapter 5,parallel_sections_same_date,7,3,2,1,3,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,c645b92f5b95e0e8fca225d65baa9f8dce445979b634ce2bd94ff57c36c02099,Chapter 5,parallel_sections_same_date,9,3,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,189dcc899a95781e61ee362c7a6b77fd190d201c44af9a5ba9779cf16c902750,Chapter 5,parallel_sections_same_date,11,3,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,8bd94ee8f804ae36ccb3e47fb33b276b9e808770cc6509a4fde43f43e477f263,Chapter 5,parallel_sections_same_date,11,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,079970cd5242b96f3cc0fd5b5a261a46f42fcb8284b46d6d614d08f3bc8e9030,Chapter 6,parallel_sections_same_date,8,3,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,7fb01f13832a943ad7e3152cfd9afbd5440c1562ba5f93e9ec2239757d70715f,Chapter 8,parallel_sections_same_date,6,3,3,1,3,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,ef2009a550064b55ea8e027031529779881969f5f8c54e12172f30c0178772ab,Chapter 8,parallel_sections_different_dates,12,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,346b6be77aa1158b867b6ad3e08324fdf4990620750f99c5ea7c61074e837c58,Chapter 9,parallel_sections_different_dates,13,3,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,4e85547b4f41502a8c08ae30d3cb38d95259c6c742ac2a819a337cf5554c199d,Grade 3 FAST Practice- ELA,parallel_sections_same_date,12,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,4e85547b4f41502a8c08ae30d3cb38d95259c6c742ac2a819a337cf5554c199d,Grade 3 FAST Practice- ELA,parallel_sections_same_date,13,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,4e85547b4f41502a8c08ae30d3cb38d95259c6c742ac2a819a337cf5554c199d,Grade 3 FAST Practice- ELA,parallel_sections_same_date,16,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,4e85547b4f41502a8c08ae30d3cb38d95259c6c742ac2a819a337cf5554c199d,Grade 3 FAST Practice- ELA,parallel_sections_same_date,18,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,4e85547b4f41502a8c08ae30d3cb38d95259c6c742ac2a819a337cf5554c199d,Grade 3 FAST Practice- ELA,parallel_sections_same_date,19,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,4e85547b4f41502a8c08ae30d3cb38d95259c6c742ac2a819a337cf5554c199d,Grade 3 FAST Practice- ELA,parallel_sections_same_date,23,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,4e85547b4f41502a8c08ae30d3cb38d95259c6c742ac2a819a337cf5554c199d,Grade 3 FAST Practice- ELA,parallel_sections_same_date,24,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,4e85547b4f41502a8c08ae30d3cb38d95259c6c742ac2a819a337cf5554c199d,Grade 3 FAST Practice- ELA,parallel_sections_same_date,26,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,4e85547b4f41502a8c08ae30d3cb38d95259c6c742ac2a819a337cf5554c199d,Grade 3 FAST Practice- ELA,parallel_sections_same_date,29,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,b8a299e643bb53198ddfad8041195d369334f0256ff000cbcda2bafd79feaefd,Grade 3 FAST Practice Math,parallel_sections_same_date,25,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,c0b013cc1fb117944245e274f594c8de1ab534cb5e9c88dbef46b7bc8888998c,HW 12/10 Spiral Review,parallel_sections_same_date,1,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,c0b013cc1fb117944245e274f594c8de1ab534cb5e9c88dbef46b7bc8888998c,HW 12/10 Spiral Review,parallel_sections_same_date,2,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,c0b013cc1fb117944245e274f594c8de1ab534cb5e9c88dbef46b7bc8888998c,HW 12/10 Spiral Review,parallel_sections_same_date,3,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,c0b013cc1fb117944245e274f594c8de1ab534cb5e9c88dbef46b7bc8888998c,HW 12/10 Spiral Review,parallel_sections_same_date,4,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,c0b013cc1fb117944245e274f594c8de1ab534cb5e9c88dbef46b7bc8888998c,HW 12/10 Spiral Review,parallel_sections_same_date,5,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,c0b013cc1fb117944245e274f594c8de1ab534cb5e9c88dbef46b7bc8888998c,HW 12/10 Spiral Review,parallel_sections_same_date,6,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,c0b013cc1fb117944245e274f594c8de1ab534cb5e9c88dbef46b7bc8888998c,HW 12/10 Spiral Review,parallel_sections_same_date,7,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,c0b013cc1fb117944245e274f594c8de1ab534cb5e9c88dbef46b7bc8888998c,HW 12/10 Spiral Review,parallel_sections_same_date,8,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,c0b013cc1fb117944245e274f594c8de1ab534cb5e9c88dbef46b7bc8888998c,HW 12/10 Spiral Review,parallel_sections_same_date,9,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,d8eef2699deadc6b5b0b5314cee658d4cd4220cd895c2a870b026be11a17b6f6,HW 12/9 Spiral Review,parallel_sections_same_date,1,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,d8eef2699deadc6b5b0b5314cee658d4cd4220cd895c2a870b026be11a17b6f6,HW 12/9 Spiral Review,parallel_sections_same_date,2,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,d8eef2699deadc6b5b0b5314cee658d4cd4220cd895c2a870b026be11a17b6f6,HW 12/9 Spiral Review,parallel_sections_same_date,3,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,d8eef2699deadc6b5b0b5314cee658d4cd4220cd895c2a870b026be11a17b6f6,HW 12/9 Spiral Review,parallel_sections_same_date,4,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,d8eef2699deadc6b5b0b5314cee658d4cd4220cd895c2a870b026be11a17b6f6,HW 12/9 Spiral Review,parallel_sections_same_date,5,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,d8eef2699deadc6b5b0b5314cee658d4cd4220cd895c2a870b026be11a17b6f6,HW 12/9 Spiral Review,parallel_sections_same_date,6,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,d8eef2699deadc6b5b0b5314cee658d4cd4220cd895c2a870b026be11a17b6f6,HW 12/9 Spiral Review,parallel_sections_same_date,7,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,d8eef2699deadc6b5b0b5314cee658d4cd4220cd895c2a870b026be11a17b6f6,HW 12/9 Spiral Review,parallel_sections_same_date,8,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,d8eef2699deadc6b5b0b5314cee658d4cd4220cd895c2a870b026be11a17b6f6,HW 12/9 Spiral Review,parallel_sections_same_date,9,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,d8eef2699deadc6b5b0b5314cee658d4cd4220cd895c2a870b026be11a17b6f6,HW 12/9 Spiral Review,parallel_sections_same_date,10,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,006c12732b9dbedff1a44c47bc73131959cc4dfb48171361bd8f92c0af28188d,Look Around and Explore!: Weekly Assessment: Week 2,parallel_sections_same_date,1,3,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,a7039879d7738260096347162ae78c575cb94070ade7218158517f1a64512500,Look Around and Explore!: Weekly Assessment: Week 2,parallel_sections_same_date,1,3,2,1,3,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,006c12732b9dbedff1a44c47bc73131959cc4dfb48171361bd8f92c0af28188d,Look Around and Explore!: Weekly Assessment: Week 2,parallel_sections_same_date,2,3,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,006c12732b9dbedff1a44c47bc73131959cc4dfb48171361bd8f92c0af28188d,Look Around and Explore!: Weekly Assessment: Week 2,parallel_sections_same_date,3,3,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,006c12732b9dbedff1a44c47bc73131959cc4dfb48171361bd8f92c0af28188d,Look Around and Explore!: Weekly Assessment: Week 2,parallel_sections_same_date,4,3,2,1,3,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,006c12732b9dbedff1a44c47bc73131959cc4dfb48171361bd8f92c0af28188d,Look Around and Explore!: Weekly Assessment: Week 2,parallel_sections_same_date,5,3,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,421510c5c1c9e3c14bd19d29b87b764a7198f215a62aaf7ba59b197902500700,M6W1 vocab quiz,parallel_sections_same_date,1,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,497e9302ecd592a386d3397fee4f6596063c4fd191e5f9902bc70fa392e6be1e,M6W1 vocab quiz,parallel_sections_same_date,1,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,8fd0c157332e822b8fe197c4836c141a8dda30aec1ba53b8e9e9226eb565f105,Module 5 Week 2 Vocabulary Quiz,parallel_sections_same_date,2,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,12e3cf212074df576fe4533cfefaf42aad608eac41785faafe3b661f6ab3517a,Module Assessment: Make a Difference,parallel_sections_same_date,17,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,fc86f456851bfc8e562b28d44b979ebe950d61916ba81040fa83f5c4be25e687,Once Upon a Time: Weekly Assessment: Week 2,parallel_sections_same_date,5,3,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,39308d551182d44e7450a762262d894e4a185840ba31e88765e4691b99fb969f,Practice PM3 Test Session 1,parallel_sections_same_date,7,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,91a4995428eb2f83d25b5d39584adadb98d8f4867ce0b1c9e85d56b4238cabb2,Quarter 3 Quiz 2,same_name_reused_in_section(different assessments),1,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,91a4995428eb2f83d25b5d39584adadb98d8f4867ce0b1c9e85d56b4238cabb2,Quarter 3 Quiz 2,same_name_reused_in_section(different assessments),2,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,91a4995428eb2f83d25b5d39584adadb98d8f4867ce0b1c9e85d56b4238cabb2,Quarter 3 Quiz 2,same_name_reused_in_section(different assessments),3,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
Athenian Academy of Technology and the Arts,91a4995428eb2f83d25b5d39584adadb98d8f4867ce0b1c9e85d56b4238cabb2,Quarter 3 Quiz 2,same_name_reused_in_section(different assessments),4,2,2,1,2,legacy tableEx groups ONLY by Sorting Question_No; questionDax=FIRSTNONBLANK(Question); grade=AVG(Grade_Average) -> legacy blended identically
