school_name,reason,item_id,item_name,subject_label,grade_label,evidence_grade,session,students,rows
Athenian Academy of Technology and the Arts,D1_cube_qs_stale_grade,8342066250,Module Assessment: Zoom In!,ELA,Grade K,cube:Grade 1,2025-26,,23
Central Florida Preparatory School,D1_cube_qs_stale_grade,7997317688,Unit 11 Test: Organisms and Their Environment,Science,Grade 4,cube:Grade 5,2025-26,,20
Central Florida Preparatory School,D1_cube_qs_stale_grade,7997342490,Unit 7 Benchmark Test: Working With Electricity,Science,Grade 5,cube:Grade 1,2025-26,,22
Central Florida Preparatory School,D1_cube_qs_stale_grade,8216302399,Topic 3 Assessment A,HS Honors Algebra I,Higher-Ed,cube:Grade 1,2025-26,,24
Central Florida Preparatory School,D1_cube_qs_stale_grade,8347030584,Topic 8: Sectionalism and Civil War (1820-1865),History,Grade 8,cube:Grade 7,2025-26,,20
Central Florida Preparatory School,D1_cube_qs_stale_grade,8349556979,Chapter 13 Test: Fraction Concepts,Math,Grade 1,cube:Grade 3,2025-26,,8
Central Florida Preparatory School,D1_cube_qs_stale_grade,8362776921,Topic 8,HS Algebra I,Higher-Ed,cube:Regular 9–12,2025-26,,2
Crestwell School,D1_cube_qs_stale_grade,8358079682,Chapter 16 Test: Fraction Concepts,Math,Grade 2,cube:Grade 3,2025-26,,4
Athenian Academy of Technology and the Arts,D2_cube_qs_empty_grade,7338034079,Unit 7 Test,,,cube:EMPTY,,,1
Athenian Academy of Technology and the Arts,D2_cube_qs_empty_grade,7338323403,Unit: 3 Civilization in India and China,,,cube:EMPTY,,,1
Athenian Academy of Technology and the Arts,D2_cube_qs_empty_grade,7622185498,M4W2 Vocabulary Quiz,,,cube:EMPTY,,,9
Athenian Academy of Technology and the Arts,D2_cube_qs_empty_grade,7627000905,Comparing Numbers Review HW,,,cube:EMPTY,,,8
Athenian Academy of Technology and the Arts,D2_cube_qs_empty_grade,7629339742,Plant Needs 'Genius Challenge',,,cube:EMPTY,,,7
Athenian Academy of Technology and the Arts,D2_cube_qs_empty_grade,7669808106,Chapter 5 Test,,,cube:EMPTY,,,1
Athenian Academy of Technology and the Arts,D2_cube_qs_empty_grade,7892348517,What is the Horror Genre? Selection Test,,,cube:EMPTY,,,1
Athenian Academy of Technology and the Arts,D2_cube_qs_empty_grade,7892360959,Unit: 3 Civilization in India and China,,,cube:EMPTY,,,2
Athenian Academy of Technology and the Arts,D2_cube_qs_empty_grade,7893463050,Module 2 Test,,,cube:EMPTY,,,1
Athenian Academy of Technology and the Arts,D2_cube_qs_empty_grade,8029075718,Module 2 Test,,,cube:EMPTY,,,1
Crestwell School,D2_cube_qs_empty_grade,7928764338,Chapter 16 Test: Fraction Concepts,,,cube:EMPTY,,,2
Crestwell School,D2_cube_qs_empty_grade,7935427513,Chapter 16 Test: Define Two-Dimensional Shapes,,,cube:EMPTY,,,2
Crestwell School,D2_cube_qs_empty_grade,8029128083,Module Assessment: Nice to Meet You!,,,cube:EMPTY,,,1
Crestwell School,D2_cube_qs_empty_grade,8261137849,Module Assessment: I Can Do It!,,,cube:EMPTY,,,1
Athenian Academy of Technology and the Arts,E_cube_us_stale_grade_ytd,7625334305,Science CW FSSA book matter #1,Science,Grade 5,cube:Grade 4,2024-25,19,38
Central Florida Preparatory School,E_cube_us_stale_grade_ytd,7816901887,Home Sweet Habitat: Weekly Assessment: Week 3,ELA,Grade 2,cube:Grade 3,2024-25,13,179
Central Florida Preparatory School,E_cube_us_stale_grade_ytd,7823076023,Home Sweet Habitat: Weekly Assessment: Week 3,ELA,Grade 2,cube:Grade 3,2024-25,13,117
Central Florida Preparatory School,E_cube_us_stale_grade_ytd,8362776921,Topic 8,HS Algebra I,Regular 9–12,cube:Higher-Ed,2025-26,1,18
Central Florida Preparatory School,F_cross_band_remnant,8362776921,Topic 8,HS Algebra I,Higher-Ed,other-band:Regular 9-12(16 users),2025-26,1,33
Athenian Academy of Technology and the Arts,G_qd_within_item_label_conflict,7334633943,"Now You See It, Now You Don't: Weekly Assessment: Week 2",ELA,Grade 1|Grade K,conflicting-label-sets,2024-25,,44
Athenian Academy of Technology and the Arts,G_qd_within_item_label_conflict,7696812668,Unit 3 Lesson 3 Quiz,Science|Social Studies,Grade 1,conflicting-label-sets,2024-25,,8
Athenian Academy of Technology and the Arts,G_qd_within_item_label_conflict,7701493741,Unit 3 Lesson 3 Quiz,Science|Social Studies,Grade 1,conflicting-label-sets,2024-25,,8
Athenian Academy of Technology and the Arts,G_qd_within_item_label_conflict,7789287431,M7W2 Vocabulary Quiz,ELA|Math,Grade 3,conflicting-label-sets,2024-25,,27
Central Florida Preparatory School,G_qd_within_item_label_conflict,8216302399,Topic 3 Assessment A,HS Honors Algebra I|Math,Higher-Ed,conflicting-label-sets,2025-26,,48
Central Florida Preparatory School,G_qd_within_item_label_conflict,8368439603,Topic 9: Civil Rights and Reform in the 1960s (1945–1968),ELA|HS United States History,Higher-Ed,conflicting-label-sets,2025-26,,10
Crestwell School,G_qd_within_item_label_conflict,7929054690,What Makes Us Who We Are?: Weekly Assessment: Week 2,ELA|Reading,Grade 4,conflicting-label-sets,2025-26,,30
Crestwell School,G_qd_within_item_label_conflict,7929054711,Module Assessment: What Makes Us Who We Are?,ELA|Reading,Grade 4,conflicting-label-sets,2025-26,,42
Crestwell School,G_qd_within_item_label_conflict,8030067964,Module Assessment: Come to Your Senses,ELA|Reading,Grade 4,conflicting-label-sets,2025-26,,46
Crestwell School,G_qd_within_item_label_conflict,8030068539,Come to Your Senses: Weekly Assessment: Week 1,ELA|Reading,Grade 4,conflicting-label-sets,2025-26,,22
Crestwell School,G_qd_within_item_label_conflict,8030068554,Module Assessment: Come to Your Senses,ELA|Reading,Grade 4,conflicting-label-sets,2025-26,,46
Crestwell School,G_qd_within_item_label_conflict,8043769075,Come to Your Senses: Weekly Assessment: Week 2,ELA|Reading,Grade 4,conflicting-label-sets,2025-26,,27
Crestwell School,G_qd_within_item_label_conflict,8043771169,Come to Your Senses: Weekly Assessment: Week 2,ELA|Reading,Grade 4,conflicting-label-sets,2025-26,,28
Crestwell School,G_qd_within_item_label_conflict,8067707756,Let Freedom Ring!: Weekly Assessment: Week 2,ELA|Reading,Grade 3,conflicting-label-sets,2025-26,,20
Crestwell School,G_qd_within_item_label_conflict,8076248252,Module Assessment: Natural Disasters,ELA|Reading,Grade 5,conflicting-label-sets,2025-26,,42
Crestwell School,G_qd_within_item_label_conflict,8076251173,Module Assessment: Natural Disasters,ELA|Reading,Grade 5,conflicting-label-sets,2025-26,,42
Central Florida Preparatory School,H_grade_no_derivation,,dim_subject rows: Regular 9–12,,Regular 9–12,grade_no=2 grade_sort=Regular 9–12,,,36
Central Florida Preparatory School,H_grade_no_derivation,,dim_subject rows: Higher-Ed,,Higher-Ed,grade_no=d grade_sort=Higher-Ed,,,46
Athenian Academy of Technology and the Arts,I_student_nonadjacent_span,,student-cluster 2024-25 Grade 1+Grade 8,,Grade 1+Grade 8,nonadjacent-span,2024-25,18,
Athenian Academy of Technology and the Arts,I_student_nonadjacent_span,,student-cluster 2024-25 Grade 5+Grade 7,,Grade 5+Grade 7,nonadjacent-span,2024-25,31,
Athenian Academy of Technology and the Arts,I_student_nonadjacent_span,,student-cluster 2025-26 Grade 6+Grade 8,,Grade 6+Grade 8,nonadjacent-span,2025-26,39,
Central Florida Preparatory School,I_student_nonadjacent_span,,student-cluster 2025-26 Grade 6+Grade 7+Grade 8,,Grade 6+Grade 7+Grade 8,nonadjacent-span,2025-26,1,
Central Florida Preparatory School,I_student_nonadjacent_span,,student-cluster 2025-26 Grade 7+Grade 8+Regular 9–12,,Grade 7+Grade 8+Regular 9–12,nonadjacent-span,2025-26,1,
