school,item_id,item_name,subject,grade,identifier,max_codes,cell_type,cube_possible,true_possible,possible_inflation,cube_pct,true_pct,pct_kpi_error,code_families
Athenian Academy of Technology and the Arts,8122682301,Chapter 4 Test,Algebra,Grade 8,3cce2b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,351.0000,216.0000,1.625,72.36,75.93,-3.57,AI.MA.912.AR.2.2 + MA.912.AR.2.2
Athenian Academy of Technology and the Arts,8359960427,Chapter 9 Test,Algebra,Grade 8,3cd52b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,1226.0000,567.0000,2.162,65.66,69.22,-3.56,AI.MA.912.AR.3.1 + MA.912.AR.3.1
Athenian Academy of Technology and the Arts,7628391502,HW 12/10 Spiral Review,Math,Grade 5,15592b67-8bad-44d4-bb62-d37ecb91f432,2,mixed,396.0000,174.0000,2.276,62.63,65.90,-3.27,MA.7.MAFS.7.RP.1.2.b + MA.7.MAFS.7.RP.1.2.c
Athenian Academy of Technology and the Arts,7338206087,Module 3 Test,Math,Grade 7,15592b67-8bad-44d4-bb62-d37ecb91f432,2,mixed,96.0000,64.0000,1.500,81.25,78.13,3.12,MA.7.MAFS.7.RP.1.2.c + MAFS.7.RP.1.2
Athenian Academy of Technology and the Arts,7893419337,Chapter 14,Math,Grade 5,3c2e2b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,808.0000,380.0000,2.126,88.49,85.39,3.10,MA.5.GR.1 + MA.5.GR.1.1
Athenian Academy of Technology and the Arts,8122018182,Chapter 4 Practice Test #3,Algebra,Grade 8,3d882b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,70.0000,28.0000,2.500,88.57,85.71,2.86,AI.MA.912.DP.2.4 + MA.912.DP.2.4
Athenian Academy of Technology and the Arts,7801021169,HW 4/11 Chapter 8 Review,Algebra,Grade 8,3d062b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,70.0000,34.0000,2.059,97.14,100.00,-2.86,AI.MA.912.F.1.2 + MA.912.F.1.2
Athenian Academy of Technology and the Arts,7338206105,Module 5 Test,Math,Grade 7,155c2b67-8bad-44d4-bb62-d37ecb91f432,3,mixed,1072.0000,640.0000,1.675,79.04,76.25,2.79,MA.7.MAFS.7.NS.1.2.a + MA.7.MAFS.7.NS.1.2.b + MA.7.MAFS.7.NS.1.2.c ; MA.7.MAFS.7.NS.1.2.a + MA.7.MAFS.7.NS.1.2.c
Athenian Academy of Technology and the Arts,7893426451,Chapter 14,Math,Grade 5,3c2e2b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,835.0000,380.0000,2.197,91.20,88.42,2.78,MA.5.GR.1 + MA.5.GR.1.1
Athenian Academy of Technology and the Arts,7702555923,Chapter 14,Math,Grade 5,3c2e2b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,806.0000,380.0000,2.121,74.57,71.84,2.73,MA.5.GR.1 + MA.5.GR.1.1
Athenian Academy of Technology and the Arts,7338206081,Module 2 Test,Math,Grade 7,15592b67-8bad-44d4-bb62-d37ecb91f432,2,mixed,279.0000,186.0000,1.500,67.74,70.43,-2.69,MA.7.MAFS.7.RP.1.2.b + MAFS.7.RP.1.2 ; MA.7.MAFS.7.RP.1.2.c + MAFS.7.RP.1.2
Athenian Academy of Technology and the Arts,7606124717,Chapter 4 Test,Algebra,Grade 8,3d8a2b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,57.0000,38.0000,1.500,94.74,92.11,2.63,AI.MA.912.DP.2.6 + MA.912.DP.2.6
Athenian Academy of Technology and the Arts,7594900423,Chapter 14,Math,Grade 5,3c2e2b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,869.0000,400.0000,2.173,82.05,79.50,2.55,MA.5.GR.1 + MA.5.GR.1.1
Athenian Academy of Technology and the Arts,7801021169,HW 4/11 Chapter 8 Review,Algebra,Grade 8,3cc92b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,164.0000,68.0000,2.412,90.24,92.65,-2.41,AI.MA.912.AR.1.7 + MA.912.AR.1.7
Athenian Academy of Technology and the Arts,7893426472,Chapter 15,Math,Grade 5,3c322b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,474.0000,380.0000,1.247,84.04,81.75,2.29,MA.5.GR.3 + MA.5.GR.3.2
Athenian Academy of Technology and the Arts,7338204663,Module 3 Test,Math,Grade 6,15432b67-8bad-44d4-bb62-d37ecb91f432,2,mixed,375.0000,175.0000,2.143,61.24,63.24,-2.00,MA.6.MAFS.6.NS.3.6 + MA.6.MAFS.6.NS.3.6.c
Athenian Academy of Technology and the Arts,7708642601,Chapter 6 Test,Algebra,Grade 8,3d232b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,126.0000,72.0000,1.750,61.90,63.89,-1.99,AI.MA.912.FL.3.2 + MA.912.FL.3.2
Athenian Academy of Technology and the Arts,8237639423,Module 11 POP Quiz,Math,Grade 6,15432b67-8bad-44d4-bb62-d37ecb91f432,2,mixed,51.0000,34.0000,1.500,86.27,88.24,-1.97,MA.6.MAFS.6.NS.3.6.b + MA.6.MAFS.6.NS.3.6.c
Athenian Academy of Technology and the Arts,7606124717,Chapter 4 Test,Algebra,Grade 8,3cd02b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,95.0000,57.0000,1.667,68.42,70.18,-1.76,AI.MA.912.AR.2.4 + MA.912.AR.2.4
Athenian Academy of Technology and the Arts,7606124717,Chapter 4 Test,Algebra,Grade 8,3cce2b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,266.0000,152.0000,1.750,65.41,67.11,-1.70,AI.MA.912.AR.2.2 + MA.912.AR.2.2
Athenian Academy of Technology and the Arts,7338206076,Module 1 Test,Math,Grade 7,15592b67-8bad-44d4-bb62-d37ecb91f432,3,mixed,1173.0000,768.0000,1.527,84.14,85.81,-1.67,MA.7.MAFS.7.RP.1.2.a + MA.7.MAFS.7.RP.1.2.b + MA.7.MAFS.7.RP.1.2.c ; MA.7.MAFS.7.RP.1.2.b + MA.7.MAFS.7.RP.1.2.c
Athenian Academy of Technology and the Arts,7893372516,Chapter 16,Math,Grade 1,3baf2b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,1060.0000,620.0000,1.710,77.36,79.03,-1.67,MA.1.DP.1 + MA.1.DP.1.2
Athenian Academy of Technology and the Arts,7722564422,Chapter 7 Quiz 7.1-7.2,Algebra,Grade 8,3cc52b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,216.0000,144.0000,1.500,86.57,88.19,-1.62,AI.MA.912.AR.1.3 + MA.912.AR.1.3
Athenian Academy of Technology and the Arts,7893373693,Chapter 16,Math,Grade 1,3baf2b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,1007.0000,589.0000,1.710,86.00,87.61,-1.61,MA.1.DP.1 + MA.1.DP.1.2
Athenian Academy of Technology and the Arts,7466671373,Chapter 1,Math,Grade 2,14d52b67-8bad-44d4-bb62-d37ecb91f432,2,mixed,162.0000,90.0000,1.800,83.95,85.56,-1.61,MA.2.MAFS.2.NBT.1.1.a + MA.2.MAFS.2.NBT.1.1.b
Athenian Academy of Technology and the Arts,7793620187,Chapter 16,Math,Grade 1,3baf2b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,1007.0000,589.0000,1.710,75.87,77.42,-1.55,MA.1.DP.1 + MA.1.DP.1.2
Athenian Academy of Technology and the Arts,7466670386,Chapter 1,Math,Grade 2,14d52b67-8bad-44d4-bb62-d37ecb91f432,2,mixed,161.0000,90.0000,1.789,75.16,76.67,-1.51,MA.2.MAFS.2.NBT.1.1.a + MA.2.MAFS.2.NBT.1.1.b
Athenian Academy of Technology and the Arts,7466672134,Chapter 1,Math,Grade 2,14d52b67-8bad-44d4-bb62-d37ecb91f432,2,mixed,143.0000,80.0000,1.788,76.22,77.50,-1.28,MA.2.MAFS.2.NBT.1.1.a + MA.2.MAFS.2.NBT.1.1.b
Athenian Academy of Technology and the Arts,7793627838,Chapter 16,Math,Grade 1,3baf2b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,901.0000,527.0000,1.710,83.02,84.25,-1.23,MA.1.DP.1 + MA.1.DP.1.2
Athenian Academy of Technology and the Arts,7594900424,Chapter 15,Math,Grade 5,3c322b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,475.0000,380.0000,1.250,96.00,95.00,1.00,MA.5.GR.3 + MA.5.GR.3.2
Athenian Academy of Technology and the Arts,7793584301,Chapter 16,Math,Grade 1,3baf2b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,954.0000,558.0000,1.710,78.09,79.03,-0.94,MA.1.DP.1 + MA.1.DP.1.2
Athenian Academy of Technology and the Arts,8374535217,Chapter 10 Test,Algebra,Grade 8,3d802b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,552.0000,312.0000,1.769,49.28,48.40,0.88,AI.MA.912.DP.1.1 + MA.912.DP.1.1
Athenian Academy of Technology and the Arts,7669808106,Chapter 5 Test,Algebra,Grade 8,3cfa2b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,57.0000,38.0000,1.500,56.14,55.26,0.88,AI.MA.912.AR.9.6 + MA.912.AR.9.6
Athenian Academy of Technology and the Arts,7893419344,Chapter 15,Math,Grade 5,3c322b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,468.0000,380.0000,1.232,89.42,88.55,0.87,MA.5.GR.3 + MA.5.GR.3.2
Athenian Academy of Technology and the Arts,7606124717,Chapter 4 Test,Algebra,Grade 8,3d822b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,304.0000,171.0000,1.778,84.54,85.38,-0.84,AI.MA.912.DP.1.3 + MA.912.DP.1.3
Athenian Academy of Technology and the Arts,8237933633,Module 11 POP Quiz,Math,Grade 6,15432b67-8bad-44d4-bb62-d37ecb91f432,2,mixed,60.0000,40.0000,1.500,76.67,77.50,-0.83,MA.6.MAFS.6.NS.3.6.b + MA.6.MAFS.6.NS.3.6.c
Athenian Academy of Technology and the Arts,7802303138,Chapter 8 Test,Algebra,Grade 8,15d02b67-8bad-44d4-bb62-d37ecb91f432,2,mixed,272.0000,144.0000,1.889,52.21,51.39,0.82,MA.9-12.MAFS.912.F-LE.1.1.b + MA.9-12.MAFS.912.F-LE.1.1.c
Athenian Academy of Technology and the Arts,7338206096,Module 4 Test,Math,Grade 7,155b2b67-8bad-44d4-bb62-d37ecb91f432,2,mixed,990.0000,750.0000,1.320,85.35,86.13,-0.78,MA.7.MAFS.7.NS.1.1.a + MA.7.MAFS.7.NS.1.1.d ; MA.7.MAFS.7.NS.1.1.b + MA.7.MAFS.7.NS.1.1.d ; MA.7.MAFS.7.NS.1.1.c + MA.7.MAFS.7.NS.1.1.d
Athenian Academy of Technology and the Arts,8020987405,Module 7 Test,Math,Grade 7,3c642b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,450.0000,264.0000,1.705,82.22,82.95,-0.73,MA.7.AR.1 + MA.7.AR.1.1
Athenian Academy of Technology and the Arts,7892360966,Unit: 5 The Roman World,History,Grade 6,c2a1b207-8bad-43d4-bb62-d37ecb91f432,6,mixed,71214.0000,12714.0000,5.601,77.03,76.33,0.70,SOC.6.SS.6.W.3.10 + SOC.6.SS.6.W.3.11 + SOC.6.SS.6.W.3.12 + SOC.6.SS.6.W.3.13 + SOC.6.SS.6.W.3.14 + SOC.6.SS.6.W.3.15
Athenian Academy of Technology and the Arts,7702555925,Chapter 15,Math,Grade 5,3c322b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,496.0000,400.0000,1.240,92.14,91.50,0.64,MA.5.GR.3 + MA.5.GR.3.2
Athenian Academy of Technology and the Arts,7702567070,Module 10 Test,Math,Grade 7,3d522b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,856.0000,372.0000,2.301,86.21,86.83,-0.62,G.MA.912.GR.4.5 + MA.912.GR.4.5
Athenian Academy of Technology and the Arts,7338323422,Unit: 5 The Roman World,History,Grade 6,c2a1b207-8bad-43d4-bb62-d37ecb91f432,6,mixed,51128.0000,9128.0000,5.601,71.65,71.05,0.60,SOC.6.SS.6.W.3.10 + SOC.6.SS.6.W.3.11 + SOC.6.SS.6.W.3.12 + SOC.6.SS.6.W.3.13 + SOC.6.SS.6.W.3.14 + SOC.6.SS.6.W.3.15
Athenian Academy of Technology and the Arts,7893366859,Chapter 16,Math,Grade 1,3baf2b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,1113.0000,651.0000,1.710,87.78,88.33,-0.55,MA.1.DP.1 + MA.1.DP.1.2
Athenian Academy of Technology and the Arts,8343031143,Chapter 9 Mid-Chapter Quiz,Algebra,Grade 8,3cd52b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,459.0000,243.0000,1.889,64.71,64.20,0.51,AI.MA.912.AR.3.1 + MA.912.AR.3.1
Athenian Academy of Technology and the Arts,7892359045,Unit 3 Test,History,Grade 7,ccd1b207-8bad-43d4-bb62-d37ecb91f432,2,mixed,1495.0000,1472.0000,1.016,68.83,68.41,0.42,SOC.8.SS.8.A.4.1 + SOC.8.SS.8.A.4.10
Athenian Academy of Technology and the Arts,7338204660,Module 1 Test,Math,Grade 6,15442b67-8bad-44d4-bb62-d37ecb91f432,2,mixed,1044.0000,756.0000,1.381,64.03,64.35,-0.32,MA.6.MAFS.6.NS.3.7.a + MA.6.MAFS.6.NS.3.7.c ; MA.6.MAFS.6.NS.3.7.c + MA.6.MAFS.6.NS.3.7.d
Athenian Academy of Technology and the Arts,7801021169,HW 4/11 Chapter 8 Review,Algebra,Grade 8,3d882b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,146.0000,68.0000,2.147,94.18,94.49,-0.31,AI.MA.912.DP.2.4 + MA.912.DP.2.4
Athenian Academy of Technology and the Arts,7338320727,Unit 3 Test,History,Grade 7,cbd1b207-8bad-43d4-bb62-d37ecb91f432,3,mixed,5828.0000,2511.0000,2.321,59.97,60.18,-0.21,SOC.8.SS.8.A.3.12 + SOC.8.SS.8.A.3.14 + SOC.8.SS.8.A.3.15 ; SOC.8.SS.8.A.3.14 + SOC.8.SS.8.A.3.15
Athenian Academy of Technology and the Arts,7338204661,Module 2 Test,Math,Grade 6,155b2b67-8bad-44d4-bb62-d37ecb91f432,2,mixed,288.0000,252.0000,1.143,76.39,76.19,0.20,MA.7.MAFS.7.NS.1.1.b + MA.7.MAFS.7.NS.1.1.c
Athenian Academy of Technology and the Arts,7802303138,Chapter 8 Test,Algebra,Grade 8,3d0a2b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,368.0000,192.0000,1.917,60.33,60.42,-0.09,AI.MA.912.F.1.8 + MA.912.F.1.8
Athenian Academy of Technology and the Arts,8122018182,Chapter 4 Practice Test #3,Algebra,Grade 8,3d822b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,569.0000,336.0000,1.693,88.17,88.10,0.07,AI.MA.912.DP.1.3 + MA.912.DP.1.3
Athenian Academy of Technology and the Arts,7892357130,Unit 4 Benchmark Test: The Earth-Moon-Sun System,Science,Grade 8,72b1b207-8bad-43d4-bb62-d37ecb91f432,2,uniform,2320.0000,1160.0000,2.000,86.72,86.72,0.00,SCI.8.SC.8.E.5.9.1 + SCI.8.SC.8.E.5.9.2
Athenian Academy of Technology and the Arts,7338068331,Unit 4 Benchmark Test: The Earth-Moon-Sun System,Science,Grade 8,72b1b207-8bad-43d4-bb62-d37ecb91f432,2,uniform,1440.0000,720.0000,2.000,90.00,90.00,0.00,SCI.8.SC.8.E.5.9.1 + SCI.8.SC.8.E.5.9.2
Athenian Academy of Technology and the Arts,7570315981,Chapter 3 Test,Algebra,Grade 8,3cd02b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,608.0000,304.0000,2.000,78.95,78.95,0.00,AI.MA.912.AR.2.4 + MA.912.AR.2.4
Athenian Academy of Technology and the Arts,8122682301,Chapter 4 Test,Algebra,Grade 8,3d822b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,594.0000,297.0000,2.000,84.51,84.51,0.00,AI.MA.912.DP.1.3 + MA.912.DP.1.3
Athenian Academy of Technology and the Arts,7503402943,Chapter 2 Test,Algebra,Grade 8,3cd22b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,570.0000,285.0000,2.000,79.30,79.30,0.00,AI.MA.912.AR.2.6 + MA.912.AR.2.6
Athenian Academy of Technology and the Arts,7669808106,Chapter 5 Test,Algebra,Grade 8,3cf62b67-8bad-44d5-bb62-d37ecb91f432,2,mixed,532.0000,266.0000,2.000,79.32,79.32,0.00,AI.MA.912.AR.9.1 + MA.912.AR.9.1
Athenian Academy of Technology and the Arts,7747912472,Chapter 7 Test,Algebra,Grade 8,3cc32b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,504.0000,252.0000,2.000,89.29,89.29,0.00,AI.MA.912.AR.1.1 + MA.912.AR.1.1
Athenian Academy of Technology and the Arts,8374535217,Chapter 10 Test,Algebra,Grade 8,3d8d2b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,480.0000,240.0000,2.000,65.83,65.83,0.00,AI.MA.912.DP.3.1 + MA.912.DP.3.1
Athenian Academy of Technology and the Arts,7476279934,Chapter 1 Test,Algebra,Grade 8,3ccd2b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,456.0000,228.0000,2.000,67.76,67.76,0.00,AI.MA.912.AR.2.1 + MA.912.AR.2.1
Athenian Academy of Technology and the Arts,7722564422,Chapter 7 Quiz 7.1-7.2,Algebra,Grade 8,3cc32b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,396.0000,198.0000,2.000,91.41,91.41,0.00,AI.MA.912.AR.1.1 + MA.912.AR.1.1
Athenian Academy of Technology and the Arts,7570315981,Chapter 3 Test,Algebra,Grade 8,3d0d2b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,380.0000,190.0000,2.000,71.58,71.58,0.00,AI.MA.912.F.2.1 + MA.912.F.2.1
Athenian Academy of Technology and the Arts,7802303138,Chapter 8 Test,Algebra,Grade 8,3cc92b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,256.0000,128.0000,2.000,88.28,88.28,0.00,AI.MA.912.AR.1.7 + MA.912.AR.1.7
Athenian Academy of Technology and the Arts,7802303138,Chapter 8 Test,Algebra,Grade 8,3d882b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,256.0000,128.0000,2.000,53.13,53.13,0.00,AI.MA.912.DP.2.4 + MA.912.DP.2.4
Athenian Academy of Technology and the Arts,7747912472,Chapter 7 Test,Algebra,Grade 8,3cc92b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,252.0000,126.0000,2.000,68.25,68.25,0.00,AI.MA.912.AR.1.7 + MA.912.AR.1.7
Athenian Academy of Technology and the Arts,7747912472,Chapter 7 Test,Algebra,Grade 8,3cd92b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,252.0000,126.0000,2.000,51.59,51.59,0.00,AI.MA.912.AR.3.6 + MA.912.AR.3.6
Athenian Academy of Technology and the Arts,7802303138,Chapter 8 Test,Algebra,Grade 8,3cd92b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,224.0000,112.0000,2.000,58.04,58.04,0.00,AI.MA.912.AR.3.6 + MA.912.AR.3.6
Athenian Academy of Technology and the Arts,8343031143,Chapter 9 Mid-Chapter Quiz,Algebra,Grade 8,3cac2b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,216.0000,108.0000,2.000,60.19,60.19,0.00,AI.MA.912.NSO.1.4 + MA.912.NSO.1.4
Athenian Academy of Technology and the Arts,7669808106,Chapter 5 Test,Algebra,Grade 8,3cd42b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,190.0000,95.0000,2.000,72.63,72.63,0.00,AI.MA.912.AR.2.8 + MA.912.AR.2.8
Athenian Academy of Technology and the Arts,7570315981,Chapter 3 Test,Algebra,Grade 8,3d062b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,190.0000,95.0000,2.000,55.79,55.79,0.00,AI.MA.912.F.1.2 + MA.912.F.1.2
Athenian Academy of Technology and the Arts,7708642601,Chapter 6 Test,Algebra,Grade 8,3ca92b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,180.0000,90.0000,2.000,91.11,91.11,0.00,AI.MA.912.NSO.1.1 + MA.912.NSO.1.1
Athenian Academy of Technology and the Arts,7570315981,Chapter 3 Test,Algebra,Grade 8,3cce2b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,152.0000,76.0000,2.000,90.79,90.79,0.00,AI.MA.912.AR.2.2 + MA.912.AR.2.2
Athenian Academy of Technology and the Arts,7708642601,Chapter 6 Test,Algebra,Grade 8,3ce72b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,144.0000,72.0000,2.000,79.17,79.17,0.00,AI.MA.912.AR.5.6 + MA.912.AR.5.6
Athenian Academy of Technology and the Arts,7747912472,Chapter 7 Test,Algebra,Grade 8,3cd52b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,144.0000,72.0000,2.000,61.11,61.11,0.00,AI.MA.912.AR.3.1 + MA.912.AR.3.1
Athenian Academy of Technology and the Arts,7802303138,Chapter 8 Test,Algebra,Grade 8,3d062b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,128.0000,64.0000,2.000,92.19,92.19,0.00,AI.MA.912.F.1.2 + MA.912.F.1.2
Athenian Academy of Technology and the Arts,7476279934,Chapter 1 Test,Algebra,Grade 8,3cde2b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,114.0000,57.0000,2.000,42.11,42.11,0.00,AI.MA.912.AR.4.1 + MA.912.AR.4.1
Athenian Academy of Technology and the Arts,8359960427,Chapter 9 Test,Algebra,Grade 8,3cac2b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,108.0000,54.0000,2.000,61.11,61.11,0.00,AI.MA.912.NSO.1.4 + MA.912.NSO.1.4
Athenian Academy of Technology and the Arts,7708642601,Chapter 6 Test,Algebra,Grade 8,3ce52b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,108.0000,54.0000,2.000,55.56,55.56,0.00,AI.MA.912.AR.5.4 + MA.912.AR.5.4
Athenian Academy of Technology and the Arts,7802303138,Chapter 8 Test,Algebra,Grade 8,3cd52b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,96.0000,48.0000,2.000,66.67,66.67,0.00,AI.MA.912.AR.3.1 + MA.912.AR.3.1
Athenian Academy of Technology and the Arts,7570315981,Chapter 3 Test,Algebra,Grade 8,3ce02b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,76.0000,38.0000,2.000,7.89,7.89,0.00,AI.MA.912.AR.4.3 + MA.912.AR.4.3
Athenian Academy of Technology and the Arts,7606124717,Chapter 4 Test,Algebra,Grade 8,3cd12b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,76.0000,38.0000,2.000,65.79,65.79,0.00,AI.MA.912.AR.2.5 + MA.912.AR.2.5
Athenian Academy of Technology and the Arts,7476279934,Chapter 1 Test,Algebra,Grade 8,3cc42b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,76.0000,38.0000,2.000,55.26,55.26,0.00,AI.MA.912.AR.1.2 + MA.912.AR.1.2
Athenian Academy of Technology and the Arts,8122682301,Chapter 4 Test,Algebra,Grade 8,3d882b67-8bad-44d5-bb62-d37ecb91f432,2,uniform,54.0000,27.0000,2.000,55.56,55.56,0.00,AI.MA.912.DP.2.4 + MA.912.DP.2.4
