school_name,item_id,item_name,dim_subject,dim_asmt_type,dim_grade,dim_session,fact_subject,fact_asmt_type,fact_grade,fact_session,dom_fact_rows,dim_bucket_fact_rows,classification
Athenian Academy of Technology and the Arts,7789640645,Chapter 16 Temperature and Time,Math,Assessments,Grade 4,2024-25,Math,Lesson  Assessments,Grade 4,2024-25,504,0,ORPHANED_ZERO_FACT
Athenian Academy of Technology and the Arts,8112140343,Chapter 16 Part 1,Math,Lesson  Assessments,Grade K,2025-26,Math,Lesson  Assessments,Grade K,2025-26,352,0,ORPHANED_ZERO_FACT
Athenian Academy of Technology and the Arts,7334677961,Module Assessment: Once Upon a Time,ELA,Assessments,Grade 2,2024-25,ELA,Lesson  Assessments,Grade 2,2024-25,256,48,PARTIAL_SPLIT
Athenian Academy of Technology and the Arts,7334739781,Module Assessment: Use Your Words - 10/21/24,ELA,Unit-Chap  Assessments,Grade 3,2024-25,ELA,Lesson  Assessments,Grade 3,2024-25,414,46,PARTIAL_SPLIT
Athenian Academy of Technology and the Arts,7334741824,Module Assessment: Stories on Stage,ELA,Assessments,Grade 3,2024-25,ELA,Lesson  Assessments,Grade 3,2024-25,396,22,PARTIAL_SPLIT
Athenian Academy of Technology and the Arts,7338364921,Unit 8 Benchmark Test: Living Things and  Their Parents,Science,Unit-Chap  Assessments,Grade 1,2024-25,Science,Lesson  Assessments,Grade 1,2024-25,208,13,PARTIAL_SPLIT
Athenian Academy of Technology and the Arts,7338364925,Unit 9 Benchmark Test: Plant and Animal Needs,Science,Unit-Chap  Assessments,Grade 1,2024-25,Science,Lesson  Assessments,Grade 1,2024-25,170,10,PARTIAL_SPLIT
Athenian Academy of Technology and the Arts,7466000203,Unit 4 Benchmark Test: Day and Night,Science,Assessments,Grade K,2024-25,Science,Lesson  Assessments,Grade K,2024-25,400,20,PARTIAL_SPLIT
Athenian Academy of Technology and the Arts,7661452061,Chapter 14,Math,Assessments,Grade 1,2024-25,Math,Assessments,Grade 1,2024-25,323,323,PARTIAL_SPLIT
Athenian Academy of Technology and the Arts,7661455143,Chapter 9,Math,Lesson  Assessments,Grade 2,2024-25,Math,Assessments,Grade 2,2024-25,396,66,PARTIAL_SPLIT
Athenian Academy of Technology and the Arts,7676516420,Quarter 3 Quiz #1,Civics,Lesson  Assessments,Grade 8,2024-25,Civics,Assessments,Grade 8,2024-25,75,5,PARTIAL_SPLIT
Athenian Academy of Technology and the Arts,7687741861,Chapter 12,Math,Lesson  Assessments,Grade K,2024-25,Math,Lesson  Assessments,Grade K,2024-25,380,380,PARTIAL_SPLIT
Athenian Academy of Technology and the Arts,7789244025,Quarter 4 Quiz 2,History,Assessments,Grade 7,2024-25,History,Lesson  Assessments,Grade 7,2024-25,135,5,PARTIAL_SPLIT
Athenian Academy of Technology and the Arts,7797146594,Inspired by Nature Unit Test,ELA,Lesson Assessments,Grade 7,2024-25,ELA,Lesson Assessments,Grade 7,2024-25,1508,1508,PARTIAL_SPLIT
Athenian Academy of Technology and the Arts,8112622324,Chapter 16.1,Math,Lesson  Assessments,Grade K,2025-26,Math,Lesson  Assessments,Grade K,2025-26,368,368,PARTIAL_SPLIT
Central Florida Preparatory School,8330846316,Marvels of Nature: Mod 6 Weekly Assessment: Week 1,ELA,Summative,Grade 4,2025-26,ELA,Summative,Grade 4,2025-26,119,0,ORPHANED_ZERO_FACT
Central Florida Preparatory School,8159775714,M4 W1 Heroic Feats: Weekly Assessment: Module 4 Week 1,ELA,Summative,Grade 4,2025-26,ELA,Summative,Grade 4,2025-26,153,9,PARTIAL_SPLIT
Central Florida Preparatory School,8362776921,Topic 8,HS Algebra I,topic,Regular 9–12,2025-26,HS Algebra I,topic,Regular 9–12,2025-26,539,539,PARTIAL_SPLIT
Crestwell School,7610639442,Chapter 1 Test: Counting and Number Sense,Math,Summative,Grade 1,2025-26,Math,Summative,Grade 1,2025-26,15,15,PARTIAL_SPLIT
Crestwell School,7929054690,What Makes Us Who We Are?: Weekly Assessment: Week 2,Reading,Weekly Test,Grade 4,2025-26,Reading,Summative,Grade 4,2025-26,140,30,PARTIAL_SPLIT
