school_name,subject_id,subject,grade,grade_sort,grade_no,session,item_name
Athenian Academy of Technology and the Arts,eaf59d2f6b50b7a7a4f171fa692f23bd4da6dd032ec1770e5acbe7c91acdfe8f,Math,Grade K,Grade 0,K,2025-26,Chapter 16.1
Athenian Academy of Technology and the Arts,bb08549bef49a3822939fb0e7c54cbfb36a1afd1e3a62768bf2e52819a2f3644,Math,Grade K,Grade 0,K,2025-26,Chapter 16.2
Athenian Academy of Technology and the Arts,2ec8dd053a2a6894b084a8044cd69548be940d75be645b4d022070121f3e7655,Math,Grade K,Grade 0,K,2025-26,Chapter 16 Part 1
Athenian Academy of Technology and the Arts,3be780f7a5ee67608673f40cad46c5ccacf8d284ed18620aefe1bd0dd9c6e7d5,Math,Grade K,Grade 0,K,2024-25,Chapter 17
Athenian Academy of Technology and the Arts,253cf1d595e25c76b7c0f8df69e24fc5920a0b1e07f73512a6caddc19a6d5403,Math,Grade K,Grade 0,K,2024-25,Chapter 18
Athenian Academy of Technology and the Arts,3d551410151f0eb73b69873eb104347fca7ae4b6449ac435df7395ad19f682c8,Math,Grade K,Grade 0,K,2024-25,Chapter 19
Athenian Academy of Technology and the Arts,61874ae7941143d0c579612686f2605bbb964d36153680cf2671c0357b1a7c7e,Math,Grade K,Grade 0,K,2024-25,Chapter 19
Athenian Academy of Technology and the Arts,38ee672d2be55cc47a0906ec6649879af827e8bffa9362642b2da6387bd726cb,Math,Grade K,Grade 0,K,2025-26,Chapter 19
Athenian Academy of Technology and the Arts,a8bb1a86c755db791cba00f167931adfac6049792e28bba7400f8b827b6b1b8c,Math,Grade K,Grade 0,K,2024-25,Chapter 2
Athenian Academy of Technology and the Arts,1a0613f670de833dad152782f92fa18916fe70e4ee299666000200ab6b5908e8,Math,Grade K,Grade 0,K,2024-25,Chapter 20
Athenian Academy of Technology and the Arts,a271222031f7f5eb3fa271c1c4b111c552ee101e2c2f295474b290c6fe5fac5f,Math,Grade K,Grade 0,K,2025-26,Chapter 20
Athenian Academy of Technology and the Arts,a968425c8994279302bb83110bf28c3e854b6015f3f42e317b7efc920c4a53d6,Math,Grade K,Grade 0,K,2024-25,Chapter 3
Athenian Academy of Technology and the Arts,82860d1a6c079bb4dc7fafc0c1491de7221d2dd5e908b44bba2c94cfb3a5e8a0,Math,Grade K,Grade 0,K,2024-25,Chapter 4
Athenian Academy of Technology and the Arts,f1f49a4615a4c6d3894dc2601eff54e5872e901492d1ae5de1fd87b201c13ebb,Math,Grade K,Grade 0,K,2024-25,Chapter 5
Athenian Academy of Technology and the Arts,13f8bc80ee6f7ebcb0d98fab0815272f487fbcb2da76b79c4c5716f30e471592,Math,Grade K,Grade 0,K,2024-25,Chapter 6
Athenian Academy of Technology and the Arts,77ae291d1baddc1032f63a9d711418ad7c4c8d70c68c17b4271fc6a93585c824,Math,Grade K,Grade 0,K,2024-25,Chapter 7
Athenian Academy of Technology and the Arts,a6acb7dc25db4ab073b0a771bd906facbd9dbfec30b2066620c2ea11b880e657,Math,Grade K,Grade 0,K,2024-25,Chapter 8
Athenian Academy of Technology and the Arts,b4d20fe9144dcd611441a212d997df9156e716c5c830da474f4109c959fcdb0f,Math,Grade K,Grade 0,K,2024-25,Chapter 9
Athenian Academy of Technology and the Arts,9d963aefff94011f1c1d98cfbe4ea86358a07d90601e705209e8035acfa10a41,Math,Grade K,Grade 0,K,2025-26,Chapters 11&13
Athenian Academy of Technology and the Arts,6a21d94193643efc7bbe08d42c2670997ad167017297fd30c1c4a6a1100f88c1,Math,Grade K,Grade 0,K,2025-26,Chapters 1 & 2 Test
Athenian Academy of Technology and the Arts,68de0a206dce636165e667298aeaa295bbaebd5f8b5e5d79f83f145b8dd5853c,Math,Grade K,Grade 0,K,2025-26,Chapters 3 & 6 Test
Athenian Academy of Technology and the Arts,95db1ff1c0ed39ae7b516046347b0305e79f962530d3e644c5d9a4caeb7c7717,Math,Grade K,Grade 0,K,2025-26,Chapters 4 & 5 Test
Athenian Academy of Technology and the Arts,608a13b59177ab2fe526ce2c2eb59a0b615afee33b0b4eb257ecc6ed98de38d3,Math,Grade K,Grade 0,K,2025-26,Chapters 7 & 8 Part 1
Athenian Academy of Technology and the Arts,4b0fcddcea713aa8ed6ffea80f3d96c3e1ea9a35e365b86679cdb230d9908dd7,Math,Grade K,Grade 0,K,2025-26,Chapters 7 & 8 Part 2
Athenian Academy of Technology and the Arts,e1d7f83c501f499f1d3fb41a6481c388ef6fb544d8ba67934b9e934fad3b53b0,ELA,Grade K,Grade 0,K,2024-25,Curious About Kindergarten: Weekly Assessment: Week 1
Athenian Academy of Technology and the Arts,2f43dea85d57cf43fc3a03e917429693ee17a689021c4ecf28054a2ac66c20df,ELA,Grade K,Grade 0,K,2025-26,Curious About Kindergarten: Weekly Assessment: Week 1
Athenian Academy of Technology and the Arts,ac2cb97429d9d52b477b7febaa058732471ee0aee183a03c0782aaaa3937f81c,ELA,Grade K,Grade 0,K,2025-26,Curious About Kindergarten: Weekly Assessment: Week 2
Athenian Academy of Technology and the Arts,af79477a4cfe3cf6c02de9d8d0cd4d5dde336fe41413b2bd87bac3ac3f4f4a03,ELA,Grade K,Grade 0,K,2024-25,Curious About Kindergarten: Weekly Assessment: Week 2
Athenian Academy of Technology and the Arts,fa1a9ff6032ad4f2855ed19b15ef9ca8c871309e17801e15963fe3fab06dccbc,ELA,Grade K,Grade 0,K,2024-25,Curious About Kindergarten: Weekly Assessment: Week 3
Athenian Academy of Technology and the Arts,13372bd941dafaade7a026850e097f289bac0190471653cdf4cb238996e68d82,ELA,Grade K,Grade 0,K,2025-26,Curious About Kindergarten: Weekly Assessment: Week 3
Athenian Academy of Technology and the Arts,5ce028739f540d0c997b397ccb31317da51c30ecfea202cca2b1b302bed81374,ELA,Grade K,Grade 0,K,2024-25,Curious About Kindergarten: Weekly Assessment: Week 4
Athenian Academy of Technology and the Arts,17878dbaeaa63d2ea48f9ea638420fdb4970adfef61d4da031354e416c2e930e,ELA,Grade K,Grade 0,K,2025-26,From Plant to Plate: Weekly Assessment: Week 1
Athenian Academy of Technology and the Arts,856a5e8b30132918c375c52f840541c82659bf5ca35e0cfe9b639844fb609037,ELA,Grade K,Grade 0,K,2025-26,From Plant to Plate: Weekly Assessment: Week 2
Athenian Academy of Technology and the Arts,d75ff5268b0788c6fd53ee7ce0d9a2e32a3d201679c795b3f0b94fbc673f71ea,ELA,Grade K,Grade 0,K,2024-25,Happy Healthy Me: Weekly Assessment: Week 1
Athenian Academy of Technology and the Arts,27e49af5aaca875b997ec0decf12f1ed83d091f208267ce547daed337c551721,ELA,Grade K,Grade 0,K,2025-26,Happy Healthy Me: Weekly Assessment: Week 1
Athenian Academy of Technology and the Arts,c0d64422c1e281408bc1055f94a74d5d2d1d9dec7528fdc3dde7a5f23c2095a7,ELA,Grade K,Grade 0,K,2025-26,Happy Healthy Me: Weekly Assessment: Week 2
Athenian Academy of Technology and the Arts,921cf639154e8cd347c5cd896b3d8fb979e8e68b7ee7d856a8d3e0f1a55e7ecc,ELA,Grade K,Grade 0,K,2024-25,Happy Healthy Me: Weekly Assessment: Week 2
Athenian Academy of Technology and the Arts,d206475390c3769437d4305e8ed4cb39f15aa404239fc5152b59eb62490c09f9,ELA,Grade K,Grade 0,K,2025-26,Happy Healthy Me: Weekly Assessment: Week 3
Athenian Academy of Technology and the Arts,ee38c4d2e71c66b8556e221ed0921e477460592546ddc565987a908b6218ce49,ELA,Grade K,Grade 0,K,2024-25,Happy Healthy Me: Weekly Assessment: Week 3
Athenian Academy of Technology and the Arts,db47d23fad8c449137e8be73bfff967f340c4798cad164611bb9e01b0ad58ab5,ELA,Grade K,Grade 0,K,2024-25,Happy Healthy Me: Weekly Assessment: Week 3
Athenian Academy of Technology and the Arts,6f28c4606b8f4d38690fa02e67c3b18b313aa0b28511a4d807f1851b30e27b97,ELA,Grade K,Grade 0,K,2024-25,Happy Healthy Me: Weekly Assessment: Week 4
Athenian Academy of Technology and the Arts,11e8e29647edab2a5b9352c0664029d6d9bfea23873328170f0c63ae9df59b4b,ELA,Grade K,Grade 0,K,2025-26,Home of the Free and the Brave: Weekly Assessment: Week 1
Athenian Academy of Technology and the Arts,a06608d9b6c87f6f3d96223f74fd8d7a084aa608f5003fb9c80998672f41a3af,ELA,Grade K,Grade 0,K,2024-25,Home of the Free and the Brave: Weekly Assessment: Week 1
Athenian Academy of Technology and the Arts,50385525e65e7f1f3c515df8b5162d4057f317c4b5848620c7fed40851326c0d,ELA,Grade K,Grade 0,K,2024-25,Home of the Free and the Brave: Weekly Assessment: Week 2
Athenian Academy of Technology and the Arts,353c883ddef5b8a704b565195317c3fa3d43783267bc4a7debc8a68be1f10ca6,ELA,Grade K,Grade 0,K,2024-25,Home of the Free and the Brave: Weekly Assessment: Week 3
Athenian Academy of Technology and the Arts,c9221947f20cec72325d5618e14ac6b037328a5d360bc8840b3c406041899723,ELA,Grade K,Grade 0,K,2025-26,I Can Do It!: Weekly Assessment: Week 1
Athenian Academy of Technology and the Arts,24dacf828f5c4c78628b82f0cb1023fe940649eb6bc01efb9af808fd9972f200,ELA,Grade K,Grade 0,K,2024-25,I Can Do It!: Weekly Assessment: Week 1
Athenian Academy of Technology and the Arts,46289db15eb87659eadafd9976b075ff24ba27335f6a2c97f51a5e269b5a88ca,ELA,Grade K,Grade 0,K,2025-26,I Can Do It!: Weekly Assessment: Week 2
Athenian Academy of Technology and the Arts,ff750a9918e162294328653fabe9942ed61e392d5be7a18acefb90101e6c9452,ELA,Grade K,Grade 0,K,2024-25,I Can Do It!: Weekly Assessment: Week 2
Athenian Academy of Technology and the Arts,4ef2bad51e6ffce68b8d8ae05dbc65f01118bbb541d17fbacee4b912b5e8e467,ELA,Grade K,Grade 0,K,2025-26,I Can Do It!: Weekly Assessment: Week 3
Athenian Academy of Technology and the Arts,2ccafe1308c096ab2292a9ea488676a6d4418f4435dbcdbe8d2d93ce1736e54e,ELA,Grade K,Grade 0,K,2024-25,I Can Do It!: Weekly Assessment: Week 3
Athenian Academy of Technology and the Arts,c202968ab701f32a228b0b50796d86f19616d0d175820da7ca668b33d161074b,ELA,Grade K,Grade 0,K,2024-25,Module Assessment: Curious About Kindergarten
Athenian Academy of Technology and the Arts,dd4596c47af11b62aad58cef321b96bcc600bd2183dbaae53f86001dc4da1faf,ELA,Grade K,Grade 0,K,2025-26,Module Assessment: Curious About Kindergarten
Athenian Academy of Technology and the Arts,c4ccdf589511c21cb5de60cfb469e85967346610df0f552590545296b51ce7b4,ELA,Grade K,Grade 0,K,2025-26,Module Assessment: From Plant to Plate
Athenian Academy of Technology and the Arts,34192e1ffd28af73af874e6a299451e614fc9323c2e624d6745595cac6d07a23,ELA,Grade K,Grade 0,K,2025-26,Module Assessment: Happy Healthy Me
Athenian Academy of Technology and the Arts,893ce1ea9f72cb3432eaf9b864f14ffe58008fbfc3e869c91715f68cbd275ba6,ELA,Grade K,Grade 0,K,2024-25,Module Assessment: Happy Healthy Me
Athenian Academy of Technology and the Arts,947a1e4f54c477f4ed786235dca2d39ad19f02f0bc64f43186d24d4f097f5ab6,ELA,Grade K,Grade 0,K,2024-25,Module Assessment: Home of the Free and the Brave
Athenian Academy of Technology and the Arts,b668d7e7cafb1731d32ef8d8bba4537cd2deeb71f261ce73ceddcde78a49f336,ELA,Grade K,Grade 0,K,2025-26,Module Assessment: Home of the Free and the Brave
Athenian Academy of Technology and the Arts,df8ebc0be6b606daef86ec666f095dd15de5b77ffb0002d3cb7a2b5f894a5f26,ELA,Grade K,Grade 0,K,2024-25,Module Assessment: I Can Do It!
Athenian Academy of Technology and the Arts,b01e396b39447006d63798de27f8c85772a72f5e95b62b9832525655dab2aba0,ELA,Grade K,Grade 0,K,2025-26,Module Assessment: I Can Do It!
Athenian Academy of Technology and the Arts,cd15b11d2e369409212355b3ae7a0e18bb6f48ece09442516a49c8037c7e2e9d,ELA,Grade K,Grade 0,K,2024-25,Module Assessment: My Community Heroes
Athenian Academy of Technology and the Arts,ed8c73f85dcd196291909b1d0e60f72540b84a9d3dd86829653da050e9f15bc7,ELA,Grade K,Grade 0,K,2025-26,Module Assessment: My Community Heroes
Athenian Academy of Technology and the Arts,fd3c1ddff6d2b974f7fa6ff5aa58e8e42d4247c6b1765c105c75ac95ab5b7638,ELA,Grade K,Grade 0,K,2024-25,Module Assessment: There's Only One Me!
Athenian Academy of Technology and the Arts,2b0c662b18a6b032d2501db27a692b83e33434ccc5ab9044003b37cf02b36632,ELA,Grade K,Grade 0,K,2025-26,Module Assessment: There's Only One Me!
Athenian Academy of Technology and the Arts,e39f182b240bbd535ca4fff0542985084390515c9076c3e1d9ae0e82dc953e2c,ELA,Grade K,Grade 0,K,2024-25,Module Assessment: Zoom In!
Athenian Academy of Technology and the Arts,bce1b69d0c772b98c275da7de3aaeed00ac47d40805c2fc0ac4ab1fc85a1bd86,ELA,Grade K,Grade 0,K,2025-26,Module Assessment: Zoom In!
Athenian Academy of Technology and the Arts,e4c2a8f81e6aebbe5f19bfd8cc5d298a8056fb27747ade23b03c470fac996125,Math,Grade K,Grade 0,K,2025-26,Money Test
Athenian Academy of Technology and the Arts,8b8078641ac01da5eee1f98158ac7480c0a6117647fa4626ed1fb0f703249f17,ELA,Grade K,Grade 0,K,2024-25,My Community Heroes: Weekly Assessment: Week 1
Athenian Academy of Technology and the Arts,15d5ed934c10cb023ed30ea1a6ac3e74c8bdf402916598fd691cca5e283e4d0e,ELA,Grade K,Grade 0,K,2025-26,My Community Heroes: Weekly Assessment: Week 1
Athenian Academy of Technology and the Arts,87eb4a16203908e34a3bbc934b2c7b4061ce017359cd5f5e58d6ce99d140005e,ELA,Grade K,Grade 0,K,2025-26,My Community Heroes: Weekly Assessment: Week 2
Athenian Academy of Technology and the Arts,759cbf9e2d85292275931e1efc789a52933c0afd741bf3a3fc184d5d2a78f996,ELA,Grade K,Grade 0,K,2025-26,My Community Heroes: Weekly Assessment: Week 3
Athenian Academy of Technology and the Arts,614acdb5f76b90e8158294d1d22dfc586cf83929bf654ef4b0f2b98325a57aa3,ELA,Grade K,Grade 0,K,2024-25,My Community Heroes: Weekly Assessment: Week 3
Athenian Academy of Technology and the Arts,33f8c4e7f0b619e6fa556b3fa5f0dc82d270a7b8fcb34133c292cca24d50af59,ELA,Grade K,Grade 0,K,2024-25,My Community Heroes: Weekly Assessment: Week 4
Athenian Academy of Technology and the Arts,cf6e944d8b751b384ae8e51b2f01730c06b0ab3fa14144793ae78593daffc782,Math,Grade K,Grade 0,K,2025-26,Subtraction
Athenian Academy of Technology and the Arts,57014b50054fceafc166f3b2476dce90347c4fcaebbfd528d79f32311f355bb5,ELA,Grade K,Grade 0,K,2025-26,There's Only One Me!: Weekly Assessment: Week 1
Athenian Academy of Technology and the Arts,b4802330941b9e91ba2525ac3a48eab0c4ef154d1e5f94204a1c502efda2c720,ELA,Grade K,Grade 0,K,2025-26,There's Only One Me!: Weekly Assessment: Week 2
Athenian Academy of Technology and the Arts,4fc6f5873c7ec4af237c8c1bb1ed213d9a1b5e7d2f0dc1f18ba09736a936d5f9,ELA,Grade K,Grade 0,K,2024-25,There's Only One Me!: Weekly Assessment: Week 3
Athenian Academy of Technology and the Arts,d6d40955d91a9c42a9d71a99040fc71dffffa8ed829839a07a46f9f8802e2c76,ELA,Grade K,Grade 0,K,2025-26,There's Only One Me!: Weekly Assessment: Week 3
Athenian Academy of Technology and the Arts,077afeba4095e336ea69bf2af3cece8b6000b88d5670451cb9706a28607f4559,ELA,Grade K,Grade 0,K,2024-25,There's Only One Me!: Weekly Assessment: Week 4
Athenian Academy of Technology and the Arts,d79167dcb4d17a82536397f9a0ea0c4be604827ae028f32fc785c0ea0444e74d,Math,Grade K,Grade 0,K,2025-26,Time
Athenian Academy of Technology and the Arts,1279ed17db04498ffef680658f9e1dc74dd1919dbf2627f9f146439633c2d525,Science,Grade K,Grade 0,K,2025-26,Unit 1 Benchmark Test: Doing Science
Athenian Academy of Technology and the Arts,804b08a312697fb87ec4f5331d20087e4c6199cd22d249bea4bf30030e60cd1a,Science,Grade K,Grade 0,K,2024-25,Unit 1 Benchmark Test: Doing Science
Athenian Academy of Technology and the Arts,86988c99fa8fad4bb76c0c73ba41f3db310be1cee50c48a8532793e15017fc10,Science,Grade K,Grade 0,K,2024-25,Unit 2 Benchmark Test: Animals
Athenian Academy of Technology and the Arts,787f531ba2b36a717326450266a03e2f784240128190a71af738b37845e1ff01,Science,Grade K,Grade 0,K,2025-26,Unit 2 Benchmark Test: Animals
Athenian Academy of Technology and the Arts,b00cc54fed3a43c30ae9cfca97690b67fe98603af8f361105fa3a1d5a12dbae6,Science,Grade K,Grade 0,K,2024-25,Unit 3 Benchmark Test: Plants
Athenian Academy of Technology and the Arts,f76b6b7be1c8e6856fdb0dba27137c5c869137e9bce0c9cd1369fa6994c71673,Science,Grade K,Grade 0,K,2025-26,Unit 3 Benchmark Test: Plants
Athenian Academy of Technology and the Arts,cf047a79ac48c49a51f3f98c46254b8915a4d627fbbf407852f07869dfd18c19,Science,Grade K,Grade 0,K,2025-26,Unit 4 Benchmark Test: Day and Night
Athenian Academy of Technology and the Arts,db33c0c62f2523d9aece41afaf623f738f9b6f8052c4f98feb60852b84ec738f,Science,Grade K,Grade 0,K,2024-25,Unit 4 Benchmark Test: Day and Night
Athenian Academy of Technology and the Arts,18a9945c03055c9334650354abe8e95476a18cc7d5f3b564ebbefca39a88d689,Science,Grade K,Grade 0,K,2024-25,Unit 4 Benchmark Test: Day and Night
Athenian Academy of Technology and the Arts,8be1349541175dd779aad70fe04ca1920e5a495d65360a3ee9452037a6152692,Science,Grade K,Grade 0,K,2025-26,Unit 5 Benchmark Test: Matter
Athenian Academy of Technology and the Arts,9212d7a6616ef6b448cd778cf93e7af55a4f597604276db763cd208a3d9006a0,Science,Grade K,Grade 0,K,2024-25,Unit 5 Benchmark Test: Matter
Athenian Academy of Technology and the Arts,ce681c780f0198ab722fe4c7d2b6e401a2cc9965a1239e9071105b4c21943f91,Science,Grade K,Grade 0,K,2025-26,Unit 6 Benchmark Test: Energy
Athenian Academy of Technology and the Arts,dd0922371f724b6d5f9e737922e729013c623b1d1f2950bfe5a32f9b78008476,Science,Grade K,Grade 0,K,2024-25,Unit 6 Benchmark Test: Energy
Athenian Academy of Technology and the Arts,f90140d2a0a054c8148dd344e59c521cecf29c361f7395720ac93959d96563e1,Science,Grade K,Grade 0,K,2024-25,Unit 7 Benchmark Test: Motion
Athenian Academy of Technology and the Arts,1eb6ce593b94d2b49e7ca3761ed5da3b9d638b47616bf357a0d1e8786afd6d7d,Science,Grade K,Grade 0,K,2025-26,Unit 7 Benchmark Test: Motion
Athenian Academy of Technology and the Arts,bea070d394748204d342a3caead42e2e07cf7127dd8b885deaa55011d72f78e8,ELA,Grade K,Grade 0,K,2024-25,Zoom In!: Weekly Assessment: Week 1
Athenian Academy of Technology and the Arts,6b65d5903c0e51820e0c1389e86374392f0fa627ae7d8eb066fc61ef17522582,ELA,Grade K,Grade 0,K,2025-26,Zoom In!: Weekly Assessment: Week 1
Athenian Academy of Technology and the Arts,0328f988b92ffce6a21185d245a0795c09168dc83df5612b53d8d93e7e8798e5,ELA,Grade K,Grade 0,K,2025-26,Zoom In!: Weekly Assessment: Week 2
Athenian Academy of Technology and the Arts,790de8180443b814c0d8e3f7d22807aa3b3aaccb67bf67034733ec00ef8529d6,ELA,Grade K,Grade 0,K,2024-25,Zoom In!: Weekly Assessment: Week 2
Athenian Academy of Technology and the Arts,1066c316048377b77dda9a77dc3d3564f9ac7d54913c5f2bb9004dd0d9d99605,ELA,Grade K,Grade 0,K,2025-26,Zoom In!: Weekly Assessment: Week 3
Athenian Academy of Technology and the Arts,4a4f0f055565724818a71ef7bf1917788ea00238ae5a7f30663c426f1e428e1e,ELA,Grade K,Grade 0,K,2024-25,Zoom In!: Weekly Assessment: Week 3
Central Florida Preparatory School,14560d73f073df6a9d30b152ed5d06dfdf0efa4bdddcdbb6e8a12730b15ea864,HS Physics,Higher-Ed,Higher-Ed,d,2025-26,Investigation 4: Electric Forces
Central Florida Preparatory School,8270994f9c802027e9a8b539a2cef2dd790f0bf026ba257636fd6beea4865bba,HS Physics,Higher-Ed,Higher-Ed,d,2025-26,Investigation 7: Energy
Central Florida Preparatory School,3c153bc1cb1fe580167fc69c6c119c40cf4fbb9914b1050a4f57b0497fbe09b1,HS Physics,Higher-Ed,Higher-Ed,d,2025-26,Investigation Assessment 1: Modeling Motion
Central Florida Preparatory School,ab3d6c94c79b71e383ed2423d1b530af9f164006f78a42bd0bb342c065d85bb8,HS Physics,Higher-Ed,Higher-Ed,d,2025-26,Investigation Assessment 2: Forces
Central Florida Preparatory School,599757e3b90b39d85c33e315ed4d59d2653c0296d56e13b364c7beddeaad77f3,HS Physics,Higher-Ed,Higher-Ed,d,2025-26,Investigation Assessments 3: Gravitational Forces
Central Florida Preparatory School,77f790acd10ff876f8fd889743c55b606dbabe9d3f9c7cb8caf222eb6d2b5ede,HS Honors English III,Higher-Ed,Higher-Ed,d,2025-26,Mid year test
Central Florida Preparatory School,4304dcaf0cae87456d1c6c5dc1c6a575dd91d81bf045b4434e8307ff325d616b,HS Honors English II,Higher-Ed,Higher-Ed,d,2025-26,Mid-Year Test
Central Florida Preparatory School,be7314e87308cdb368510b111e3677ccc4d69ded88d615f0f0f1dbae81041560,HS Honors English IV,Higher-Ed,Higher-Ed,d,2025-26,Mid-Year Test
Central Florida Preparatory School,e9fc16be01cfe001f5df4d28cec8106f90e743429cc85d1bf55f629fd0084100,HS Economics,Higher-Ed,Higher-Ed,d,2025-26,Topic 1
Central Florida Preparatory School,729fc31fa051a8e0945f65f76480e1841bca285c70a3133e9397584334ecd279,HS World History,Higher-Ed,Higher-Ed,d,2025-26,Topic 10: The Age of Imperialism (1800–1914)
Central Florida Preparatory School,680f777c0b3bee0253d4e750d8431cb1d2b52eb878af95d7a9b7d3a259ef5e8e,HS United States History,Higher-Ed,Higher-Ed,d,2025-26,Topic 10: The Vietnam War Era (1954–1975)
Central Florida Preparatory School,a99579bb990cad4e8c4de7d2dd298e867b5039fb6e5afc602741324169492b28,HS Economics,Higher-Ed,Higher-Ed,d,2025-26,Topic 2
Central Florida Preparatory School,90c4064c180bc4faede5d6f64850c789115753144446b83cb2649c18ff45c5c3,HS Alegra II,Higher-Ed,Higher-Ed,d,2025-26,Topic 2
Central Florida Preparatory School,dd1940b8568cb06de1a4087e3faf953a517015108a985e196fb38936d526da5c,HS Honors Algebra II,Higher-Ed,Higher-Ed,d,2025-26,Topic 3
Central Florida Preparatory School,40d692f5ea05518c79d953e6d210b2429f4e5f3d273621c46758e85ab88e6b8c,HS Economics,Higher-Ed,Higher-Ed,d,2025-26,Topic 3
Central Florida Preparatory School,24c20ffcedd25a8fa6bf8a4cbadfa6a1f1b13a18c8bdbe930bcdab65efc901d3,HS Alegra II,Higher-Ed,Higher-Ed,d,2025-26,Topic 3
Central Florida Preparatory School,00e5554ac6652a64a4556c897c33c40082537096bf35e78d0ea2e6079e506dec,HS Honors Algebra I,Higher-Ed,Higher-Ed,d,2025-26,Topic 3 Assessment A
Central Florida Preparatory School,a8c3fee94e659e198fe51d9e4f615f622262046b430928d7c39c9eb54632ac54,HS Alegra II,Higher-Ed,Higher-Ed,d,2025-26,Topic 4
Central Florida Preparatory School,d6d27e3c5d8ceea05a553b84554421b1aaa020ba51ef6820d937604fcec8ec03,HS Economics,Higher-Ed,Higher-Ed,d,2025-26,Topic 4
Central Florida Preparatory School,854955d28935622c2f7cef41ce7c6c57ae92f8d82e65f848971bde19e8f34699,HS Honors Algebra II,Higher-Ed,Higher-Ed,d,2025-26,Topic 4
Central Florida Preparatory School,fa69c0dee325b469525355f0101a5ad2845fc14d0029632087496df545eefaee,HS World History,Higher-Ed,Higher-Ed,d,2025-26,Topic 4: The Americas (Prehistory?A.D. 1570)
Central Florida Preparatory School,7a4f2f69c08fbcea208a0fbd25059734ecc52c8e2b3501cc86fc3a22011d843d,HS Alegra II,Higher-Ed,Higher-Ed,d,2025-26,Topic 5
Central Florida Preparatory School,ba6867d75d18aaa93ef7acbdd9f0e21f597547e04bdde374b3f87b4fdb135735,HS Honors Algebra I,Higher-Ed,Higher-Ed,d,2025-26,Topic 5
Central Florida Preparatory School,a8a509667acfd30224758a2a1b48c90dcc0b730a00984e76c187ad3b7f72c7ca,HS Economics,Higher-Ed,Higher-Ed,d,2025-26,Topic 5
Central Florida Preparatory School,77e3ae812d959238cecdfca46afc9451dc5c6da69c999b64f6e1bd0259040585,HS World History,Higher-Ed,Higher-Ed,d,2025-26,Topic 5: The Renaissance and Reformation (1300?1650)
Central Florida Preparatory School,c3e4e07f28e161b43fffe36d6b817427952847798159975d811732dcf00dc397,HS United States History,Higher-Ed,Higher-Ed,d,2025-26,Topic 5: World War I and the 1920s
Central Florida Preparatory School,91999fd522b2c6ce19737028d8a8bafcffc847ac6f56bcf02be712fe1da2685b,HS Economics,Higher-Ed,Higher-Ed,d,2025-26,Topic 6
Central Florida Preparatory School,b59930fd70cb1ae1726d2f5d4a9912b877ab4ede55adab2c83a5d33dc48fc170,HS World History,Higher-Ed,Higher-Ed,d,2025-26,Topic 6: New Global Connections (1415?1796)
Central Florida Preparatory School,76d955b94c731e068de34c1142f69174a97def235928941df7ef289f06ae5c73,HS United States History,Higher-Ed,Higher-Ed,d,2025-26,Topic 6: The Great Depression and the New Deal (1928-1941)
