school,item_id,item_name,qmark_pattern,has_double_space,subject_id
Athenian Academy of Technology and the Arts,7608233480,CW - Ch. 8.4  pg. 367 #6-24 even - 12/4/24,,t,53efc16bb4a5cdd0e5369d036cd768b1b031bbdc60a04d7268f3b2daaa6d6cfc
Athenian Academy of Technology and the Arts,7619254630,CW - Ch. 8.4  pg. 367 #6-24 even - 12/4/24,,t,53efc16bb4a5cdd0e5369d036cd768b1b031bbdc60a04d7268f3b2daaa6d6cfc
Athenian Academy of Technology and the Arts,7612731858,CW - Ch. 8.4  pg. 367 #6-24 even - 12/4/24,,t,53efc16bb4a5cdd0e5369d036cd768b1b031bbdc60a04d7268f3b2daaa6d6cfc
Athenian Academy of Technology and the Arts,7892346402,from Into the Air /  from The Wright Brothers: How They Invented the Airplane Selection Test,,t,daede3203b4f232223c446d02d6e77c1ef6410964585ac8dd86753fd254b7884
Athenian Academy of Technology and the Arts,7338165192,from Into the Air /  from The Wright Brothers: How They Invented the Airplane Selection Test,,t,547002681247fd4a04034bec894ab2ac00d6bfbec5dc6d28a690c9164fc816a0
Athenian Academy of Technology and the Arts,7613415036,HW 8.6  pgs. 331-332  #1-8 (skip #3),,t,2ac8f6fc09041a3f08f7641616968d273e01b6b9902b649bbe6b101946378d99
Athenian Academy of Technology and the Arts,7619335553,HW 8.6  pgs. 331-332  #1-8 (skip #3),,t,2ac8f6fc09041a3f08f7641616968d273e01b6b9902b649bbe6b101946378d99
Athenian Academy of Technology and the Arts,7613842755,HW 8.6  pgs. 331-332  #1-8 (skip #3),,t,2ac8f6fc09041a3f08f7641616968d273e01b6b9902b649bbe6b101946378d99
Athenian Academy of Technology and the Arts,7622593450,"HW  Ch. 8.10 pgs. 405-406  #1-17 odds, #21, 23, 25 - 12/9/24",,t,07e6ae64ef19d810676cd76927f9426246dbce4ca18f9c3363d321d1edfa843d
Athenian Academy of Technology and the Arts,7623890633,"HW  Ch. 8.10 pgs. 405-406  #1-17 odds, #21, 23, 25 - 12/9/24",,t,07e6ae64ef19d810676cd76927f9426246dbce4ca18f9c3363d321d1edfa843d
Athenian Academy of Technology and the Arts,7623185959,"HW  Ch. 8.10 pgs. 405-406  #1-17 odds, #21, 23, 25 - 12/9/24",,t,07e6ae64ef19d810676cd76927f9426246dbce4ca18f9c3363d321d1edfa843d
Athenian Academy of Technology and the Arts,7630568806,"HW Ch. 8 Review pgs. 413-417  #1, 2, 4, 5, 9, 10, 11, 12, 13, 17",,t,75842513a6de26f9fa28101e4ecb4dd47920e0b13c81fbae90d4b670f74fbead
Athenian Academy of Technology and the Arts,7623890689,"HW Ch. 8 Review pgs. 413-417  #1, 2, 4, 5, 9, 10, 11, 12, 13, 17",,t,75842513a6de26f9fa28101e4ecb4dd47920e0b13c81fbae90d4b670f74fbead
Athenian Academy of Technology and the Arts,8093785079,M3W1 Vocabulary  Quiz,,t,3f0ab8655153af6d39a94b2033f1970235e2dd6a3d52b3b22c5b35dc75b6ef58
Athenian Academy of Technology and the Arts,7620225345,M4W2  Vocabulary Quiz,,t,259ba97a7f99d495817938642328653a9091652ba10e466d49fe83701079f1db
Athenian Academy of Technology and the Arts,7620500348,M4W2  Vocabulary Quiz,,t,259ba97a7f99d495817938642328653a9091652ba10e466d49fe83701079f1db
Athenian Academy of Technology and the Arts,7620546384,M4W2  Vocabulary Quiz,,t,259ba97a7f99d495817938642328653a9091652ba10e466d49fe83701079f1db
Athenian Academy of Technology and the Arts,8194198134,M4W3  Vocabulary Quiz,,t,365c5e73112114f1a653ad76e74aabe96db5533d71a9595c96e3b59e60803605
Athenian Academy of Technology and the Arts,7663638907,M4W3  Vocabulary Quiz,,t,594ce448faf1d37c5d23ae500dda58fa0ec4ad70d679c08d3636a631f893674d
Athenian Academy of Technology and the Arts,7892348525,New Immigrants Share Their Stories / A Common Bond: Teens Forge Friendships. . .  Selection Test,,t,82b5bf083290ebdda07b9e2c0a9ebb14c486d548b3988934ef8deea8d9ff2e1d
Athenian Academy of Technology and the Arts,7338194085,New Immigrants Share Their Stories / A Common Bond: Teens Forge Friendships. . .  Selection Test,,t,23b3bc02ca1d84aae6aa52808e03d90c11995d2cd8e6ac2534dc3baf95481718
Athenian Academy of Technology and the Arts,7628056550,science CW FSSA book  matter #2,,t,6a367ed5a5b633d49d34f4e8abdeade73f3472cee398402754cde0936675f3b2
Athenian Academy of Technology and the Arts,7338365160,Unit 8 Benchmark Test: Living Things and  Their Parents,,t,500303dd95526a32edea285f5b7278f8f4098b2fc9f68aec85c8885b0efe464b
Athenian Academy of Technology and the Arts,7338364921,Unit 8 Benchmark Test: Living Things and  Their Parents,,t,500303dd95526a32edea285f5b7278f8f4098b2fc9f68aec85c8885b0efe464b
Athenian Academy of Technology and the Arts,7892349080,Unit 8 Benchmark Test: Living Things and  Their Parents,,t,81d46b36070f712c2177c9b2a3c1f071adadbdfa2831d8b0d345324a5b9c8326
Athenian Academy of Technology and the Arts,7892349230,Unit 8 Benchmark Test: Living Things and  Their Parents,,t,81d46b36070f712c2177c9b2a3c1f071adadbdfa2831d8b0d345324a5b9c8326
Athenian Academy of Technology and the Arts,7892349383,Unit 8 Benchmark Test: Living Things and  Their Parents,,t,81d46b36070f712c2177c9b2a3c1f071adadbdfa2831d8b0d345324a5b9c8326
Athenian Academy of Technology and the Arts,7338365038,Unit 8 Benchmark Test: Living Things and  Their Parents,,t,500303dd95526a32edea285f5b7278f8f4098b2fc9f68aec85c8885b0efe464b
Central Florida Preparatory School,7891731612,Unit 4 Benchmark Test: Earth?s Resources,mangled_apostrophe,f,b6bd27d634cb829ed32e1d6e94ebd4fbc60b0f455ebed79a4724f73c5e959a83
Central Florida Preparatory School,8118215773,Topic 4: The Americas (Prehistory?A.D. 1570),mangled_endash_or_other,f,fa69c0dee325b469525355f0101a5ad2845fc14d0029632087496df545eefaee
Central Florida Preparatory School,8228272353,Topic 5: The Renaissance and Reformation (1300?1650),mangled_endash_or_other,f,77e3ae812d959238cecdfca46afc9451dc5c6da69c999b64f6e1bd0259040585
Central Florida Preparatory School,8273818985,Topic 6: New Global Connections (1415?1796),mangled_endash_or_other,f,b59930fd70cb1ae1726d2f5d4a9912b877ab4ede55adab2c83a5d33dc48fc170
Central Florida Preparatory School,8347031150,Topic 8: Postwar America (1945?1960),mangled_endash_or_other,f,fc0e7459cc88c97c46164a521b2e5f4b2856f5769c944f85f58d0ef58536a6df
Central Florida Preparatory School,8341726127,Topic 8: The Industrial Revolution (1750?1914),mangled_endash_or_other,f,a9823504ba12c3d3a35577304948effbe275277484f68395998e1030ef747b09
Central Florida Preparatory School,8087300305,Unit 8 Benchmark Test: Living Things and  Their Parents,,t,e47dddc2cbdfbf6bd6a42947143568fae2cb9f050b4e76176ea7cc8bf5f7d43b
Central Florida Preparatory School,7891731620,Unit 8 Benchmark Test: Living Things and  Their Parents,,t,e47dddc2cbdfbf6bd6a42947143568fae2cb9f050b4e76176ea7cc8bf5f7d43b
Central Florida Preparatory School,7891731749,Unit 8 Benchmark Test: Living Things and  Their Parents,,t,e47dddc2cbdfbf6bd6a42947143568fae2cb9f050b4e76176ea7cc8bf5f7d43b
Central Florida Preparatory School,7891731484,Unit 8 Benchmark Test: Living Things and  Their Parents,,t,e47dddc2cbdfbf6bd6a42947143568fae2cb9f050b4e76176ea7cc8bf5f7d43b
