school_id,item_id,item_name,subject_id,subject,assessment_type,grade,session,bucket_students,bucket_questions,item_total_students,item_total_questions,reachable_as_report,is_canonical_report_bucket
019eb11c-410a-7ffb-86e6-a0294c669670,7676516420,Quarter 3 Quiz #1,3ac336230d41080fbc91d6f489db19b3c90f3c42ac3fbcf27fcf98c13efce56d,Civics,Lesson  Assessments,Grade 8,2024-25,1,5,16,5,1,t
019eb11c-410a-7ffb-86e6-a0294c669670,7687741861,Chapter 12,9dfd47961f78cda8d9695c9dd3a1a530c3d81b8ef65c5fb5b802bd221cefad14,Math,Lesson  Assessments,Grade K,2024-25,19,15,19,15,3,t
019eb11c-410a-7ffb-86e6-a0294c669670,7687741861,Chapter 12,e93f836775458de9c65b5631901b73431a6fe43315a5aa090f429f05f53811b6,Math,Assessments,Grade K,2024-25,2,5,19,15,0,f
019eb11c-410a-7ffb-86e6-a0294c669670,7789244025,Quarter 4 Quiz 2,5b9820af3bcca451a3bfd442a51a9e8a5ec6f9223af1ad705b52ca01cba7e6e0,History,Lesson  Assessments,Grade 7,2024-25,27,5,28,5,0,f
019eb11c-410a-7ffb-86e6-a0294c669670,7789244025,Quarter 4 Quiz 2,921195d373bc6d957b4b62a985cc532901d1a11f4111aa1785dbec79dbe392d3,History,Assessments,Grade 7,2024-25,1,5,28,5,1,t
019eb11c-410a-7ffb-86e6-a0294c669670,7797146594,Inspired by Nature Unit Test,9c29f403bf8db93a9e53d9edb09f29797ebd427e683d5538bf619a8ff5a4b11b,ELA,Lesson Assessments,Grade 7,2024-25,29,40,30,40,1,t
019eb11c-410a-7ffb-86e6-a0294c669670,7797146594,Inspired by Nature Unit Test,bd098359ce0318bb3a177b93aae2f20935f7c869530443b2c511cabb80569846,ELA,Lesson  Assessments,Grade 7,2024-25,1,40,30,40,0,f
019eb11c-410a-7ffb-86e6-a0294c669670,8112622324,Chapter 16.1,eaf59d2f6b50b7a7a4f171fa692f23bd4da6dd032ec1770e5acbe7c91acdfe8f,Math,Lesson  Assessments,Grade K,2025-26,23,12,24,12,2,t
019eb11c-410a-7ffb-86e6-a0294c669670,8112622324,Chapter 16 Part 1,2ec8dd053a2a6894b084a8044cd69548be940d75be645b4d022070121f3e7655,Math,Lesson  Assessments,Grade K,2025-26,1,12,24,12,1,f
019eb11c-413b-7a66-a7d8-a18f14736ede,8159775714,M4 W1 Heroic Feats: Weekly Assessment: Module 4 Week 1 12/18,17df9be6c491d4c66bde65d3be3e2e66897b3d5e7d0be0be69842d2990fe8b61,ELA,Summative,Grade 4,2025-26,17,9,18,9,0,f
019eb11c-413b-7a66-a7d8-a18f14736ede,8159775714,M4 W1 Heroic Feats: Weekly Assessment: Module 4 Week 1,481e3b9dc0cf7016dc89e4c93b0c5ca205d19a3b3778cac052e2033e74f757da,ELA,Summative,Grade 4,2025-26,1,9,18,9,1,t
019eb11c-413b-7a66-a7d8-a18f14736ede,8362776921,Topic 8,4d7bfbf1585a4c49c58ca8caf67e0d107ff986926f1d5f67f3d6ee497eed0128,HS Algebra I,topic,Regular 9–12,2025-26,16,18,17,18,1,t
019eb11c-413b-7a66-a7d8-a18f14736ede,8362776921,Topic 8,38fa194a54c74486c22b4a1780e7e842c68aaa132a5237641c20f03eef8ab063,HS Algebra I,topic,Higher-Ed,2025-26,1,18,17,18,0,f
019eb11c-413c-7ed9-872e-0fe5e9a947b6,7610639442,Chapter 1 Test: Counting and Number Sense,82f644f56225014e33a80906e11a1afacafeeab392378cbcc188a8b67f5f87fc,Math,Chap Test,Grade 1,2024-25,1,9,2,9,1,f
019eb11c-413c-7ed9-872e-0fe5e9a947b6,7610639442,Chapter 1 Test: Counting and Number Sense,d7a8b2735e95c8860d582d740349c3eb0ce800ba222fad7bffb3ca662d0a1165,Math,Summative,Grade 1,2025-26,1,9,2,9,1,t
019eb11c-413c-7ed9-872e-0fe5e9a947b6,7929054690,What Makes Us Who We Are?: Weekly Assessment: Week 2,07a8a60fdad4ec926d5bd5c2b09abea44e50dc00f90f1640767b9443334f6bab,Reading,Summative,Grade 4,2025-26,15,10,16,10,0,f
019eb11c-413c-7ed9-872e-0fe5e9a947b6,7929054690,What Makes Us Who We Are?: Weekly Assessment: Week 2,5597cbf1de2c690fa6f063313abda43ad1ee23d5bf90d3530a9431503d558d56,Reading,Weekly Test,Grade 4,2025-26,3,10,16,10,1,t
