school,norm_name,subject,grade,session,assessment_type,subject_id,items,item_ids,students,bucket_role,set_total_students,sample_item_name
Athenian Academy of Technology and the Arts,module assessment: use your words,ELA,Grade 3,2024-25,Lesson  Assessments,74a275d2bbed8cd522e048cc075edd8a29ce0902fc1e3161fa44394ecdbb0672,1,7334739781,18,stranded_minority,56,Module Assessment: Use Your Words
Athenian Academy of Technology and the Arts,"now you see it, now you don't: weekly assessment: week 1",ELA,Grade 1,2024-25,Assessments,f858b4909dcbf6914df81425b9539806c033454232a12bb3104658c029880199,2,7334632768;7334633906,39,majority,56,"Now You See It, Now You Don't: Weekly Assessment: Week 1"
Athenian Academy of Technology and the Arts,"now you see it, now you don't: weekly assessment: week 1",ELA,Grade 1,2024-25,Lesson  Assessments,ade61de964fb063c1756e5a1fd93d2f332fc838d4ac93a0e4e5b9b42fb9d4b79,1,7334635223,17,stranded_minority,56,"Now You See It, Now You Don't: Weekly Assessment: Week 1"
Athenian Academy of Technology and the Arts,project earth: weekly assessment: week 1,ELA,Grade 5,2024-25,Assessments,aea1090d8b5c45186539d2517d835e4d8da91c21729e2d9c878cb94eb8c65920,1,7337889517,19,majority,37,Project Earth: Weekly Assessment: Week 1
Athenian Academy of Technology and the Arts,project earth: weekly assessment: week 1,ELA,Grade 5,2024-25,Lesson  Assessments,e3856f94f216ede0bd4afbc0b49e137bd3cda0e0a16ba12436479d9ed0275d91,1,7337889366,18,stranded_minority,37,Project Earth: Weekly Assessment: Week 1
Athenian Academy of Technology and the Arts,quarter 3 quiz #1,Civics,Grade 8,2024-25,Assessments,82c9f3b3cdb7fdbb68db7b29ffc500aad76be31edd384b10ef47bd7abfb1466f,1,7676516420,15,majority,16,Quarter 3 Quiz #1
Athenian Academy of Technology and the Arts,quarter 3 quiz #1,Civics,Grade 8,2024-25,Lesson  Assessments,3ac336230d41080fbc91d6f489db19b3c90f3c42ac3fbcf27fcf98c13efce56d,1,7676516420,1,stranded_minority,16,Quarter 3 Quiz #1
Athenian Academy of Technology and the Arts,quarter 4 quiz 2,History,Grade 7,2024-25,Lesson  Assessments,5b9820af3bcca451a3bfd442a51a9e8a5ec6f9223af1ad705b52ca01cba7e6e0,1,7789244025,27,majority,28,Quarter 4 Quiz 2
Athenian Academy of Technology and the Arts,quarter 4 quiz 2,History,Grade 7,2024-25,Assessments,921195d373bc6d957b4b62a985cc532901d1a11f4111aa1785dbec79dbe392d3,1,7789244025,1,stranded_minority,28,Quarter 4 Quiz 2
Athenian Academy of Technology and the Arts,teamwork: weekly assessment: week 1,ELA,Grade 3,2024-25,Assessments,055ba38dac067db7fd724cb958be10189e3274f9ad60c6e736d56271a40ebbac,2,7334738943;7334741890,39,majority,59,Teamwork: Weekly Assessment: Week 1
Athenian Academy of Technology and the Arts,teamwork: weekly assessment: week 1,ELA,Grade 3,2024-25,Lesson  Assessments,c7bb4fdf11ee29d4f43456ceeefa60f77116c23d3d6d9b9f0846ee92701aca3f,1,7334740354,20,stranded_minority,59,Teamwork: Weekly Assessment: Week 1
Athenian Academy of Technology and the Arts,the big outdoors: weekly assessment: week 2,ELA,Grade 1,2024-25,Assessments,db6673c4b67b2375804e4782d8d7ce724fb1b415381ee0315d2468b65ad55872,2,7789311174;7789322750,36,majority,55,The Big Outdoors: Weekly Assessment: Week 2
Athenian Academy of Technology and the Arts,the big outdoors: weekly assessment: week 2,ELA,Grade 1,2024-25,Lesson  Assessments,7313aff68038964973e8ea4247a44fe6a7d11bbd048124c5e11b94732a176bc0,1,7789295582,19,stranded_minority,55,The Big Outdoors: Weekly Assessment: Week 2
Athenian Academy of Technology and the Arts,tricksters and tall tales: weekly assessment: week 2,ELA,Grade 4,2024-25,Lesson  Assessments,1be72ea3606692d578f0324327d1e6177ac271947e07e7a1d8132f7171dca494,1,7789352689,21,majority,41,Tricksters and Tall Tales: Weekly Assessment: Week 2
Athenian Academy of Technology and the Arts,tricksters and tall tales: weekly assessment: week 2,ELA,Grade 4,2024-25,Assessments,07ae679a2368a5c11ff4042f1eaecb8d3cca5a61ee3f6dec950e4aaa3a2d2ac0,1,7789344259,20,stranded_minority,41,Tricksters and Tall Tales: Weekly Assessment: Week 2
Athenian Academy of Technology and the Arts,unit 4 benchmark test: day and night,Science,Grade K,2024-25,Assessments,18a9945c03055c9334650354abe8e95476a18cc7d5f3b564ebbefca39a88d689,3,7466000203;7466003785;7466003803,37,majority,57,Unit 4 Benchmark Test: Day and Night
Athenian Academy of Technology and the Arts,unit 4 benchmark test: day and night,Science,Grade K,2024-25,Lesson  Assessments,db33c0c62f2523d9aece41afaf623f738f9b6f8052c4f98feb60852b84ec738f,1,7466000203,20,stranded_minority,57,Unit 4 Benchmark Test: Day and Night
Athenian Academy of Technology and the Arts,unit 4 benchmark test: earth?s resources,Science,Grade 1,2024-25,Assessments,4f903b0c4cfce3aaf04d499088343bf1484cb4fe2dbf7d5e154e282911404ae3,2,7338364890;7338365111,35,majority,54,Unit 4 Benchmark Test: Earth?s Resources
Athenian Academy of Technology and the Arts,unit 4 benchmark test: earth?s resources,Science,Grade 1,2024-25,Lesson  Assessments,9144e000c9b5524a7135ed0a7b3f562fdba99cbf62d2a33edad1f29c6dbfea1d,1,7338364983,19,stranded_minority,54,Unit 4 Benchmark Test: Earth?s Resources
Athenian Academy of Technology and the Arts,unit 4 benchmark test: weather,Science,Grade 2,2024-25,Unit-Chap  Assessments,b55dc6f59fd505704be5fa1a63c81872244bfc6f9e3635f118fcbeb85d842d35,2,7338394473;7338394563,32,majority,51,Unit 4 Benchmark Test: Weather
Athenian Academy of Technology and the Arts,unit 4 benchmark test: weather,Science,Grade 2,2024-25,Lesson  Assessments,f71160246e52c2f533e7f3a0485572dfb24a7a58dd3d8f06eacdc5d7ffcf8d91,1,7338394693,19,stranded_minority,51,Unit 4 Benchmark Test: Weather
Athenian Academy of Technology and the Arts,unit 5 benchmark test: all about matter,Science,Grade 2,2024-25,Lesson  Assessments,1ae2f2d31bcc3ad8ea08ff18731ee7b6dcf60e37519f4b52feba2ed2fe29ecc2,2,7338394577;7338394701,35,majority,54,Unit 5 Benchmark Test: All About Matter
Athenian Academy of Technology and the Arts,unit 5 benchmark test: all about matter,Science,Grade 2,2024-25,Assessments,463bfd9b3019c69e30aa6fb51958ca3a0f11e0dace12dcf67eb0e624ef026ef4,1,7338394479,19,stranded_minority,54,Unit 5 Benchmark Test: All About Matter
Athenian Academy of Technology and the Arts,unit 6 benchmark test: heat sources,Science,Grade 3,2024-25,Lesson  Assessments,ff678e7e8c84c4aec14e1ef728312ab780f0ce520e69eb94ff756f8525a03265,2,7338399368;7338399397,40,majority,59,Unit 6 Benchmark Test: Heat Sources
Athenian Academy of Technology and the Arts,unit 6 benchmark test: heat sources,Science,Grade 3,2024-25,Unit-Chap  Assessments,79b8140647d0fb2ee3987f9ee6e51b880a0e229d09821d009d5183d70f8d6e3c,1,7338399433,19,stranded_minority,59,Unit 6 Benchmark Test: Heat Sources
Athenian Academy of Technology and the Arts,unit 8 benchmark test: living things and their parents,Science,Grade 1,2024-25,Unit-Chap  Assessments,500303dd95526a32edea285f5b7278f8f4098b2fc9f68aec85c8885b0efe464b,3,7338364921;7338365038;7338365160,37,majority,53,Unit 8 Benchmark Test: Living Things and  Their Parents
Athenian Academy of Technology and the Arts,unit 8 benchmark test: living things and their parents,Science,Grade 1,2024-25,Lesson  Assessments,6d271a0f1dafc3670161188b9f120349439e147ae7429994781bb9fa76b89e15,1,7338364921,16,stranded_minority,53,Unit 8 Benchmark Test: Living Things and  Their Parents
Athenian Academy of Technology and the Arts,unit 9 benchmark test: plant and animal needs,Science,Grade 1,2024-25,Unit-Chap  Assessments,d70ec618c64f6c3fb27d730c8c28cd50630d9e7a01912b180b3c7f6937467889,3,7338364925;7338365058;7338365172,33,majority,50,Unit 9 Benchmark Test: Plant and Animal Needs
Athenian Academy of Technology and the Arts,unit 9 benchmark test: plant and animal needs,Science,Grade 1,2024-25,Lesson  Assessments,f8613defeb50a0e45abb46ca66e000da3a8466ffec293831e3cbf0dd62bc3673,1,7338364925,17,stranded_minority,50,Unit 9 Benchmark Test: Plant and Animal Needs
Athenian Academy of Technology and the Arts,unit 9 benchmark test: the human body,Science,Grade 2,2024-25,Assessments,5f3047f843a172244c403bf721bf28cc9b7f83d4c70956716853e991140b6f7a,2,7338394510;7338394624,34,majority,54,Unit 9 Benchmark Test: The Human Body
Athenian Academy of Technology and the Arts,unit 9 benchmark test: the human body,Science,Grade 2,2024-25,Lesson  Assessments,b426bc2981263e145a5c9247e78a145347491ab1b5d4099383cb4945b121bd77,1,7338394737,20,stranded_minority,54,Unit 9 Benchmark Test: The Human Body
Central Florida Preparatory School,topic 6: the constitution protects your rights: defend all rights,Civics,Grade 7,2025-26,topic,afa09abf58f8bc4abdfa76a6842ad54229a5bf5041c079b903f3d3d81ff5a6be,1,8140495629,16,majority,32,Topic 6: The Constitution Protects Your Rights: Defend All Rights
Central Florida Preparatory School,topic 6: the constitution protects your rights: defend all rights,Civics,Grade 7,2025-26,Summative,b603dc8b94d5b6a85505a7b6fdb5b950706dca5c00b725102603b7bc83285de4,1,8140495693,16,stranded_minority,32,Topic 6: The Constitution Protects Your Rights: Defend All Rights
Central Florida Preparatory School,topic 9: civilizations of east asia and southeast asia (250 bce - 1644 ce),History,Grade 6,2025-26,topic,96023160e66595d605ae4185695006eddd3dd5fb6a67c7ec8f5b0f013ae1116c,1,8352495237,21,majority,40,Topic 9: Civilizations of East Asia and Southeast Asia (250 BCE - 1644 CE)
Central Florida Preparatory School,topic 9: civilizations of east asia and southeast asia (250 bce - 1644 ce),History,Grade 6,2025-26,Summative,9777089f7ceb3b8bd61a20bc48b4fd65329d356d6516df8ecc9e213342980026,1,8352494723,19,stranded_minority,40,Topic 9: Civilizations of East Asia and Southeast Asia (250 BCE - 1644 CE)
Crestwell School,what makes us who we are?: weekly assessment: week 2,Reading,Grade 4,2025-26,Summative,07a8a60fdad4ec926d5bd5c2b09abea44e50dc00f90f1640767b9443334f6bab,1,7929054690,15,majority,18,What Makes Us Who We Are?: Weekly Assessment: Week 2
Crestwell School,what makes us who we are?: weekly assessment: week 2,Reading,Grade 4,2025-26,Weekly Test,5597cbf1de2c690fa6f063313abda43ad1ee23d5bf90d3530a9431503d558d56,1,7929054690,3,stranded_minority,18,What Makes Us Who We Are?: Weekly Assessment: Week 2
