school_id,school_id_csv,item_id,item_name,fact_subj,dim_subj,fact_subject,fact_atype,fact_grade,fact_session,dim_subject,dim_atype,dim_grade,dim_session
019eb11c-410a-7ffb-86e6-a0294c669670,186370968,7661452061,Chapter 14,85e6602009435ef89f61b7b384216b352a250b69d159a2b4b2002dada6759a49,171c7d83022de61f53560185794df47d9981decd2f6a2efe5480a2518bef6f67,Math,Lesson  Assessments,Grade 1,2024-25,Math,Assessments,Grade 1,2024-25
019eb11c-410a-7ffb-86e6-a0294c669670,186370968,7661454577,Chapter 9,4b9bbdd81191adebb097de0effae310f2a1662dfae574531f89d51174035cd3a,58978d1d046b2a4c63dd1fb17a14bf9a74b327bff475a15abd336bb2b3c99848,Math,Assessments,Grade 2,2024-25,Math,Lesson  Assessments,Grade 2,2024-25
019eb11c-410a-7ffb-86e6-a0294c669670,186370968,7661455143,Chapter 9,4b9bbdd81191adebb097de0effae310f2a1662dfae574531f89d51174035cd3a,58978d1d046b2a4c63dd1fb17a14bf9a74b327bff475a15abd336bb2b3c99848,Math,Assessments,Grade 2,2024-25,Math,Lesson  Assessments,Grade 2,2024-25
019eb11c-410a-7ffb-86e6-a0294c669670,186370968,7676516420,Quarter 3 Quiz #1,82c9f3b3cdb7fdbb68db7b29ffc500aad76be31edd384b10ef47bd7abfb1466f,3ac336230d41080fbc91d6f489db19b3c90f3c42ac3fbcf27fcf98c13efce56d,Civics,Assessments,Grade 8,2024-25,Civics,Lesson  Assessments,Grade 8,2024-25
019eb11c-410a-7ffb-86e6-a0294c669670,186370968,7687741861,Chapter 12,e93f836775458de9c65b5631901b73431a6fe43315a5aa090f429f05f53811b6,9dfd47961f78cda8d9695c9dd3a1a530c3d81b8ef65c5fb5b802bd221cefad14,Math,Assessments,Grade K,2024-25,Math,Lesson  Assessments,Grade K,2024-25
019eb11c-410a-7ffb-86e6-a0294c669670,186370968,7687967795,M5W1 Vocab quiz,93e723dfe41461d2b1fadbcf00c07dccf710f22e9a75b16ea898e53f45e11b3f,427c7255dafe34868bdc91d832e56d5eeee1397f4797f34e0370705c226468d9,ELA,Lesson  Assessments,Grade 5,2024-25,ELA,Assessments,Grade 5,2024-25
019eb11c-410a-7ffb-86e6-a0294c669670,186370968,7789244025,Quarter 4 Quiz 2,5b9820af3bcca451a3bfd442a51a9e8a5ec6f9223af1ad705b52ca01cba7e6e0,921195d373bc6d957b4b62a985cc532901d1a11f4111aa1785dbec79dbe392d3,History,Lesson  Assessments,Grade 7,2024-25,History,Assessments,Grade 7,2024-25
019eb11c-410a-7ffb-86e6-a0294c669670,186370968,7789275406,M7W2 vocab quiz,7066432170fe4bb438a09fd420c8328dd42ba684da0926107bcf18cd2dc813d2,7daf35a25c64bbfe4371768bfcdf1b8d02f116c1b7f371a9dda7d9bbfbae0d61,ELA,Lesson  Assessments,Grade 5,2024-25,ELA,Assessments,Grade 5,2024-25
019eb11c-410a-7ffb-86e6-a0294c669670,186370968,7789352689,Tricksters and Tall Tales: Weekly Assessment: Week 2,1be72ea3606692d578f0324327d1e6177ac271947e07e7a1d8132f7171dca494,07ae679a2368a5c11ff4042f1eaecb8d3cca5a61ee3f6dec950e4aaa3a2d2ac0,ELA,Lesson  Assessments,Grade 4,2024-25,ELA,Assessments,Grade 4,2024-25
019eb11c-410a-7ffb-86e6-a0294c669670,186370968,7789371643,"Above, Below, and Beyond: Weekly Assessment: Week 2",1bf8f84ef6b0172f552d019c9f165db89140d0eaf77def4d78ca77beb470cf4b,bbbfbde3e56d53380d2085df402993df261dd757577933b900f52e34dafd5563,ELA,Lesson  Assessments,Grade 5,2024-25,ELA,Assessments,Grade 5,2024-25
019eb11c-410a-7ffb-86e6-a0294c669670,186370968,7789640645,Chapter 16 Temperature and Time,7d05f8dffe7639f2bdaaf1852c81fa54dbcd29ae28c99f36950bcacb837fc861,73102ff6b925cd3125aaad774f78573109a7507396c811501827f6dea302eb29,Math,Lesson  Assessments,Grade 4,2024-25,Math,Assessments,Grade 4,2024-25
019eb11c-410a-7ffb-86e6-a0294c669670,186370968,7797146594,Inspired by Nature Unit Test,bd098359ce0318bb3a177b93aae2f20935f7c869530443b2c511cabb80569846,9c29f403bf8db93a9e53d9edb09f29797ebd427e683d5538bf619a8ff5a4b11b,ELA,Lesson  Assessments,Grade 7,2024-25,ELA,Lesson Assessments,Grade 7,2024-25
019eb11c-410a-7ffb-86e6-a0294c669670,186370968,8112140343,Chapter 16 Part 1,eaf59d2f6b50b7a7a4f171fa692f23bd4da6dd032ec1770e5acbe7c91acdfe8f,2ec8dd053a2a6894b084a8044cd69548be940d75be645b4d022070121f3e7655,Math,Lesson  Assessments,Grade K,2025-26,Math,Lesson  Assessments,Grade K,2025-26
019eb11c-410a-7ffb-86e6-a0294c669670,186370968,8112622324,Chapter 16.1,2ec8dd053a2a6894b084a8044cd69548be940d75be645b4d022070121f3e7655,eaf59d2f6b50b7a7a4f171fa692f23bd4da6dd032ec1770e5acbe7c91acdfe8f,Math,Lesson  Assessments,Grade K,2025-26,Math,Lesson  Assessments,Grade K,2025-26
019eb11c-413b-7a66-a7d8-a18f14736ede,554425139,8159775714,M4 W1 Heroic Feats: Weekly Assessment: Module 4 Week 1,17df9be6c491d4c66bde65d3be3e2e66897b3d5e7d0be0be69842d2990fe8b61,481e3b9dc0cf7016dc89e4c93b0c5ca205d19a3b3778cac052e2033e74f757da,ELA,Summative,Grade 4,2025-26,ELA,Summative,Grade 4,2025-26
019eb11c-413b-7a66-a7d8-a18f14736ede,554425139,8330846316,Marvels of Nature: Mod 6 Weekly Assessment: Week 1,c0cbd1f806ead81bdaa42ff8f3b59e4b51e1d0397b801aef5b6434b497630928,ee18f037297159114cde2ded6ef469192d3c73bba286134f1762577b74cf8bfe,ELA,Summative,Grade 4,2025-26,ELA,Summative,Grade 4,2025-26
019eb11c-413b-7a66-a7d8-a18f14736ede,554425139,8362776921,Topic 8,38fa194a54c74486c22b4a1780e7e842c68aaa132a5237641c20f03eef8ab063,4d7bfbf1585a4c49c58ca8caf67e0d107ff986926f1d5f67f3d6ee497eed0128,HS Algebra I,topic,Higher-Ed,2025-26,HS Algebra I,topic,Regular 9–12,2025-26
019eb11c-413c-7ed9-872e-0fe5e9a947b6,7440430446,7610639442,Chapter 1 Test: Counting and Number Sense,82f644f56225014e33a80906e11a1afacafeeab392378cbcc188a8b67f5f87fc,d7a8b2735e95c8860d582d740349c3eb0ce800ba222fad7bffb3ca662d0a1165,Math,Chap Test,Grade 1,2024-25,Math,Summative,Grade 1,2025-26
019eb11c-413c-7ed9-872e-0fe5e9a947b6,7440430446,7929054690,What Makes Us Who We Are?: Weekly Assessment: Week 2,07a8a60fdad4ec926d5bd5c2b09abea44e50dc00f90f1640767b9443334f6bab,5597cbf1de2c690fa6f063313abda43ad1ee23d5bf90d3530a9431503d558d56,Reading,Summative,Grade 4,2025-26,Reading,Weekly Test,Grade 4,2025-26
