pattern,school_name,item_id,item_name,subject,grade,session,assessment_type,n_students,n_rows,g_null,g_zero,avg_grade,sibling_item_id,sibling_label,sibling_students,sibling_avg_grade,classification
C_assessment_type_flap_fragment,Athenian Academy of Technology and the Arts,7334741824,Module Assessment: Stories on Stage,ELA,Grade 3,2024-25,Lesson  Assessments,18,396,0,0,16.67,7334741824,Module Assessment: Stories on Stage | ELA | Grade 3 | 2024-25 | Assessments,1,15.00,main_bucket
C_assessment_type_flap_fragment,Athenian Academy of Technology and the Arts,7334741824,Module Assessment: Stories on Stage,ELA,Grade 3,2024-25,Assessments,1,22,0,0,15.00,7334741824,Module Assessment: Stories on Stage | ELA | Grade 3 | 2024-25 | Lesson  Assessments,18,16.67,stale_label_fragment_graded
C_assessment_type_flap_fragment,Athenian Academy of Technology and the Arts,7676516420,Quarter 3 Quiz #1,Civics,Grade 8,2024-25,Assessments,15,75,0,0,4.80,7676516420,Quarter 3 Quiz #1 | Civics | Grade 8 | 2024-25 | Lesson  Assessments,1,5.00,main_bucket
C_assessment_type_flap_fragment,Athenian Academy of Technology and the Arts,7676516420,Quarter 3 Quiz #1,Civics,Grade 8,2024-25,Lesson  Assessments,1,5,0,0,5.00,7676516420,Quarter 3 Quiz #1 | Civics | Grade 8 | 2024-25 | Assessments,15,4.80,stale_label_fragment_graded
C_assessment_type_flap_fragment,Athenian Academy of Technology and the Arts,7789244025,Quarter 4 Quiz 2,History,Grade 7,2024-25,Lesson  Assessments,27,135,0,0,3.59,7789244025,Quarter 4 Quiz 2 | History | Grade 7 | 2024-25 | Assessments,1,3.00,main_bucket
C_assessment_type_flap_fragment,Athenian Academy of Technology and the Arts,7789244025,Quarter 4 Quiz 2,History,Grade 7,2024-25,Assessments,1,5,0,0,3.00,7789244025,Quarter 4 Quiz 2 | History | Grade 7 | 2024-25 | Lesson  Assessments,27,3.59,stale_label_fragment_graded
C_assessment_type_flap_fragment,Athenian Academy of Technology and the Arts,7466000203,Unit 4 Benchmark Test: Day and Night,Science,Grade K,2024-25,Lesson  Assessments,20,400,0,0,8.85,7466000203,Unit 4 Benchmark Test: Day and Night | Science | Grade K | 2024-25 | Assessments,1,9.00,main_bucket
C_assessment_type_flap_fragment,Athenian Academy of Technology and the Arts,7466000203,Unit 4 Benchmark Test: Day and Night,Science,Grade K,2024-25,Assessments,1,20,0,0,9.00,7466000203,Unit 4 Benchmark Test: Day and Night | Science | Grade K | 2024-25 | Lesson  Assessments,20,8.85,stale_label_fragment_graded
C_assessment_type_flap_fragment,Athenian Academy of Technology and the Arts,7338364921,Unit 8 Benchmark Test: Living Things and  Their Parents,Science,Grade 1,2024-25,Lesson  Assessments,16,208,0,0,7.88,7338364921,Unit 8 Benchmark Test: Living Things and  Their Parents | Science | Grade 1 | 2024-25 | Unit-Chap  Assessments,1,7.00,main_bucket
C_assessment_type_flap_fragment,Athenian Academy of Technology and the Arts,7338364921,Unit 8 Benchmark Test: Living Things and  Their Parents,Science,Grade 1,2024-25,Unit-Chap  Assessments,1,13,0,0,7.00,7338364921,Unit 8 Benchmark Test: Living Things and  Their Parents | Science | Grade 1 | 2024-25 | Lesson  Assessments,16,7.88,stale_label_fragment_graded
C_assessment_type_flap_fragment,Athenian Academy of Technology and the Arts,7338364925,Unit 9 Benchmark Test: Plant and Animal Needs,Science,Grade 1,2024-25,Lesson  Assessments,17,170,0,0,8.06,7338364925,Unit 9 Benchmark Test: Plant and Animal Needs | Science | Grade 1 | 2024-25 | Unit-Chap  Assessments,1,10.00,main_bucket
C_assessment_type_flap_fragment,Athenian Academy of Technology and the Arts,7338364925,Unit 9 Benchmark Test: Plant and Animal Needs,Science,Grade 1,2024-25,Unit-Chap  Assessments,1,10,0,0,10.00,7338364925,Unit 9 Benchmark Test: Plant and Animal Needs | Science | Grade 1 | 2024-25 | Lesson  Assessments,17,8.06,stale_label_fragment_graded
C_assessment_type_flap_fragment,Crestwell School,7929054690,What Makes Us Who We Are?: Weekly Assessment: Week 2,Reading,Grade 4,2025-26,Summative,15,140,0,0,8.19,7929054690,What Makes Us Who We Are?: Weekly Assessment: Week 2 | Reading | Grade 4 | 2025-26 | Weekly Test,3,6.33,main_bucket
C_assessment_type_flap_fragment,Crestwell School,7929054690,What Makes Us Who We Are?: Weekly Assessment: Week 2,Reading,Grade 4,2025-26,Weekly Test,3,30,0,0,6.33,7929054690,What Makes Us Who We Are?: Weekly Assessment: Week 2 | Reading | Grade 4 | 2025-26 | Summative,15,8.19,stale_label_fragment_graded
D_session_split_benign,Crestwell School,7610639442,Chapter 1 Test: Counting and Number Sense,Math,Grade 1,2025-26,Summative,1,15,0,0,6.60,7610639442,Chapter 1 Test: Counting and Number Sense | Math | Grade 1 | 2024-25 | Chap Test,1,6.00,stale_label_fragment_graded
D_session_split_benign,Crestwell School,7610639442,Chapter 1 Test: Counting and Number Sense,Math,Grade 1,2024-25,Chap Test,1,9,0,0,6.00,7610639442,Chapter 1 Test: Counting and Number Sense | Math | Grade 1 | 2025-26 | Summative,1,6.60,stale_label_fragment_graded
E_allnull_grade_section_capture,Athenian Academy of Technology and the Arts,7802004830,7.1 Grammar Review,ELA,Grade 1,2024-25,Lesson  Assessments,7,55,55,0,,7800631611,7.1 Grammar Review | ELA | Grade 1 | 2024-25 | Lesson  Assessments,17,5.66,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
E_allnull_grade_section_capture,Athenian Academy of Technology and the Arts,7976307449,Module 2 Test,Math,Grade 6,2025-26,Lesson  Assessments,19,551,551,0,,7338204661,Module 2 Test | Math | Grade 6 | 2024-25 | Lesson  Assessments,36,20.29,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
E_allnull_grade_section_capture,Athenian Academy of Technology and the Arts,7635112537,Unit 9 Lesson 3 Braincheck,Science,Grade 1,2024-25,Unit-Chap  Assessments,17,85,85,0,,7635112506,Unit 9 Lesson 3 Braincheck | Science | Grade 1 | 2024-25 | Unit-Chap  Assessments,17,4.71,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
E_allnull_grade_section_capture,Central Florida Preparatory School,8376292825,A New Home: Weekly Assessment: Mod 8 Week 2,ELA,Grade 5,2025-26,Summative,17,153,153,0,,8376292815,A New Home: Weekly Assessment: Mod 8 Week 2 | ELA | Grade 5 | 2025-26 | Summative,17,6.44,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
E_allnull_grade_section_capture,Central Florida Preparatory School,8244209591,Art Everywhere: Mod 5 Weekly Assessment Week 1,ELA,Grade 4,2025-26,Summative,11,121,121,0,,8244209576,Art Everywhere: Mod 5 Weekly Assessment Week 1 | ELA | Grade 4 | 2025-26 | Summative,17,5.31,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
E_allnull_grade_section_capture,Central Florida Preparatory School,8244209611,Art Everywhere: Mod 5 Weekly Assessment Week 1,ELA,Grade 4,2025-26,Summative,10,110,110,0,,8244209576,Art Everywhere: Mod 5 Weekly Assessment Week 1 | ELA | Grade 4 | 2025-26 | Summative,17,5.31,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
E_allnull_grade_section_capture,Central Florida Preparatory School,8224228068,Heroic Feats: Module 4 Assessment,ELA,Grade 4,2025-26,Summative,12,343,343,0,,8224227991,Heroic Feats: Module 4 Assessment | ELA | Grade 4 | 2025-26 | Summative,17,12.78,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
E_allnull_grade_section_capture,Central Florida Preparatory School,8201011025,Heroic Feats: Weekly Assessment: Module 4 Week 2,ELA,Grade 4,2025-26,Summative,1,10,10,0,,8201010981,Heroic Feats: Weekly Assessment: Module 4 Week 2 | ELA | Grade 4 | 2025-26 | Summative,16,6.35,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
E_allnull_grade_section_capture,Central Florida Preparatory School,8088499478,Module 2 Assessment: Come to Your Senses,ELA,Grade 4,2025-26,Summative,1,30,30,0,,8092034631,Module 2 Assessment: Come to Your Senses | ELA | Grade 4 | 2025-26 | Summative,18,17.72,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
E_allnull_grade_section_capture,Central Florida Preparatory School,8246154797,Once Upon a Time: Module 4 Assessment,ELA,Grade 2,2025-26,Summative,14,308,308,0,,8246154751,Once Upon a Time: Module 4 Assessment | ELA | Grade 2 | 2025-26 | Summative,15,15.17,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
E_allnull_grade_section_capture,Central Florida Preparatory School,8333545060,Topic 5: Minerals and Rocks in the Geosphere,Science,Grade 6,2025-26,topic,22,1188,1188,0,,,,,,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
E_allnull_grade_section_capture,Central Florida Preparatory School,8333544824,Topic 5: Minerals and Rocks in the Geosphere,Science,Grade 6,2025-26,topic,16,855,855,0,,,,,,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
E_allnull_grade_section_capture,Central Florida Preparatory School,7963936207,Unit 1 Part 2,ELA,Grade 6,2025-26,Unit,17,103,103,0,,7964150370,Unit 1 Part 2 | HS English I | Regular 9–12 | 2025-26 | Unit,19,3.00,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
E_allnull_grade_section_capture,Central Florida Preparatory School,7963934904,Unit 1 Part 2,ELA,Grade 6,2025-26,Unit,16,87,87,0,,7964150370,Unit 1 Part 2 | HS English I | Regular 9–12 | 2025-26 | Unit,19,3.00,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
E_allnull_grade_section_capture,Central Florida Preparatory School,7963936947,Unit 1 Part 2,ELA,Grade 7,2025-26,Unit,15,83,83,0,,7964150370,Unit 1 Part 2 | HS English I | Regular 9–12 | 2025-26 | Unit,19,3.00,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
E_allnull_grade_section_capture,Central Florida Preparatory School,7963937401,Unit 1 Part 2,ELA,Grade 7,2025-26,Unit,15,75,75,0,,7964150370,Unit 1 Part 2 | HS English I | Regular 9–12 | 2025-26 | Unit,19,3.00,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
E_allnull_grade_section_capture,Central Florida Preparatory School,7964160840,Unit 1 Part 2,HS English II,Regular 9–12,2025-26,Unit,10,50,50,0,,7964150370,Unit 1 Part 2 | HS English I | Regular 9–12 | 2025-26 | Unit,19,3.00,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
E_allnull_grade_section_capture,Central Florida Preparatory School,7964174019,Unit 1 Part 2,HS English III,Regular 9–12,2025-26,Unit,10,50,50,0,,7964150370,Unit 1 Part 2 | HS English I | Regular 9–12 | 2025-26 | Unit,19,3.00,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
E_allnull_grade_section_capture,Central Florida Preparatory School,8102309497,Unit 2 Part 2,HS English III,Regular 9–12,2025-26,Unit,10,50,50,0,,8198880895,Unit 2 Part 2 | ELA | Grade 8 | 2025-26 | Unit,13,3.27,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
E_allnull_grade_section_capture,Central Florida Preparatory School,8199631447,Unit 2 Part 2,ELA,Grade 8,2025-26,Unit,10,53,53,0,,8198880895,Unit 2 Part 2 | ELA | Grade 8 | 2025-26 | Unit,13,3.27,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
E_allnull_grade_section_capture,Central Florida Preparatory School,8102310167,Unit 2 Part 2,ELA,Grade 6,2025-26,Unit,9,55,55,0,,8198880895,Unit 2 Part 2 | ELA | Grade 8 | 2025-26 | Unit,13,3.27,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
E_allnull_grade_section_capture,Central Florida Preparatory School,8257127873,Unit 3 Part 2,ELA,Grade 7,2025-26,Unit,9,45,45,0,,8326782311,Unit 3 Part 2 | HS English I | Regular 9–12 | 2025-26 | Unit,18,2.28,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
E_allnull_grade_section_capture,Central Florida Preparatory School,8257124994,Unit 3 Part 2,ELA,Grade 6,2025-26,Unit,9,45,45,0,,8326782311,Unit 3 Part 2 | HS English I | Regular 9–12 | 2025-26 | Unit,18,2.28,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
E_allnull_grade_section_capture,Central Florida Preparatory School,8257130451,Unit 3 Part 2,ELA,Grade 7,2025-26,Unit,9,45,45,0,,8326782311,Unit 3 Part 2 | HS English I | Regular 9–12 | 2025-26 | Unit,18,2.28,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
E_allnull_grade_section_capture,Central Florida Preparatory School,8257123641,Unit 3 Part 2,ELA,Grade 6,2025-26,Unit,8,40,40,0,,8326782311,Unit 3 Part 2 | HS English I | Regular 9–12 | 2025-26 | Unit,18,2.28,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
E_allnull_grade_section_capture,Crestwell School,7925384548,Animal Behaviors: Weekly Assessment: Week 1,Reading,Grade 3,2025-26,Summative,15,150,150,0,,,,,,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
E_allnull_grade_section_capture,Crestwell School,8007313272,Chapter 3 Test: Basic Facts,Math,Grade 2,2025-26,Summative,13,227,227,0,,8007293705,Chapter 3 Test: Basic Facts | Math | Grade 2 | 2025-26 | Summative,15,17.87,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
E_allnull_grade_section_capture,Crestwell School,7610639444,Chapter 3 Test: Compare Numbers,Math,Grade 1,2025-26,Summative,1,27,27,0,,,,,,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
E_allnull_grade_section_capture,Crestwell School,8134559640,Chapter 8 Test: Add and Subtract Fractions with Unlike Denominators,Math,Grade 5,2025-26,Summative,3,58,58,0,,,,,,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
E_allnull_grade_section_capture,Crestwell School,8373779622,Module Assessment: Genre Study: Literary Texts,Reading,Grade 1,2025-26,Summative,15,330,330,0,,8394290162,Module Assessment: Genre Study: Literary Texts | Reading | Grade 1 | 2025-26 | Summative,11,17.73,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
E_allnull_grade_section_capture,Crestwell School,8373780560,Module Assessment: Genre Study: Literary Texts,Reading,Grade 1,2025-26,Summative,13,287,287,0,,8394290162,Module Assessment: Genre Study: Literary Texts | Reading | Grade 1 | 2025-26 | Summative,11,17.73,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
E_allnull_grade_section_capture,Crestwell School,8363045706,Module Assessment: Genre Study: Nonfiction,Reading,Grade 1,2025-26,Summative,14,308,308,0,,8371670470,Module Assessment: Genre Study: Nonfiction | Reading | Grade 5 | 2025-26 | Summative,29,12.86,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
E_allnull_grade_section_capture,Crestwell School,8291181779,"Module Assessment: Unexpected, Unexplained",Reading,Grade 5,2025-26,Summative,14,280,280,0,,,,,,whole_section_ungraded_in_source_points_received_present_zero_user_overlap
F_near_empty_slicer_entry,Athenian Academy of Technology and the Arts,,Animal Behaviors: Weekly Assessment: Week 2,ELA,Grade 3,2025-26,Lesson  Assessments,1,21,0,0,10.00,,subject_id=3e25de9b475af25a2d450e54983f43324632d61b9f1083dc463731fd075c5bbe,,,renders_1_2_students_graded
F_near_empty_slicer_entry,Athenian Academy of Technology and the Arts,,Chapter 12,Math,Grade K,2024-25,Assessments,2,9,0,0,11.00,,subject_id=e93f836775458de9c65b5631901b73431a6fe43315a5aa090f429f05f53811b6,,,renders_1_2_students_graded
F_near_empty_slicer_entry,Athenian Academy of Technology and the Arts,,Chapter 14,Math,Grade 1,2024-25,Lesson  Assessments,1,19,0,0,15.00,,subject_id=85e6602009435ef89f61b7b384216b352a250b69d159a2b4b2002dada6759a49,,,renders_1_2_students_graded
F_near_empty_slicer_entry,Athenian Academy of Technology and the Arts,,Chapter 16 Part 1,Math,Grade K,2025-26,Lesson  Assessments,1,16,0,0,4.00,,subject_id=2ec8dd053a2a6894b084a8044cd69548be940d75be645b4d022070121f3e7655,,,renders_1_2_students_graded
F_near_empty_slicer_entry,Athenian Academy of Technology and the Arts,,Chapter 9,Math,Grade 2,2024-25,Lesson  Assessments,2,66,0,0,13.00,,subject_id=58978d1d046b2a4c63dd1fb17a14bf9a74b327bff475a15abd336bb2b3c99848,,,renders_1_2_students_graded
F_near_empty_slicer_entry,Athenian Academy of Technology and the Arts,,Inspired by Nature Unit Test,ELA,Grade 7,2024-25,Lesson  Assessments,1,52,0,0,27.00,,subject_id=bd098359ce0318bb3a177b93aae2f20935f7c869530443b2c511cabb80569846,,,renders_1_2_students_graded
F_near_empty_slicer_entry,Athenian Academy of Technology and the Arts,,Module 7 Week 3 Vocabulary Quiz,ELA,Grade 2,2024-25,Lesson  Assessments,1,16,0,0,16.00,,subject_id=e76e324f9f56e1f2cf220e1c0e40ebff5cdecf1e3279627b15777ac01514cb17,,,renders_1_2_students_graded
F_near_empty_slicer_entry,Athenian Academy of Technology and the Arts,,Module Assessment: Use Your Words - 10/21/24,ELA,Grade 3,2024-25,Unit-Chap  Assessments,2,46,0,0,12.50,,subject_id=0631c0c9da372d2671a0d2fc7f285fb7319cc32a1702623cf25a706c5a6d9924,,,renders_1_2_students_graded
F_near_empty_slicer_entry,Athenian Academy of Technology and the Arts,,Quarter 3 Quiz #1,Civics,Grade 8,2024-25,Lesson  Assessments,1,5,0,0,5.00,,subject_id=3ac336230d41080fbc91d6f489db19b3c90f3c42ac3fbcf27fcf98c13efce56d,,,renders_1_2_students_graded
F_near_empty_slicer_entry,Athenian Academy of Technology and the Arts,,Quarter 4 Quiz 2,History,Grade 7,2024-25,Assessments,1,5,0,0,3.00,,subject_id=921195d373bc6d957b4b62a985cc532901d1a11f4111aa1785dbec79dbe392d3,,,renders_1_2_students_graded
F_near_empty_slicer_entry,Central Florida Preparatory School,,M4 W1 Heroic Feats: Weekly Assessment: Module 4 Week 1,ELA,Grade 4,2025-26,Summative,1,9,9,0,,,subject_id=481e3b9dc0cf7016dc89e4c93b0c5ca205d19a3b3778cac052e2033e74f757da,,,renders_blank_or_zero
F_near_empty_slicer_entry,Central Florida Preparatory School,,Topic 1,Math,Grade 6,2025-26,topic,1,15,0,0,5.00,,subject_id=5d8f851d14dfdfc101b0b39850a49681431910f2be3f8ef7df53e591c8930d19,,,renders_1_2_students_graded
F_near_empty_slicer_entry,Central Florida Preparatory School,,Topic 5,HS Honors Algebra I,Higher-Ed,2025-26,topic,2,48,0,0,14.34,,subject_id=ba6867d75d18aaa93ef7acbdd9f0e21f597547e04bdde374b3f87b4fdb135735,,,renders_1_2_students_graded
F_near_empty_slicer_entry,Central Florida Preparatory School,,Topic 8,HS Algebra I,Higher-Ed,2025-26,topic,1,33,0,33,0.00,,subject_id=38fa194a54c74486c22b4a1780e7e842c68aaa132a5237641c20f03eef8ab063,,,renders_blank_or_zero
F_near_empty_slicer_entry,Central Florida Preparatory School,,Topic 9,HS Geometry,Regular 9–12,2025-26,topic,1,26,0,0,5.33,,subject_id=835ce5090104e64c978b1571e99a59e2dd4ab4fba6d1857d8d009b02c66e4152,,,renders_1_2_students_graded
F_near_empty_slicer_entry,Central Florida Preparatory School,,Unit 2 Part 1,HS English II,Regular 9–12,2025-26,Unit,2,66,0,0,19.00,,subject_id=ded5a0d919a5f1c983467e006bd752e9b703e621c11e6a86f6805c560210687e,,,renders_1_2_students_graded
F_near_empty_slicer_entry,Crestwell School,,Chapter 17 Test: Graphs and Patterns,Math,Grade 5,2025-26,Summative,1,23,0,0,10.50,,subject_id=9e4a316f8ee139128770994f6fb9150a287061dc5a872ee134cb9b06d7dd01eb,,,renders_1_2_students_graded
F_near_empty_slicer_entry,Crestwell School,,Chapter 1 Test: Counting and Number Sense,Math,Grade 1,2025-26,Summative,1,15,0,0,6.60,,subject_id=d7a8b2735e95c8860d582d740349c3eb0ce800ba222fad7bffb3ca662d0a1165,,,renders_1_2_students_graded
F_near_empty_slicer_entry,Crestwell School,,Chapter 3 Test: Compare Numbers,Math,Grade 1,2025-26,Summative,1,27,27,0,,,subject_id=4b7192779063fe0e77cf90265f62f7a38c8a007d59f991792cc2b4f8a0740a56,,,renders_blank_or_zero
