issue_class,school,session,item_id,item_name,standard_code,identifier,detail,n_rows
cube_conflicting_description,Crestwell School,,,,MA.3.AR.3,,description shown in cube_question_summary_overall: Determine whether a whole number from 1 to 144 is a multiple of a given one-digit number.,2
cube_conflicting_description,Crestwell School,,,,MA.5.GR.3,,"description shown in cube_question_summary_overall: Solve real-world problems involving the volume of right rectangular prisms, including problems with an unknown edge leng",1
dim_standard_ambiguous_code,,,,,MA.1.GR.1,3bac2b67-8bad-44d5-bb62-d37ecb91f432 ; 3bad2b67-8bad-44d5-bb62-d37ecb91f432,"code maps to 2 identifiers with 2 distinct descriptions: Compose and decompose two- and three-dimensional figures. Fi <VS> Given a real-world object, identify parts that are modeled b",1940
dim_standard_ambiguous_code,,,,,SOC.6.SS.6.W.3.14,c2a1b207-8bad-43d4-bb62-d37ecb91f432 ; c371b207-8bad-43d4-bb62-d37ecb91f432,code maps to 2 identifiers with 2 distinct descriptions: Analyze the cultural impact the ancient Phoenicians had on t <VS> Describe the key achievements and contributions of Roman civ,1837
dim_standard_ambiguous_code,,,,,SOC.6.SS.6.W.3.12,c2a1b207-8bad-43d4-bb62-d37ecb91f432 ; c351b207-8bad-43d4-bb62-d37ecb91f432,code maps to 2 identifiers with 2 distinct descriptions: Analyze the cultural impact the ancient Phoenicians had on t <VS> Explain the causes for the growth and longevity of the Roman,1832
dim_standard_ambiguous_code,,,,,SOC.6.SS.6.W.3.13,c2a1b207-8bad-43d4-bb62-d37ecb91f432 ; c361b207-8bad-43d4-bb62-d37ecb91f432,code maps to 2 identifiers with 2 distinct descriptions: Analyze the cultural impact the ancient Phoenicians had on t <VS> Identify key figures and the basic beliefs of early Christia,1770
dim_standard_ambiguous_code,,,,,MA.6.AR.2,3c4a2b67-8bad-44d5-bb62-d37ecb91f432 ; 3c4d2b67-8bad-44d5-bb62-d37ecb91f432,code maps to 2 identifiers with 2 distinct descriptions: Determine the unknown decimal or fraction in an equation inv <VS> Given an equation or inequality and a specified set of integ,1530
dim_standard_ambiguous_code,,,,,MA.912.AR.3.1,3cd52b67-8bad-44d5-bb62-d37ecb91f432 ; 3cdd2b67-8bad-44d5-bb62-d37ecb91f432,"code maps to 2 identifiers with 2 distinct descriptions: Given a mathematical or real-world context, graph the soluti <VS> <p>Given a mathematical or real-world context, write and sol",1515
dim_standard_ambiguous_code,,,,,SOC.6.SS.6.W.3.10,c2a1b207-8bad-43d4-bb62-d37ecb91f432 ; c331b207-8bad-43d4-bb62-d37ecb91f432,code maps to 2 identifiers with 2 distinct descriptions: Analyze the cultural impact the ancient Phoenicians had on t <VS> Describe the government of the Roman Republic and its contri,1430
dim_standard_ambiguous_code,,,,,MA.5.GR.1,3c2e2b67-8bad-44d5-bb62-d37ecb91f432 ; 3c2f2b67-8bad-44d5-bb62-d37ecb91f432,code maps to 2 identifiers with 2 distinct descriptions: Classify triangles or quadrilaterals into different categori <VS> Identify and classify three-dimensional figures into categor,1192
dim_standard_ambiguous_code,,,,,MA.6.DP.1,3c592b67-8bad-44d5-bb62-d37ecb91f432 ; 3c5c2b67-8bad-44d5-bb62-d37ecb91f432,"code maps to 2 identifiers with 2 distinct descriptions: Given a histogram or line plot within a real-world context,  <VS> Recognize and formulate a statistical question that would ge",1139
dim_standard_ambiguous_code,,,,,MA.1.NSO.2,3b9d2b67-8bad-44d5-bb62-d37ecb91f432 ; 3b9e2b67-8bad-44d5-bb62-d37ecb91f432,code maps to 2 identifiers with 2 distinct descriptions: Explore subtraction of a one-digit number from a two-digit n <VS> Explore the addition of a two-digit number and a one-digit n,1110
dim_standard_ambiguous_code,,,,,MA.912.AR.9.1,3cf62b67-8bad-44d5-bb62-d37ecb91f432 ; 3cfe2b67-8bad-44d5-bb62-d37ecb91f432,"code maps to 2 identifiers with 2 distinct descriptions: <p>Given a mathematical or real-world context, write and sol <VS> Solve and graph mathematical and real-world problems that ar",1003
dim_standard_ambiguous_code,,,,,MA.7.GR.1,3c712b67-8bad-44d5-bb62-d37ecb91f432 ; 3c732b67-8bad-44d5-bb62-d37ecb91f432,code maps to 2 identifiers with 2 distinct descriptions: Explore and apply a formula to find the area of a circle to  <VS> Solve mathematical or real-world problems involving the area,893
dim_standard_ambiguous_code,,,,,MA.912.AR.1.1,3cc32b67-8bad-44d5-bb62-d37ecb91f432 ; 3ccb2b67-8bad-44d5-bb62-d37ecb91f432,code maps to 2 identifiers with 2 distinct descriptions: <p>Identify and interpret parts of an equation or expression <VS> Solve mathematical and real-world problems involving additio,883
dim_standard_ambiguous_code,,,,,SOC.8.SS.8.A.3.15,cbd1b207-8bad-43d4-bb62-d37ecb91f432 ; ccb1b207-8bad-43d4-bb62-d37ecb91f432,code maps to 2 identifiers with 2 distinct descriptions: Examine this time period (1763-1815) from the perspective of <VS> Explain the consequences of the French and Indian War in Bri,742
dim_standard_ambiguous_code,,,,,SOC.8.SS.8.A.3.12,cbd1b207-8bad-43d4-bb62-d37ecb91f432 ; cc81b207-8bad-43d4-bb62-d37ecb91f432,code maps to 2 identifiers with 2 distinct descriptions: Examine the influences of George Washington's presidency in  <VS> Explain the consequences of the French and Indian War in Bri,622
dim_standard_ambiguous_code,,,,,SS.7.CG.3.10,3eed2b67-8bad-44d5-bb62-d37ecb91f432 ; 3ef62b67-8bad-44d5-bb62-d37ecb91f432,code maps to 2 identifiers with 2 distinct descriptions: Identify sources and types of law. <VS> <p>Analyze the advantages of the United States&rsquo; consti,617
dim_standard_ambiguous_code,,,,,MA.5.NSO.2,3c1a2b67-8bad-44d5-bb62-d37ecb91f432 ; 3c1b2b67-8bad-44d5-bb62-d37ecb91f432,"code maps to 2 identifiers with 2 distinct descriptions: Add and subtract multi-digit numbers with decimals to the th <VS> Divide multi-digit whole numbers, up to five digits by two d",607
dim_standard_ambiguous_code,,,,,MA.2.NSO.2,3bb52b67-8bad-44d5-bb62-d37ecb91f432 ; 3bb62b67-8bad-44d5-bb62-d37ecb91f432,"code maps to 2 identifiers with 2 distinct descriptions: Add two whole numbers with sums up to 100 with procedural re <VS> Identify the number that is ten more, ten less, one hundred ",599
dim_standard_ambiguous_code,,,,,MA.4.NSO.2,3bf42b67-8bad-44d5-bb62-d37ecb91f432 ; 3bf52b67-8bad-44d5-bb62-d37ecb91f432,"code maps to 2 identifiers with 2 distinct descriptions: <p>Divide a whole number up to four digits by a one-digit wh <VS> <p>Multiply two whole numbers, each up to two digits, includ",572
dim_standard_ambiguous_code,,,,,MA.7.DP.2,3c7d2b67-8bad-44d5-bb62-d37ecb91f432 ; 3c802b67-8bad-44d5-bb62-d37ecb91f432,code maps to 2 identifiers with 2 distinct descriptions: Determine the sample space for a simple experiment. <VS> Use a simulation of a simple experiment to find experimental,540
dim_standard_ambiguous_code,,,,,SCI.8.SC.8.E.5.10,7231b207-8bad-43d4-bb62-d37ecb91f432 ; 72c1b207-8bad-43d4-bb62-d37ecb91f432,code maps to 2 identifiers with 2 distinct descriptions: Assess how technology is essential to science for such purpo <VS> Recognize that there are enormous distances between objects ,540
dim_standard_ambiguous_code,,,,,SS.7.CG.2.10,3ee32b67-8bad-44d5-bb62-d37ecb91f432 ; 3eec2b67-8bad-44d5-bb62-d37ecb91f432,"code maps to 2 identifiers with 2 distinct descriptions: Define the term &ldquo;citizen,&rdquo; and explain the const <VS> <p>Explain the process for citizens to address a state or lo",477
dim_standard_ambiguous_code,,,,,SS.7.CG.3.1,3eed2b67-8bad-44d5-bb62-d37ecb91f432 ; 3ef92b67-8bad-44d5-bb62-d37ecb91f432,code maps to 2 identifiers with 2 distinct descriptions: Explain government obligations to its citizens and the servi <VS> <p>Analyze the advantages of the United States&rsquo; consti,469
dim_standard_ambiguous_code,,,,,MA.3.AR.3,3bdd2b67-8bad-44d5-bb62-d37ecb91f432 ; 3bde2b67-8bad-44d5-bb62-d37ecb91f432,"code maps to 2 identifiers with 2 distinct descriptions: Determine and explain whether a whole number from 1 to 1,000 <VS> Determine whether a whole number from 1 to 144 is a multiple",356
dim_standard_ambiguous_code,,,,,SOC.8.SS.8.A.4.10,ccd1b207-8bad-43d4-bb62-d37ecb91f432 ; cd61b207-8bad-43d4-bb62-d37ecb91f432,"code maps to 2 identifiers with 2 distinct descriptions: Analyze the impact of technological advancements on the agri <VS> Examine the causes, course and consequences of United States",320
dim_standard_ambiguous_code,,,,,MA.5.GR.3,3c322b67-8bad-44d5-bb62-d37ecb91f432 ; 3c332b67-8bad-44d5-bb62-d37ecb91f432,code maps to 2 identifiers with 2 distinct descriptions: Find the volume of a right rectangular prism with whole-numb <VS> Solve real-world problems involving the volume of right rect,244
dim_standard_ambiguous_code,,,,,SOC.8.SS.8.A.3.10,cbd1b207-8bad-43d4-bb62-d37ecb91f432 ; cc61b207-8bad-43d4-bb62-d37ecb91f432,code maps to 2 identifiers with 2 distinct descriptions: Examine the course and consequences of the Constitutional Co <VS> Explain the consequences of the French and Indian War in Bri,227
dim_standard_ambiguous_code,,,,,SS.7.CG.3.15,3eed2b67-8bad-44d5-bb62-d37ecb91f432 ; 3efb2b67-8bad-44d5-bb62-d37ecb91f432,code maps to 2 identifiers with 2 distinct descriptions: Balance a lightweight object on a paddle/racket while moving <VS> <p>Analyze the advantages of the United States&rsquo; consti,223
dim_standard_ambiguous_code,,,,,MA.4.GR.1,3c0c2b67-8bad-44d5-bb62-d37ecb91f432 ; 3c0d2b67-8bad-44d5-bb62-d37ecb91f432,"code maps to 2 identifiers with 2 distinct descriptions: <p>Estimate angle measures. Using a protractor, measure angl <VS> <p>Informally explore angles as an attribute of two-dimensio",195
dim_standard_ambiguous_code,,,,,MA.5.NSO.1,3c162b67-8bad-44d5-bb62-d37ecb91f432 ; 3c172b67-8bad-44d5-bb62-d37ecb91f432,"code maps to 2 identifiers with 2 distinct descriptions: Compose and decompose multi-digit numbers with decimals to t <VS> Plot, order and compare multi-digit numbers with decimals up",154
dim_standard_ambiguous_code,,,,,SS.7.CG.1.10,3ed82b67-8bad-44d5-bb62-d37ecb91f432 ; 3ee12b67-8bad-44d5-bb62-d37ecb91f432,"code maps to 2 identifiers with 2 distinct descriptions: Compare the viewpoints of the Federalists and the Anti-Feder <VS> <p>Analyze the influences of ancient Greece, ancient Rome an",128
dim_standard_ambiguous_code,,,,,MA.7.AR.4,3c6c2b67-8bad-44d5-bb62-d37ecb91f432 ; 3c6e2b67-8bad-44d5-bb62-d37ecb91f432,"code maps to 2 identifiers with 2 distinct descriptions: Determine the constant of proportionality within a mathemati <VS> Given any representation of a proportional relationship, tra",116
dim_standard_ambiguous_code,,,,,SS.912.FL.1.3,1596c457-8bad-45d5-bb62-d37ecb91f432 ; 216a2b67-8bad-44d4-bb62-d37ecb91f432,"code maps to 2 identifiers with 2 distinct descriptions: Evaluate ways people can make more informed education, job,  <VS> Explain that loss aversion implies that losses brought about",18
dim_standard_ambiguous_code,,,,,SS.912.FL.2.4,159cb457-8bad-45d5-bb62-d37ecb91f432 ; 21722b67-8bad-44d4-bb62-d37ecb91f432,code maps to 2 identifiers with 2 distinct descriptions: Analyze the reasons why the wage or salary paid to workers i <VS> Describe ways that consumers may be influenced by how the pr,9
dim_standard_ambiguous_code,,,,,SS.912.FL.2.1,159a4457-8bad-45d5-bb62-d37ecb91f432 ; 216f2b67-8bad-44d4-bb62-d37ecb91f432,code maps to 2 identifiers with 2 distinct descriptions: Compare consumer decisions as they are influenced by the pri <VS> Describe how people choose jobs or careers for which they ar,9
dim_standard_ambiguous_code,,,,,MA.912.AR.1,3cc52b67-8bad-44d5-bb62-d37ecb91f432 ; 3d012b67-8bad-44d5-bb62-d37ecb91f432,"code maps to 2 identifiers with 2 distinct descriptions: <p>Add, subtract and multiply polynomial expressions with ra <VS> Recognize and apply the formula for the sum of a finite arit",0
dim_standard_ambiguous_code,,,,,MA.912.AR.9.10,3cf62b67-8bad-44d5-bb62-d37ecb91f432 ; 3cfe2b67-8bad-44d5-bb62-d37ecb91f432,"code maps to 2 identifiers with 2 distinct descriptions: <p>Given a mathematical or real-world context, write and sol <VS> Solve and graph mathematical and real-world problems that ar",0
dim_standard_ambiguous_code,,,,,0.4,6711b207-8bad-43d4-bb62-d37ecb91f432 ; 6941b207-8bad-43d4-bb62-d37ecb91f432,"code maps to 2 identifiers with 2 distinct descriptions: Demonstrate that light can be reflected, refracted, and abso <VS> Describe how moving water and air are sources of energy and ",0
dim_standard_ambiguous_code,,,,,0.3,20b82b67-8bad-44d4-bb62-d37ecb91f432 ; 6c71b207-8bad-43d4-bb62-d37ecb91f432,code maps to 2 identifiers with 2 distinct descriptions: Identify degree requirements for psychologists and psycholog <VS> Investigate and explain that an electrically-charged object ,0
dim_standard_ambiguous_code,,,,,0.2,1b162b67-8bad-44d4-bb62-d37ecb91f432 ; 1b182b67-8bad-44d4-bb62-d37ecb91f432,code maps to 2 identifiers with 2 distinct descriptions: Sequence multiple tasks to complete activities by establishi <VS> Sequence two or more tasks to complete activities.,0
dim_standard_ambiguous_code,,,,,0.11,21052b67-8bad-44d4-bb62-d37ecb91f432 ; 7821b207-8bad-43d4-bb62-d37ecb91f432,"code maps to 2 identifiers with 2 distinct descriptions: Examine societal treatment of people with disabilities, and  <VS> Explain and compare nuclear reactions (radioactive decay, fi",0
dim_standard_ambiguous_code,,,,,0.1,6181b207-8bad-43d4-bb62-d37ecb91f432 ; 6a41b207-8bad-43d4-bb62-d37ecb91f432,"code maps to 2 identifiers with 2 distinct descriptions: Investigate and explain the relationships among current, vol <VS> Observe that things that make sound vibrate.",0
dim_standard_ambiguous_code,,,,,0.8,20622b67-8bad-44d4-bb62-d37ecb91f432 ; 7801b207-8bad-43d4-bb62-d37ecb91f432,code maps to 2 identifiers with 2 distinct descriptions: Discuss the psychological research on gender and how the rol <VS> Explain entropy's role in determining the efficiency of proc,0
dim_standard_ambiguous_code,,,,,0.5,20ba2b67-8bad-44d4-bb62-d37ecb91f432 ; 7491b207-8bad-43d4-bb62-d37ecb91f432,code maps to 2 identifiers with 2 distinct descriptions: Discuss ways in which psychological science addresses domest <VS> Relate temperature to the average molecular kinetic energy.,0
dim_standard_exact_duplicate_row,,,,,SS.8.C.1.3,SS.8.C.1.3,"identical (identifier, schoology_standard) row appears 2x",2
dim_standard_exact_duplicate_row,,,,,SOC.8.SS.8.C.1.1,SOC.8.SS.8.C.1.1,"identical (identifier, schoology_standard) row appears 2x",2
dim_standard_exact_duplicate_row,,,,,SS.8.C.1.4,SS.8.C.1.4,"identical (identifier, schoology_standard) row appears 2x",2
item_partial_mapping,Athenian Academy of Technology and the Arts,2024-25,7338323384,"Unit: 2 Mesopotamia, Egypt, and Kush",,,History / Grade 6 — 14 of 43 questions mapped,29
item_partial_mapping,Athenian Academy of Technology and the Arts,2024-25,7827154345,5/5 POP QUIZ,,,Math / Grade 6 — 4 of 10 questions mapped,6
item_partial_mapping,Athenian Academy of Technology and the Arts,2024-25,7338033712,Unit 1 Test,,,Civics / Grade 8 — 37 of 40 questions mapped,3
item_partial_mapping,Athenian Academy of Technology and the Arts,2024-25,7338068319,Unit 3 Benchmark Test: The Solar System,,,Science / Grade 8 — 38 of 40 questions mapped,2
item_partial_mapping,Athenian Academy of Technology and the Arts,2024-25,7338323360,Unit 1: Early Humans and Societies,,,History / Grade 6 — 38 of 40 questions mapped,2
item_partial_mapping,Athenian Academy of Technology and the Arts,2024-25,7750464573,3/6 POP Quiz Module 11,,,Math / Grade 7 — 4 of 6 questions mapped,2
item_partial_mapping,Athenian Academy of Technology and the Arts,2024-25,7338462490,"Unit 4 Benchmark Test: Weather, Climate, and the Water Cycle",,,Science / Grade 5 — 18 of 20 questions mapped,2
item_partial_mapping,Athenian Academy of Technology and the Arts,2024-25,7338058191,Beginning of Year Science Benchmark,,,Science / Grade 7 — 29 of 30 questions mapped,1
item_partial_mapping,Athenian Academy of Technology and the Arts,2024-25,7628391502,HW 12/10 Spiral Review,,,Math / Grade 5 — 12 of 13 questions mapped,1
item_partial_mapping,Athenian Academy of Technology and the Arts,2024-25,7628347421,HW 12/10 Spiral Review,,,Math / Grade 5 — 8 of 9 questions mapped,1
item_partial_mapping,Athenian Academy of Technology and the Arts,2024-25,7338073886,End of Year Science Benchmark,,,Science / Grade 8 — 20 of 21 questions mapped,1
item_partial_mapping,Athenian Academy of Technology and the Arts,2024-25,7623891071,CW-Cold Read: Roberto Clemente,,,ELA / Grade 3 — 4 of 5 questions mapped,1
item_partial_mapping,Athenian Academy of Technology and the Arts,2024-25,7338051147,Unit 1 Benchmark Test: Nature of Science,,,Science / Grade 6 — 34 of 35 questions mapped,1
item_partial_mapping,Athenian Academy of Technology and the Arts,2024-25,7334633224,Tell Me a Story: Weekly Assessment: Week 1,,,ELA / Grade 1 — 17 of 18 questions mapped,1
item_partial_mapping,Athenian Academy of Technology and the Arts,2024-25,7626433775,HW 12/9 Spiral Review,,,Math / Grade 5 — 11 of 12 questions mapped,1
item_partial_mapping,Athenian Academy of Technology and the Arts,2024-25,7623214656,Classwork Cold Read: Roberto Clemente,,,ELA / Grade 3 — 4 of 5 questions mapped,1
item_partial_mapping,Athenian Academy of Technology and the Arts,2024-25,7622572438,Classwork Cold Read: Roberto Clemente,,,ELA / Grade 3 — 4 of 5 questions mapped,1
item_partial_mapping,Athenian Academy of Technology and the Arts,2024-25,7334635860,Tell Me a Story: Weekly Assessment: Week 1,,,ELA / Grade 1 — 17 of 18 questions mapped,1
item_partial_mapping,Athenian Academy of Technology and the Arts,2024-25,7334634386,Tell Me a Story: Weekly Assessment: Week 1,,,ELA / Grade 1 — 17 of 18 questions mapped,1
item_partial_mapping,Athenian Academy of Technology and the Arts,2024-25,7338068352,Unit 6 Benchmark Test: Matter,,,Science / Grade 8 — 49 of 50 questions mapped,1
item_partial_mapping,Athenian Academy of Technology and the Arts,2025-26,8264918425,Quiz 3,,,History / Grade 7 — 4 of 19 questions mapped,15
item_partial_mapping,Athenian Academy of Technology and the Arts,2025-26,8264944793,World History Quiz 4,,,History / Grade 6 — 8 of 20 questions mapped,12
item_partial_mapping,Athenian Academy of Technology and the Arts,2025-26,8214117785,Module 10 Mid-Chapter Quiz,,,Math / Grade 6 — 2 of 12 questions mapped,10
item_partial_mapping,Athenian Academy of Technology and the Arts,2025-26,8214008832,Module 10 Mid-Chapter Quiz,,,Math / Grade 6 — 2 of 12 questions mapped,10
item_partial_mapping,Athenian Academy of Technology and the Arts,2025-26,8357154937,Time,,,Math / Grade K — 1 of 10 questions mapped,9
item_partial_mapping,Athenian Academy of Technology and the Arts,2025-26,8356554433,Time,,,Math / Grade K — 1 of 10 questions mapped,9
item_partial_mapping,Athenian Academy of Technology and the Arts,2025-26,8357183954,Time,,,Math / Grade K — 1 of 10 questions mapped,9
item_partial_mapping,Athenian Academy of Technology and the Arts,2025-26,8292824903,Zoom In!: Weekly Assessment: Week 1,,,ELA / Grade K — 10 of 15 questions mapped,5
item_partial_mapping,Athenian Academy of Technology and the Arts,2025-26,7892345769,Zoom In!: Weekly Assessment: Week 1,,,ELA / Grade K — 10 of 15 questions mapped,5
item_partial_mapping,Athenian Academy of Technology and the Arts,2025-26,8292824934,Zoom In!: Weekly Assessment: Week 1,,,ELA / Grade K — 10 of 15 questions mapped,5
item_partial_mapping,Athenian Academy of Technology and the Arts,2025-26,8226200628,Module 9 Quiz,,,Math / Grade 7 — 5 of 10 questions mapped,5
item_partial_mapping,Athenian Academy of Technology and the Arts,2025-26,8350431547,Grade 3 FAST Practice Math,,,Math / Grade 3 — 34 of 35 questions mapped,1
item_partial_mapping,Athenian Academy of Technology and the Arts,2025-26,7892338211,Project Earth: Weekly Assessment: Week 2,,,ELA / Grade 5 — 19 of 20 questions mapped,1
item_partial_mapping,Athenian Academy of Technology and the Arts,2025-26,7892338206,Wild West: Weekly Assessment: Week 1,,,ELA / Grade 5 — 14 of 15 questions mapped,1
item_partial_mapping,Athenian Academy of Technology and the Arts,2025-26,7892338198,What a Story: Weekly Assessment: Week 3,,,ELA / Grade 5 — 13 of 14 questions mapped,1
item_partial_mapping,Athenian Academy of Technology and the Arts,2025-26,7892338214,Art for Everyone: Weekly Assessment: Week 1,,,ELA / Grade 5 — 14 of 15 questions mapped,1
item_partial_mapping,Athenian Academy of Technology and the Arts,2025-26,7892338196,What a Story: Weekly Assessment: Week 2,,,ELA / Grade 5 — 19 of 20 questions mapped,1
item_partial_mapping,Athenian Academy of Technology and the Arts,2025-26,7892335823,Module Assessment: Come to Your Senses,,,ELA / Grade 4 — 19 of 20 questions mapped,1
item_partial_mapping,Athenian Academy of Technology and the Arts,2025-26,7892348238,Take Control Unit Test,,,ELA / Grade 7 — 39 of 40 questions mapped,1
item_partial_mapping,Athenian Academy of Technology and the Arts,2025-26,7892348532,The Fight for Freedom Unit Test,,,ELA / Grade 8 — 40 of 41 questions mapped,1
item_partial_mapping,Athenian Academy of Technology and the Arts,2025-26,7892356629,Unit 5 Benchmark Test: Motion,,,Science / Grade 6 — 34 of 35 questions mapped,1
item_partial_mapping,Athenian Academy of Technology and the Arts,2025-26,7892360956,Unit 1: Early Humans and Societies,,,History / Grade 6 — 39 of 40 questions mapped,1
item_partial_mapping,Athenian Academy of Technology and the Arts,2025-26,7893398185,Chapter 7,,,Math / Grade 2 — 19 of 20 questions mapped,1
item_partial_mapping,Athenian Academy of Technology and the Arts,2025-26,7893398199,Chapter 17,,,Math / Grade 2 — 19 of 20 questions mapped,1
item_partial_mapping,Athenian Academy of Technology and the Arts,2025-26,7982710129,Unit 1 Benchmark Test: Nature of Science,,,Science / Grade 6 — 34 of 35 questions mapped,1
item_partial_mapping,Athenian Academy of Technology and the Arts,2025-26,8226238606,Adding 3 Numbers,,,Math / Grade K — 14 of 15 questions mapped,1
item_partial_mapping,Athenian Academy of Technology and the Arts,2025-26,8074119422,Chapters 7 & 8 Part 1,,,Math / Grade K — 13 of 14 questions mapped,1
item_partial_mapping,Athenian Academy of Technology and the Arts,2025-26,8074718690,Chapters 7 & 8 Part 1,,,Math / Grade K — 13 of 14 questions mapped,1
item_partial_mapping,Athenian Academy of Technology and the Arts,2025-26,8075178372,Chapters 7 & 8 Part 1,,,Math / Grade K — 13 of 14 questions mapped,1
item_partial_mapping,Central Florida Preparatory School,2024-25,7796962804,Home Sweet Habitat: Weekly Assessment: Week 1,,,ELA / Grade 2 — 8 of 13 questions mapped,5
item_partial_mapping,Central Florida Preparatory School,2024-25,7816901887,Home Sweet Habitat: Weekly Assessment: Week 3,,,ELA / Grade 3 — 9 of 14 questions mapped,5
item_partial_mapping,Central Florida Preparatory School,2024-25,7807260114,Home Sweet Habitat: Weekly Assessment: Week 2,,,ELA / Grade 2 — 9 of 14 questions mapped,5
item_partial_mapping,Central Florida Preparatory School,2024-25,7806926683,Home Sweet Habitat: Weekly Assessment: Week 1,,,ELA / Grade 2 — 12 of 13 questions mapped,1
item_partial_mapping,Central Florida Preparatory School,2025-26,8261346599,Topic 2,,,History / Higher-Ed — 12 of 35 questions mapped,23
item_partial_mapping,Central Florida Preparatory School,2025-26,8273818985,Topic 6: New Global Connections (1415?1796),,,History / Higher-Ed — 9 of 20 questions mapped,11
item_partial_mapping,Central Florida Preparatory School,2025-26,8331697612,Topic 10: The United States and the World: Make Decisions,,,Civics / Grade 7 — 17 of 20 questions mapped,3
item_partial_mapping,Central Florida Preparatory School,2025-26,8331695850,Topic 10: The United States and the World: Make Decisions,,,Civics / Grade 7 — 17 of 20 questions mapped,3
item_partial_mapping,Central Florida Preparatory School,2025-26,8330395855,Topic 5,,,Math / Higher-Ed — 20 of 22 questions mapped,2
