school_name,item_id,subject_id,item_name,assessment_type,subject,grade,session,n_students,n_questions,n_rows,students_in_both,bucket_rank
Athenian Academy of Technology and the Arts,7661452061,85e6602009435ef89f61b7b384216b352a250b69d159a2b4b2002dada6759a49,Chapter 14,Lesson  Assessments,Math,Grade 1,2024-25,1,18,19,0,2
Athenian Academy of Technology and the Arts,7661455143,4b9bbdd81191adebb097de0effae310f2a1662dfae574531f89d51174035cd3a,Chapter 9,Assessments,Math,Grade 2,2024-25,12,20,396,0,1
Athenian Academy of Technology and the Arts,7661455143,58978d1d046b2a4c63dd1fb17a14bf9a74b327bff475a15abd336bb2b3c99848,Chapter 9,Lesson  Assessments,Math,Grade 2,2024-25,2,20,66,0,2
Athenian Academy of Technology and the Arts,7676516420,82c9f3b3cdb7fdbb68db7b29ffc500aad76be31edd384b10ef47bd7abfb1466f,Quarter 3 Quiz #1,Assessments,Civics,Grade 8,2024-25,15,5,75,0,1
Athenian Academy of Technology and the Arts,7676516420,3ac336230d41080fbc91d6f489db19b3c90f3c42ac3fbcf27fcf98c13efce56d,Quarter 3 Quiz #1,Lesson  Assessments,Civics,Grade 8,2024-25,1,5,5,0,2
Athenian Academy of Technology and the Arts,7687741861,9dfd47961f78cda8d9695c9dd3a1a530c3d81b8ef65c5fb5b802bd221cefad14,Chapter 12,Lesson  Assessments,Math,Grade K,2024-25,19,15,380,2,1
Athenian Academy of Technology and the Arts,7687741861,e93f836775458de9c65b5631901b73431a6fe43315a5aa090f429f05f53811b6,Chapter 12,Assessments,Math,Grade K,2024-25,2,5,9,2,2
Athenian Academy of Technology and the Arts,7789244025,5b9820af3bcca451a3bfd442a51a9e8a5ec6f9223af1ad705b52ca01cba7e6e0,Quarter 4 Quiz 2,Lesson  Assessments,History,Grade 7,2024-25,27,5,135,0,1
Athenian Academy of Technology and the Arts,7789244025,921195d373bc6d957b4b62a985cc532901d1a11f4111aa1785dbec79dbe392d3,Quarter 4 Quiz 2,Assessments,History,Grade 7,2024-25,1,5,5,0,2
Athenian Academy of Technology and the Arts,7797146594,9c29f403bf8db93a9e53d9edb09f29797ebd427e683d5538bf619a8ff5a4b11b,Inspired by Nature Unit Test,Lesson Assessments,ELA,Grade 7,2024-25,29,40,1508,0,1
Athenian Academy of Technology and the Arts,7797146594,bd098359ce0318bb3a177b93aae2f20935f7c869530443b2c511cabb80569846,Inspired by Nature Unit Test,Lesson  Assessments,ELA,Grade 7,2024-25,1,40,52,0,2
Athenian Academy of Technology and the Arts,8112622324,eaf59d2f6b50b7a7a4f171fa692f23bd4da6dd032ec1770e5acbe7c91acdfe8f,Chapter 16.1,Lesson  Assessments,Math,Grade K,2025-26,23,12,368,0,1
Athenian Academy of Technology and the Arts,8112622324,2ec8dd053a2a6894b084a8044cd69548be940d75be645b4d022070121f3e7655,Chapter 16 Part 1,Lesson  Assessments,Math,Grade K,2025-26,1,12,16,0,2
Central Florida Preparatory School,8159775714,17df9be6c491d4c66bde65d3be3e2e66897b3d5e7d0be0be69842d2990fe8b61,M4 W1 Heroic Feats: Weekly Assessment: Module 4 Week 1 12/18,Summative,ELA,Grade 4,2025-26,17,9,153,0,1
Central Florida Preparatory School,8159775714,481e3b9dc0cf7016dc89e4c93b0c5ca205d19a3b3778cac052e2033e74f757da,M4 W1 Heroic Feats: Weekly Assessment: Module 4 Week 1,Summative,ELA,Grade 4,2025-26,1,9,9,0,2
Central Florida Preparatory School,8362776921,4d7bfbf1585a4c49c58ca8caf67e0d107ff986926f1d5f67f3d6ee497eed0128,Topic 8,topic,HS Algebra I,Regular 9–12,2025-26,16,18,539,0,1
Central Florida Preparatory School,8362776921,38fa194a54c74486c22b4a1780e7e842c68aaa132a5237641c20f03eef8ab063,Topic 8,topic,HS Algebra I,Higher-Ed,2025-26,1,18,33,0,2
Crestwell School,7610639442,82f644f56225014e33a80906e11a1afacafeeab392378cbcc188a8b67f5f87fc,Chapter 1 Test: Counting and Number Sense,Chap Test,Math,Grade 1,2024-25,1,9,9,0,1
Crestwell School,7610639442,d7a8b2735e95c8860d582d740349c3eb0ce800ba222fad7bffb3ca662d0a1165,Chapter 1 Test: Counting and Number Sense,Summative,Math,Grade 1,2025-26,1,9,15,0,1
Crestwell School,7929054690,07a8a60fdad4ec926d5bd5c2b09abea44e50dc00f90f1640767b9443334f6bab,What Makes Us Who We Are?: Weekly Assessment: Week 2,Summative,Reading,Grade 4,2025-26,15,10,140,2,1
Crestwell School,7929054690,5597cbf1de2c690fa6f063313abda43ad1ee23d5bf90d3530a9431503d558d56,What Makes Us Who We Are?: Weekly Assessment: Week 2,Weekly Test,Reading,Grade 4,2025-26,3,10,30,2,2
