school_name,item_id,item_name,dqd_at,dim_at,dqd_rows
Athenian Academy of Technology and the Arts,7661450418,Chapter 9,Lesson  Assessments,Assessments,25
Athenian Academy of Technology and the Arts,7702499251,Chapter 16,Lesson  Assessments,Assessments,25
Athenian Academy of Technology and the Arts,7702547852,Chapter 15 Measurements,Lesson  Assessments,Assessments,24
Athenian Academy of Technology and the Arts,7789640645,Chapter 16 Temperature and Time,Lesson  Assessments,Assessments,24
Athenian Academy of Technology and the Arts,7702550074,Chapter 15 Measurements,Lesson  Assessments,Assessments,24
Athenian Academy of Technology and the Arts,7338420536,Unit 6 Benchmark Test: Matter and It's Changes,Lesson  Assessments,Assessments,24
Athenian Academy of Technology and the Arts,8342066250,Module Assessment: Zoom In!,Summative,Lesson  Assessments,23
Athenian Academy of Technology and the Arts,7334633878,Module Assessment: Better Together,Lesson  Assessments,Assessments,23
Athenian Academy of Technology and the Arts,7334739781,Module Assessment: Use Your Words,Lesson  Assessments,Unit-Chap  Assessments,23
Athenian Academy of Technology and the Arts,7496089542,Chapter 11,Lesson  Assessments,Assessments,23
Athenian Academy of Technology and the Arts,7496090393,Chapter 11,Lesson  Assessments,Assessments,23
Athenian Academy of Technology and the Arts,7702535723,Chapter 15,Lesson  Assessments,Assessments,23
Athenian Academy of Technology and the Arts,7338399397,Unit 6 Benchmark Test: Heat Sources - 12/12/24,Unit-Chap  Assessments,Lesson  Assessments,22
Athenian Academy of Technology and the Arts,7789295582,The Big Outdoors: Weekly Assessment: Week 2,Assessments,Lesson  Assessments,22
Athenian Academy of Technology and the Arts,7338462408,Unit 10 Benchmark Test: Changes in Environments,Lesson  Assessments,Assessments,20
Athenian Academy of Technology and the Arts,7338462515,Unit 10 Benchmark Test: Changes in Environments,Lesson  Assessments,Assessments,20
Athenian Academy of Technology and the Arts,7789352689,Tricksters and Tall Tales: Weekly Assessment: Week 2,Lesson  Assessments,Assessments,20
Athenian Academy of Technology and the Arts,7687749585,Chapter 12,Assessments,Lesson  Assessments,20
Athenian Academy of Technology and the Arts,7334764022,Module Assessment: Heroic Feats,Lesson  Assessments,Assessments,20
Athenian Academy of Technology and the Arts,7789371643,"Above, Below, and Beyond: Weekly Assessment: Week 2",Lesson  Assessments,Assessments,20
Athenian Academy of Technology and the Arts,7334764702,Module Assessment: Heroic Feats,Lesson  Assessments,Assessments,20
Athenian Academy of Technology and the Arts,7687763462,Chapter 12,Assessments,Lesson  Assessments,20
Athenian Academy of Technology and the Arts,7594826821,Chapter 13,Lesson  Assessments,Assessments,20
Athenian Academy of Technology and the Arts,7594775511,Chapter 13,Lesson  Assessments,Assessments,20
Athenian Academy of Technology and the Arts,7337889365,Module Assessment: Wild West,Lesson  Assessments,Assessments,20
Athenian Academy of Technology and the Arts,7687741861,Chapter 12,Assessments,Lesson  Assessments,20
Athenian Academy of Technology and the Arts,7337889512,Module Assessment: Wild West,Lesson  Assessments,Assessments,20
Athenian Academy of Technology and the Arts,7789365059,"Above, Below, and Beyond: Weekly Assessment: Week 2",Lesson  Assessments,Assessments,20
Athenian Academy of Technology and the Arts,7702561239,Chapter 18,Lesson  Assessments,Assessments,19
Athenian Academy of Technology and the Arts,7334740849,Make a Difference: Weekly Assessment: Week 2,Assessments,Lesson  Assessments,19
Athenian Academy of Technology and the Arts,7334742226,Make a Difference: Weekly Assessment: Week 2,Assessments,Lesson  Assessments,19
Athenian Academy of Technology and the Arts,7687719992,Chapter 10,Assessments,Lesson  Assessments,19
Athenian Academy of Technology and the Arts,7338206131,Module 8 Test,Assessments,Lesson  Assessments,19
Athenian Academy of Technology and the Arts,7334739247,Make a Difference: Weekly Assessment: Week 2,Assessments,Lesson  Assessments,19
Athenian Academy of Technology and the Arts,7702559183,Chapter 18,Lesson  Assessments,Assessments,19
Athenian Academy of Technology and the Arts,7661452061,Chapter 14,Lesson  Assessments,Assessments,19
Athenian Academy of Technology and the Arts,7594791651,Chapter 19,Lesson  Assessments,Assessments,19
Athenian Academy of Technology and the Arts,7337899774,Happy Healthy Me: Weekly Assessment: Week 3,Lesson  Assessments,Unit-Chap  Assessments,18
Athenian Academy of Technology and the Arts,7337889517,Project Earth: Weekly Assessment: Week 1,Lesson  Assessments,Assessments,18
Athenian Academy of Technology and the Arts,7334680804,Everyone Has a Story: Weekly Assessment: Week 2,Assessments,Lesson  Assessments,18
Athenian Academy of Technology and the Arts,7337899008,Happy Healthy Me: Weekly Assessment: Week 3,Assessments,Lesson  Assessments,18
Athenian Academy of Technology and the Arts,7338394693,Unit 4 Benchmark Test: Weather,Lesson  Assessments,Unit-Chap  Assessments,18
Athenian Academy of Technology and the Arts,7334679809,Everyone Has a Story: Weekly Assessment: Week 2,Assessments,Lesson  Assessments,18
Athenian Academy of Technology and the Arts,7337899774,Happy Healthy Me: Weekly Assessment: Week 3,Assessments,Unit-Chap  Assessments,18
Athenian Academy of Technology and the Arts,7334635223,"Now You See It, Now You Don't: Weekly Assessment: Week 1",Assessments,Lesson  Assessments,18
Athenian Academy of Technology and the Arts,7337899005,Happy Healthy Me: Weekly Assessment: Week 2,Lesson  Assessments,Assessments,18
Athenian Academy of Technology and the Arts,7337899156,Happy Healthy Me: Weekly Assessment: Week 3,Assessments,Lesson  Assessments,18
Athenian Academy of Technology and the Arts,7789287431,M7W2 Vocabulary Quiz,Assessments,Lesson  Assessments,18
Athenian Academy of Technology and the Arts,7334633906,"Now You See It, Now You Don't: Weekly Assessment: Week 1",Assessments,Lesson  Assessments,18
Athenian Academy of Technology and the Arts,7789397596,Home of the Free and the Brave: Weekly Assessment: Week 2,Lesson  Assessments,Assessments,18
Athenian Academy of Technology and the Arts,7334678220,Everyone Has a Story: Weekly Assessment: Week 2,Assessments,Lesson  Assessments,18
Athenian Academy of Technology and the Arts,7337899764,Happy Healthy Me: Weekly Assessment: Week 2,Lesson  Assessments,Assessments,18
Athenian Academy of Technology and the Arts,7334764745,Art Everywhere: Weekly Assessment: Week 1,Lesson  Assessments,Assessments,17
Athenian Academy of Technology and the Arts,7661451536,Chapter 15,Assessments,Lesson  Assessments,17
Athenian Academy of Technology and the Arts,7680381708,Module 5 Week 1 Vocabulary Quiz,Lesson  Assessments,Assessments,16
Athenian Academy of Technology and the Arts,7334677961,Module Assessment: Once Upon a Time,Lesson  Assessments,Assessments,16
Athenian Academy of Technology and the Arts,7445551771,Module 7 Week 1 Vocabulary Quiz,Lesson  Assessments,Assessments,16
Athenian Academy of Technology and the Arts,7779651289,Module 7 Week 1 Vocabulary Quiz,Lesson  Assessments,Assessments,16
Athenian Academy of Technology and the Arts,7780024165,Module 7 Week 1 Vocabulary Quiz,Lesson  Assessments,Assessments,16
Athenian Academy of Technology and the Arts,7787916956,Module 7 Week 2 Vocabulary Quiz,Lesson  Assessments,Assessments,16
Athenian Academy of Technology and the Arts,7445551772,Module 7 Week 2 Vocabulary Quiz,Assessments,Lesson  Assessments,16
Athenian Academy of Technology and the Arts,7787922452,Module 7 Week 2 Vocabulary Quiz,Assessments,Lesson  Assessments,16
Athenian Academy of Technology and the Arts,7334740354,Teamwork: Weekly Assessment: Week 1,Lesson  Assessments,Assessments,15
Athenian Academy of Technology and the Arts,7334741890,Teamwork: Weekly Assessment: Week 1,Lesson  Assessments,Assessments,15
Athenian Academy of Technology and the Arts,7334764979,Tricksters and Tall Tales: Weekly Assessment: Week 1,Lesson  Assessments,Assessments,15
Athenian Academy of Technology and the Arts,7337889545,"Above, Below, and Beyond: Weekly Assessment: Week 1",Lesson  Assessments,Assessments,15
Athenian Academy of Technology and the Arts,7684022828,"Text Dependent questions Module 5, week 1 ""Going Places""",Assessments,Lesson  Assessments,15
Athenian Academy of Technology and the Arts,7334742203,Make a Difference: Weekly Assessment: Week 1,Lesson  Assessments,Assessments,15
Athenian Academy of Technology and the Arts,7334740802,Make a Difference: Weekly Assessment: Week 1,Lesson  Assessments,Assessments,15
Athenian Academy of Technology and the Arts,7338394510,Unit 9 Benchmark Test: The Human Body,Lesson  Assessments,Assessments,14
Athenian Academy of Technology and the Arts,7338394737,Unit 9 Benchmark Test: The Human Body,Lesson  Assessments,Assessments,14
Athenian Academy of Technology and the Arts,7334678180,Everyone Has a Story: Weekly Assessment: Week 1,Lesson  Assessments,Assessments,13
Athenian Academy of Technology and the Arts,7334679791,Everyone Has a Story: Weekly Assessment: Week 1,Lesson  Assessments,Assessments,13
Athenian Academy of Technology and the Arts,7334680779,Everyone Has a Story: Weekly Assessment: Week 1,Lesson  Assessments,Assessments,13
Athenian Academy of Technology and the Arts,7338364983,Unit 4 Benchmark Test: Earth?s Resources,Lesson  Assessments,Assessments,11
Athenian Academy of Technology and the Arts,7789275406,M7W2 vocab quiz,Lesson  Assessments,Assessments,11
Athenian Academy of Technology and the Arts,7687592490,M5M1Vocabulary Quiz,Lesson  Assessments,Assessments,10
Athenian Academy of Technology and the Arts,7780129205,M7W1 Vocabulary Quiz,Lesson  Assessments,Assessments,10
Athenian Academy of Technology and the Arts,7689301066,M5M1Vocabulary Quiz,Assessments,Lesson  Assessments,10
Athenian Academy of Technology and the Arts,7789394548,M7W2 Vocabulary Quiz,Assessments,Lesson  Assessments,9
Athenian Academy of Technology and the Arts,7779964861,M7W1 vocab quiz,Lesson  Assessments,Assessments,6
Athenian Academy of Technology and the Arts,7789244025,Quarter 4 Quiz 2,Lesson  Assessments,Assessments,5
Athenian Academy of Technology and the Arts,7688167176,Quarter 3 Quiz 2,Assessments,Lesson  Assessments,5
Athenian Academy of Technology and the Arts,7780051007,World History Quiz #1,Lesson  Assessments,Assessments,5
Athenian Academy of Technology and the Arts,7676516420,Quarter 3 Quiz #1,Assessments,Lesson  Assessments,5
Athenian Academy of Technology and the Arts,7789366219,World History Quiz 2,Assessments,Lesson  Assessments,5
Athenian Academy of Technology and the Arts,7768876930,Unit 4 Lesson 3 Quiz,Lesson  Assessments,Assessments,4
Athenian Academy of Technology and the Arts,7688550954,Unit 3 Lesson 1 Quiz,Lesson  Assessments,Assessments,4
Central Florida Preparatory School,8258440058,Waves and Electromagnetic Radiation,topic,Summative,37
Crestwell School,8007341041,Chapter 2 Test: Addition and Subtraction Strategies,Chap Test,Summative,27
Crestwell School,8007345770,Chapter 2 Test: Addition and Subtraction Strategies,Chap Test,Summative,23
Crestwell School,7929067017,Module Assessment: What Makes Us Who We Are?,Mod test,Summative,22
Crestwell School,7925384111,Module Assessment: What a Character!,Mod test,Summative,21
Crestwell School,7929054690,What Makes Us Who We Are?: Weekly Assessment: Week 2,Summative,Weekly Test,20
Crestwell School,7930690380,What a Story: Weekly Assessment: Week 1,Mod test,Summative,9
Crestwell School,7610639442,Chapter 1 Test: Counting and Number Sense,Chap Test,Summative,9
