TableName,ColumnName,Cardinality,Dictionary,HashIndex,DataSize,ModifiedTime,StructureModifiedTime
cube_question_summary_overall,Position_Number,21,401,0,2288,2025-03-21 15:05:31,2025-03-21 15:05:31
cube_question_summary_overall,Description,1337,438603,0,95776,2025-03-24 10:26:46,2025-03-24 10:26:46
cube_question_summary_overall,Trimmed_Standard,1275,17090,0,97656,2026-03-05 10:46:11,2025-07-22 06:18:48
cube_question_summary_overall,Section_Instructors,141,8923,0,23496,2025-12-02 06:21:39,2025-12-02 06:21:39
cube_question_summary_overall,Incorrect_Choice_Details_Hash,60866,9444546,0,137272,2025-12-02 06:21:39,2025-12-02 06:21:39
cube_question_summary_overall,Incorrect_Details_Name_Hash,65694,15656065,0,182984,2025-12-02 06:21:39,2025-12-02 06:21:39
cube_question_summary_overall,TeacherName_Hash,179,7593,0,23144,2025-12-02 06:21:39,2025-12-02 06:21:39
cube_questionincorrectchoice_summary,Question_ID,90180,1091997,0,1175312,2024-08-28 11:59:53,2024-08-28 11:59:53
cube_questionincorrectchoice_summary,Answer_Submission,117368,9704982,0,1093768,2024-08-28 11:59:53,2024-08-28 11:59:53
cube_questionincorrectchoice_summary,Total_Student,44,216,0,12800,2024-09-04 07:49:02,2024-08-28 11:59:53
cube_questionincorrectchoice_summary,Total_Possible_Point,511,4128,0,23408,2024-09-04 07:49:02,2024-08-28 11:59:53
cube_questionincorrectchoice_summary,Total_Score,3128,25064,0,48896,2024-09-04 07:49:02,2024-08-28 11:59:53
cube_questionincorrectchoice_summary,Grade_Average,3311,26528,0,41400,2024-09-04 10:43:25,2024-08-28 11:59:53
cube_questionincorrectchoice_summary,Percentage_InCorrect_Answers,3257,26096,0,41400,2024-09-04 07:49:02,2024-08-28 11:59:53
cube_questionincorrectchoice_summary,ID,440811,17643120,0,1175648,2025-02-21 15:26:50,2024-08-28 11:59:53
cube_questionincorrectchoice_summary,UKey,63697,2549489,0,861168,2025-05-22 06:49:02,2025-05-22 06:49:02
cube_school_summary,School_ID,5,269,0,376,2024-09-03 06:33:14,2024-09-03 06:33:14
cube_school_summary,Subject_ID,4599,184218,0,33640,2024-09-03 06:33:14,2024-09-03 06:33:14
cube_school_summary,Item_ID,5492,66930,0,25792,2024-09-03 06:33:14,2024-09-03 06:33:14
cube_school_summary,Total_Questions,76,344,0,9072,2024-09-03 06:33:14,2024-09-03 06:33:14
cube_school_summary,Total_Standards,31,164,0,9728,2024-09-03 06:33:14,2024-09-03 06:33:14
cube_school_summary,Total_Students,78,352,0,6288,2024-09-03 06:33:14,2024-09-03 06:33:14
cube_school_summary,Total_Possible_Point,1697,0,32909,59864,2024-09-03 06:33:14,2024-09-03 06:33:14
cube_school_summary,Total_Score,3212,25736,0,26944,2024-09-03 06:33:14,2024-09-03 06:33:14
cube_school_summary,Grade_Average,6564,52552,0,33640,2025-07-28 05:29:58,2024-09-03 06:33:14
cube_school_summary,Percentage_InCorrect_Answers,6563,52544,0,33640,2024-09-03 06:33:14,2024-09-03 06:33:14
cube_school_summary,ID,16747,670524,0,33640,2025-02-21 15:26:50,2024-09-03 06:33:14
cube_standard_summary,Strand_ID,1520,61058,0,91720,2024-08-28 11:59:53,2024-08-28 11:59:53
cube_standard_summary,Identifier,1486,37838,0,91720,2024-08-28 11:59:53,2024-08-28 11:59:53
cube_standard_summary,Total_Questions,48,232,0,1864,2024-08-28 11:59:53,2024-08-28 11:59:53
cube_standard_summary,Total_Standards,26,144,0,1496,2024-08-28 11:59:53,2024-08-28 11:59:53
cube_standard_summary,Total_Possible_Point,1041,8368,0,34600,2024-08-28 11:59:53,2024-08-28 11:59:53
cube_standard_summary,Total_Score,3419,27392,0,77432,2024-08-28 11:59:53,2024-08-28 11:59:53
cube_standard_summary,Grade_Average,7245,58000,0,95320,2025-07-28 05:34:56,2024-08-28 11:59:53
cube_standard_summary,Percentage_InCorrect_Answers,7242,57976,0,95320,2025-01-23 12:16:50,2024-08-28 11:59:53
cube_standard_summary,ID,62375,2496609,0,124896,2025-02-21 15:26:50,2024-08-28 11:59:53
cube_standard_summary,Item_ID,5300,64594,0,124896,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_item,Item_ID,3758,45800,0,6160,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_item,Subject_ID,1841,73898,0,6160,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_item,Item_Type,1,151,0,152,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_item,Item_Name,462,13938,0,4440,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_item,School_ID,1,151,0,152,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_item,Section_Name,28,807,0,736,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_item,Section_Instructors,33,1609,0,504,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_item,assessment_date,507,0,8445,6160,2025-02-25 13:07:05,2025-02-25 13:06:37
dim_question_data,Question,1,0,0,152,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_question_data,Position_Number,1,0,0,152,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_question_data,Item_ID,1,0,0,152,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_question_data,Item_Name,1,0,0,152,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_question_data,School_ID,1,0,0,152,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_question_data,Standards,1,0,0,152,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_question_data,Question_ID,1,0,0,152,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_question_data,Question_No,1,0,0,152,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_question_data,Least_Points_Earned,1,0,0,152,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_question_data,Correct_Answer,1,0,0,152,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_question_data,Question_Type,1,0,0,152,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_question_data,Average_Points_Earned,1,0,0,152,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_question_data,Associated_Question_ID,1,0,0,152,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_question_data,Total_Points,1,0,0,152,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_question_data,Most_Points_Earned,1,0,0,152,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_question_data,Correctly_Answered,1,0,0,152,2024-09-15 11:06:13,2024-09-15 11:06:13
dim_question_data,Sub-Question,1,0,0,152,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_question_data,Session,1,0,0,152,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_question_data,Assessment_type,1,0,0,152,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_question_data,Subject,1,0,0,152,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_question_data,Grade,1,0,0,152,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_question_data,Section,1,0,0,152,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_question_data,Qkey,1,0,0,152,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_question_data,Ukey,1,0,0,152,2024-09-16 05:50:50,2024-09-16 05:50:50
dim_question_data,Standard,1,0,0,152,2024-09-18 08:19:13,2024-09-18 08:19:13
dim_question_data,Identifier,1,0,0,152,2024-09-18 08:19:13,2024-09-18 08:19:13
dim_standard,Cognitive_Complexity_Rating,2,153,0,152,2024-08-30 07:32:05,2024-08-30 07:32:05
dim_standard,Direct_Link,17,3213,0,2816,2024-08-30 07:32:05,2024-08-30 07:32:05
dim_standard,Grader,23,743,0,3792,2024-08-30 07:32:05,2024-08-30 07:32:05
dim_standard,Identifier,7025,178430,0,16064,2024-08-30 07:32:05,2024-08-30 07:32:05
dim_standard,Language,2,163,0,152,2024-08-30 07:32:05,2024-08-30 07:32:05
dim_standard,Schoology_Standard,7911,115492,0,16064,2024-08-30 07:32:05,2024-08-30 07:32:05
dim_standard,Standard_New,108,2437,0,2816,2024-08-30 07:32:05,2024-08-30 07:32:05
dim_standard,Strand,119,10451,0,6536,2024-08-30 07:32:05,2024-08-30 07:32:05
dim_standard,Subject,17,763,0,2800,2024-08-30 07:32:05,2024-08-30 07:32:05
dim_standard,cPalms_Standard,3870,99841,0,12880,2024-08-30 07:32:05,2024-08-30 07:32:05
dim_standard,cluster,620,89511,0,10760,2024-08-30 07:32:05,2024-08-30 07:32:05
dim_standard,description,6791,1435993,0,16064,2024-08-30 07:32:05,2024-08-30 07:32:05
dim_standard,lastChangeDateTime,5023,115613,0,12816,2024-08-30 07:32:05,2024-08-30 07:32:05
dim_standard,rundate,4,72,0,160,2024-08-30 07:32:05,2024-08-30 07:32:05
dim_standard,Custom.CleanedDescription,6789,1396569,0,16064,2025-01-24 12:02:01,2025-01-24 12:02:01
dim_standard,uniquesID,7958,285754,0,16064,2025-04-17 12:35:18,2025-04-17 12:35:18
dim_strand,Identifier,7044,178814,0,14288,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_strand,Strand,120,10489,0,2216,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_strand,strand_ID,7069,283018,0,14288,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_strand,ID,7070,0,136629,14288,2024-09-02 09:25:35,2024-08-28 11:59:53
dim_subject,Subject_ID,2034,81618,0,3400,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_subject,School_ID,1,151,0,152,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_subject,Subject,16,517,0,248,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_subject,Assessment_type,4,309,0,160,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_subject,Grade,19,665,0,1312,2024-10-23 10:09:49,2024-10-23 10:09:49
dim_subject,Session,4,219,0,416,2024-08-28 11:59:53,2024-08-28 11:59:53
dim_subject,Item_Name,593,17194,0,2864,2024-09-15 11:40:24,2024-09-15 11:40:24
dim_subject,GradeSort,19,665,0,1312,2024-10-23 10:01:37,2024-10-23 10:01:37
dim_subject,ShowHistorySubject,15,493,0,248,2026-03-05 10:46:11,2024-10-30 11:27:25
dim_subject,Grade_no,10,243,0,1024,2026-03-05 10:46:11,2025-01-24 11:48:23
fact_student_submission,Identifier,1,0,0,152,2024-08-30 05:28:41,2024-08-30 05:28:41
fact_student_submission,Question_ID,1,0,0,152,2024-08-30 05:28:41,2024-08-30 05:28:41
fact_student_submission,User_UID,1,0,0,152,2024-08-30 05:28:41,2024-08-30 05:28:41
fact_student_submission,User_Role_ID,1,0,0,152,2024-08-30 05:28:41,2024-08-30 05:28:41
fact_student_submission,School_ID,1,0,0,152,2024-08-30 05:28:41,2024-08-30 05:28:41
fact_student_submission,Course_NID,1,0,0,152,2024-08-30 05:28:41,2024-08-30 05:28:41
fact_student_submission,Section_NID,1,0,0,152,2024-08-30 05:28:41,2024-08-30 05:28:41
fact_student_submission,Section_Code,1,0,0,152,2024-08-30 05:28:41,2024-08-30 05:28:41
fact_student_submission,Item_ID,1,0,0,152,2024-08-30 05:28:41,2024-08-30 05:28:41
fact_student_submission,Item_Name,1,0,0,152,2024-08-30 05:28:41,2024-08-30 05:28:41
fact_student_submission,First_Access,1,0,0,152,2024-08-30 05:28:41,2024-08-30 05:28:41
fact_student_submission,Latest_Attempt,1,0,0,152,2024-08-30 05:28:41,2024-08-30 05:28:41
fact_student_submission,Total_Time,1,0,0,152,2024-08-30 05:28:41,2024-08-30 05:28:41
fact_student_submission,Submission_Grade,1,0,0,152,2024-08-30 05:28:41,2024-08-30 05:28:41
fact_student_submission,Submission,1,0,0,152,2024-08-30 05:28:41,2024-08-30 05:28:41
fact_student_submission,Session,1,0,0,152,2024-08-30 05:28:41,2024-08-30 05:28:41
fact_student_submission,Assessment_type,1,0,0,152,2024-08-30 05:28:41,2024-08-30 05:28:41
fact_student_submission,Subject,1,0,0,152,2024-08-30 05:28:41,2024-08-30 05:28:41
fact_student_submission,Grade,1,0,0,152,2024-08-30 05:28:41,2024-08-30 05:28:41
fact_student_submission,Section,1,0,0,152,2024-08-30 05:28:41,2024-08-30 05:28:41
fact_student_submission,File_Name,1,0,0,152,2024-08-30 05:28:41,2024-08-30 05:28:41
fact_student_submission,Position_Number,1,0,0,152,2024-08-30 05:28:41,2024-08-30 05:28:41
fact_student_submission,Sub-Question,1,0,0,152,2024-08-30 05:28:41,2024-08-30 05:28:41
fact_student_submission,Answer_Submission,1,0,0,152,2024-08-30 05:28:41,2024-08-30 05:28:41
fact_student_submission,Correct_Answer,1,0,0,152,2024-08-30 05:28:41,2024-08-30 05:28:41
fact_student_submission,Points_Received,1,0,0,152,2024-08-30 05:28:41,2024-08-30 05:28:41
fact_student_submission,Points_Possible,1,0,0,152,2024-08-30 05:28:41,2024-08-30 05:28:41
fact_student_submission,User_id_ques_id,1,0,0,152,2024-08-30 05:28:41,2024-08-30 05:28:41
fact_student_submission,Grade_ID,1,0,0,152,2024-08-30 05:28:41,2024-08-30 05:28:41
fact_student_submission,Assessment_ID,1,0,0,152,2024-08-30 05:28:41,2024-08-30 05:28:41
fact_student_submission,Subject_ID,1,0,0,152,2024-08-30 05:28:41,2024-08-30 05:28:41
fact_student_submission,strand_ID,1,0,0,152,2024-08-30 05:28:41,2024-08-30 05:28:41
fact_student_submission,User_Name,1,0,0,152,2024-09-04 09:06:38,2024-09-04 09:06:38
fact_student_submission,Standard,1,0,0,152,2024-10-30 11:22:13,2024-10-30 11:22:13
fact_student_submission,User_id_ques_id_stand,1,0,0,152,2024-12-25 14:27:17,2024-12-25 14:27:17
