school_id,item_id,item_name,students,f_subjects,f_grades,s_subjects,s_grades,subj_diff,grade_diff,fact_multivalue
019eb11c-410a-7ffb-86e6-a0294c669670,7623891071,CW-Cold Read: Roberto Clemente,19,{ELA},"{""Grade 3""}",{ELA},"{""Grade 2""}",f,t,f
019eb11c-410a-7ffb-86e6-a0294c669670,7337899755,Happy Healthy Me: Weekly Assessment: Week 1,19,{ELA},"{""Grade 1""}",{ELA},"{""Grade 1"",""Grade K""}",f,t,f
019eb11c-410a-7ffb-86e6-a0294c669670,7337899774,Happy Healthy Me: Weekly Assessment: Week 3,19,{ELA},"{""Grade 1""}",{ELA},"{""Grade 1"",""Grade K""}",f,t,f
019eb11c-410a-7ffb-86e6-a0294c669670,7617762025,HW 12/3 8.1,30,{Math},"{""Grade 6""}",{Math},"{""Grade 5""}",f,t,f
019eb11c-410a-7ffb-86e6-a0294c669670,7619625033,HW 12/4 7.2 - 7.3,28,{Math},"{""Grade 7""}",{Math},"{""Grade 5""}",f,t,f
019eb11c-410a-7ffb-86e6-a0294c669670,7619615379,HW 12/4 8.2,31,{Math},"{""Grade 6""}",{Math},"{""Grade 5""}",f,t,f
019eb11c-410a-7ffb-86e6-a0294c669670,7623314096,HW 12/6,28,{Math},"{""Grade 7""}",{Math},"{""Grade 5""}",f,t,f
019eb11c-410a-7ffb-86e6-a0294c669670,7598715892,M4W2 Vocabulary Quiz,18,{ELA},"{""Grade 5""}",{ELA},"{""Grade 4""}",f,t,f
019eb11c-410a-7ffb-86e6-a0294c669670,7620225345,M4W2  Vocabulary Quiz,19,{ELA},"{""Grade 3""}",{ELA},"{""Grade 2""}",f,t,f
019eb11c-410a-7ffb-86e6-a0294c669670,7789287431,M7W2 Vocabulary Quiz,21,{ELA},"{""Grade 3""}","{ELA,Math}","{""Grade 3""}",t,f,f
019eb11c-410a-7ffb-86e6-a0294c669670,7334679341,Meet in the Middle: Weekly Assessment: Week 1,16,{ELA},"{""Grade 2""}",{ELA},"{""Grade 3""}",f,t,f
019eb11c-410a-7ffb-86e6-a0294c669670,7338206131,Module 8 Test,30,{Math},"{""Grade 7""}","{ELA,Math}","{""Grade 7""}",t,f,f
019eb11c-410a-7ffb-86e6-a0294c669670,8336110460,Module 8 Week 1 Vocabulary Quiz,20,{ELA},"{""Grade 2""}",{ELA},"{""Grade 4""}",f,t,f
019eb11c-410a-7ffb-86e6-a0294c669670,7334633943,"Now You See It, Now You Don't: Weekly Assessment: Week 2",19,{ELA},"{""Grade 1""}",{ELA},"{""Grade 1"",""Grade K""}",f,t,f
019eb11c-410a-7ffb-86e6-a0294c669670,7625255317,Science CW FSSA book matter #1,19,{Science},"{""Grade 5""}",{Science},"{""Grade 4""}",f,t,f
019eb11c-410a-7ffb-86e6-a0294c669670,7625334305,Science CW FSSA book matter #1,19,{Science},"{""Grade 5""}",{Science},"{""Grade 4""}",f,t,f
019eb11c-410a-7ffb-86e6-a0294c669670,7628056550,science CW FSSA book  matter #2,20,{Science},"{""Grade 5""}",{Science},"{""Grade 4""}",f,t,f
019eb11c-410a-7ffb-86e6-a0294c669670,7892346412,Through an Animal?s Eyes Unit Test,39,{ELA},"{""Grade 8""}",{ELA},"{""Grade 6"",""Grade 8""}",f,t,f
019eb11c-410a-7ffb-86e6-a0294c669670,7696812668,Unit 3 Lesson 3 Quiz,20,{Science},"{""Grade 1""}","{Science,""Social Studies""}","{""Grade 1""}",t,f,f
019eb11c-410a-7ffb-86e6-a0294c669670,7701493741,Unit 3 Lesson 3 Quiz,19,{Science},"{""Grade 1""}","{Science,""Social Studies""}","{""Grade 1""}",t,f,f
019eb11c-410a-7ffb-86e6-a0294c669670,7338320727,Unit 3 Test,31,{History},"{""Grade 7""}","{ELA,History}","{""Grade 7""}",t,f,f
019eb11c-410a-7ffb-86e6-a0294c669670,7338033968,Unit 5 Test,18,{Civics},"{""Grade 8""}","{Civics,ELA}","{""Grade 5"",""Grade 8""}",t,t,f
019eb11c-410a-7ffb-86e6-a0294c669670,7338399404,Unit 7 Benchmark Test: Plants and the Environment,20,{Science},"{""Grade 3""}","{Science,""Social Studies""}","{""Grade 3""}",t,f,f
019eb11c-413b-7a66-a7d8-a18f14736ede,7806926683,Home Sweet Habitat: Weekly Assessment: Week 1,13,{ELA},"{""Grade 2""}",{ELA},"{""Grade 3""}",f,t,f
019eb11c-413b-7a66-a7d8-a18f14736ede,7816901887,Home Sweet Habitat: Weekly Assessment: Week 3,13,{ELA},"{""Grade 2""}",{ELA},"{""Grade 3""}",f,t,f
019eb11c-413b-7a66-a7d8-a18f14736ede,7780237817,Home Sweet Habitat: Weekly Assessment: Week 3,14,{ELA},"{""Grade 2""}",{ELA},"{""Grade 3""}",f,t,f
019eb11c-413b-7a66-a7d8-a18f14736ede,7823076023,Home Sweet Habitat: Weekly Assessment: Week 3,13,{ELA},"{""Grade 2""}",{ELA},"{""Grade 3""}",f,t,f
019eb11c-413b-7a66-a7d8-a18f14736ede,7961339860,Living Things in the Biosphere,18,{Science},"{""Grade 7""}","{ELA,Science}","{""Grade 7""}",t,f,f
019eb11c-413b-7a66-a7d8-a18f14736ede,8216302399,Topic 3 Assessment A,3,"{""HS Honors Algebra I""}",{Higher-Ed},"{""HS Honors Algebra I""}","{""Grade 1"",Higher-Ed}",f,t,f
019eb11c-413b-7a66-a7d8-a18f14736ede,7891846801,Unit 7 Benchmark Test: Working With Electricity,19,{Science},"{""Grade 5""}","{ELA,Science}","{""Grade 1"",""Grade 5""}",t,t,f
019eb11c-413b-7a66-a7d8-a18f14736ede,7997342490,Unit 7 Benchmark Test: Working With Electricity,20,{Science},"{""Grade 5""}","{ELA,Science}","{""Grade 1"",""Grade 5""}",t,t,f
019eb11c-413b-7a66-a7d8-a18f14736ede,7891794271,Unit 8 Test: Classifying Plants and Animals,17,{Science},"{""Grade 3""}",{ELA},"{""Grade 4""}",t,t,f
019eb11c-413b-7a66-a7d8-a18f14736ede,7891742813,Unit 8 Test: Forces and Motion,17,{Science},"{""Grade 2""}","{ELA,Science}","{""Grade 2"",""Grade 3""}",t,t,f
019eb11c-413c-7ed9-872e-0fe5e9a947b6,8358079682,Chapter 16 Test: Fraction Concepts,16,{Math},"{""Grade 2""}","{Math,Reading}","{""Grade 2"",""Grade 3""}",t,t,f
019eb11c-413c-7ed9-872e-0fe5e9a947b6,7935427775,Chapter 17 Test: Classify Two-Dimensional Quadrilaterals and Identify Line Symmetry,13,{Math},"{""Grade 3""}","{Math,Reading}","{""Grade 2"",""Grade 3""}",t,t,f
019eb11c-413c-7ed9-872e-0fe5e9a947b6,8235331733,Make a Difference: Weekly Assessment: Week 2,14,{Reading},"{""Grade 3""}",{Reading},"{""Grade 2"",""Grade 3""}",f,t,f
