school_id,item_id,subject,grade,assessment_type,session,item_name
019eb11c-410a-7ffb-86e6-a0294c669670,7334632884,ELA,Grade 1,Lesson  Assessments,2024-25,"Module Assessment: Now You See It, Now You Don't"
019eb11c-410a-7ffb-86e6-a0294c669670,7334632919,ELA,Grade 1,Lesson  Assessments,2024-25,Celebrate America: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334632950,ELA,Grade 1,Lesson  Assessments,2024-25,Celebrate America: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334633019,ELA,Grade 1,Lesson  Assessments,2024-25,Module Assessment: Celebrate America
019eb11c-410a-7ffb-86e6-a0294c669670,7334633063,ELA,Grade 1,Assessments,2024-25,The Big Outdoors: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334633224,ELA,Grade 1,Lesson  Assessments,2024-25,Tell Me a Story: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334633284,ELA,Grade 1,Lesson  Assessments,2024-25,Tell Me a Story: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334633311,ELA,Grade 1,Lesson  Assessments,2024-25,Module Assessment: Tell Me a Story
019eb11c-410a-7ffb-86e6-a0294c669670,7334633366,ELA,Grade 1,Lesson  Assessments,2024-25,Nice to Meet You!: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334633419,ELA,Grade 1,Lesson  Assessments,2024-25,Nice to Meet You!: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334633464,ELA,Grade 1,Lesson  Assessments,2024-25,Nice to Meet You!: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334633495,ELA,Grade 1,Unit-Chap  Assessments,2024-25,Module Assessment: Nice to Meet You!
019eb11c-410a-7ffb-86e6-a0294c669670,7334633556,ELA,Grade 1,Lesson  Assessments,2024-25,"My Family, My Community: Weekly Assessment: Week 2"
019eb11c-410a-7ffb-86e6-a0294c669670,7334633663,ELA,Grade 1,Unit-Chap  Assessments,2024-25,"Module Assessment: My Family, My Community"
019eb11c-410a-7ffb-86e6-a0294c669670,7334633690,ELA,Grade 1,Lesson  Assessments,2024-25,Amazing Animals: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334633737,ELA,Grade 1,Lesson  Assessments,2024-25,Amazing Animals: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334633763,ELA,Grade 1,Unit-Chap  Assessments,2024-25,Module Assessment: Amazing Animals
019eb11c-410a-7ffb-86e6-a0294c669670,7334633806,ELA,Grade 1,Lesson  Assessments,2024-25,Better Together: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334633825,ELA,Grade 1,Lesson  Assessments,2024-25,Better Together: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334633857,ELA,Grade 1,Lesson  Assessments,2024-25,Better Together: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334633878,ELA,Grade 1,Assessments,2024-25,Module Assessment: Better Together
019eb11c-410a-7ffb-86e6-a0294c669670,7334633906,ELA,Grade 1,Assessments,2024-25,"Now You See It, Now You Don't: Weekly Assessment: Week 1"
019eb11c-410a-7ffb-86e6-a0294c669670,7334633943,ELA,Grade 1,Lesson  Assessments,2024-25,"Now You See It, Now You Don't: Weekly Assessment: Week 2"
019eb11c-410a-7ffb-86e6-a0294c669670,7334633973,ELA,Grade 1,Lesson  Assessments,2024-25,"Now You See It, Now You Don't: Weekly Assessment: Week 3"
019eb11c-410a-7ffb-86e6-a0294c669670,7334634007,ELA,Grade 1,Lesson  Assessments,2024-25,"Module Assessment: Now You See It, Now You Don't"
019eb11c-410a-7ffb-86e6-a0294c669670,7334634065,ELA,Grade 1,Lesson  Assessments,2024-25,Celebrate America: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334634115,ELA,Grade 1,Lesson  Assessments,2024-25,Celebrate America: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334634189,ELA,Grade 1,Lesson  Assessments,2024-25,Module Assessment: Celebrate America
019eb11c-410a-7ffb-86e6-a0294c669670,7334634237,ELA,Grade 1,Assessments,2024-25,The Big Outdoors: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334634386,ELA,Grade 1,Lesson  Assessments,2024-25,Tell Me a Story: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334634475,ELA,Grade 1,Lesson  Assessments,2024-25,Tell Me a Story: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334634502,ELA,Grade 1,Lesson  Assessments,2024-25,Module Assessment: Tell Me a Story
019eb11c-410a-7ffb-86e6-a0294c669670,7334634550,ELA,Grade 1,Lesson  Assessments,2024-25,Nice to Meet You!: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334634575,ELA,Grade 1,Lesson  Assessments,2024-25,Nice to Meet You!: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334634602,ELA,Grade 1,Lesson  Assessments,2024-25,Nice to Meet You!: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334634624,ELA,Grade 1,Unit-Chap  Assessments,2024-25,Module Assessment: Nice to Meet You!
019eb11c-410a-7ffb-86e6-a0294c669670,7334634701,ELA,Grade 1,Lesson  Assessments,2024-25,"My Family, My Community: Weekly Assessment: Week 2"
019eb11c-410a-7ffb-86e6-a0294c669670,7334634787,ELA,Grade 1,Unit-Chap  Assessments,2024-25,"Module Assessment: My Family, My Community"
019eb11c-410a-7ffb-86e6-a0294c669670,7334634835,ELA,Grade 1,Lesson  Assessments,2024-25,Amazing Animals: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334634965,ELA,Grade 1,Lesson  Assessments,2024-25,Amazing Animals: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334635009,ELA,Grade 1,Unit-Chap  Assessments,2024-25,Module Assessment: Amazing Animals
019eb11c-410a-7ffb-86e6-a0294c669670,7334635062,ELA,Grade 1,Lesson  Assessments,2024-25,Better Together: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334635084,ELA,Grade 1,Lesson  Assessments,2024-25,Better Together: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334635126,ELA,Grade 1,Lesson  Assessments,2024-25,Better Together: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334635166,ELA,Grade 1,Assessments,2024-25,Module Assessment: Better Together
019eb11c-410a-7ffb-86e6-a0294c669670,7334635223,ELA,Grade 1,Lesson  Assessments,2024-25,"Now You See It, Now You Don't: Weekly Assessment: Week 1"
019eb11c-410a-7ffb-86e6-a0294c669670,7334635298,ELA,Grade 1,Lesson  Assessments,2024-25,"Now You See It, Now You Don't: Weekly Assessment: Week 2"
019eb11c-410a-7ffb-86e6-a0294c669670,7334635372,ELA,Grade 1,Lesson  Assessments,2024-25,"Now You See It, Now You Don't: Weekly Assessment: Week 3"
019eb11c-410a-7ffb-86e6-a0294c669670,7334635437,ELA,Grade 1,Lesson  Assessments,2024-25,"Module Assessment: Now You See It, Now You Don't"
019eb11c-410a-7ffb-86e6-a0294c669670,7334635491,ELA,Grade 1,Lesson  Assessments,2024-25,Celebrate America: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334635533,ELA,Grade 1,Lesson  Assessments,2024-25,Celebrate America: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334635604,ELA,Grade 1,Lesson  Assessments,2024-25,Module Assessment: Celebrate America
019eb11c-410a-7ffb-86e6-a0294c669670,7334635662,ELA,Grade 1,Assessments,2024-25,The Big Outdoors: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334635860,ELA,Grade 1,Lesson  Assessments,2024-25,Tell Me a Story: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334635960,ELA,Grade 1,Lesson  Assessments,2024-25,Tell Me a Story: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334636009,ELA,Grade 1,Lesson  Assessments,2024-25,Module Assessment: Tell Me a Story
019eb11c-410a-7ffb-86e6-a0294c669670,7334677702,ELA,Grade 2,Lesson  Assessments,2024-25,Be a Super Citizen: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334677716,ELA,Grade 2,Lesson  Assessments,2024-25,Be a Super Citizen: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334677729,ELA,Grade 2,Lesson  Assessments,2024-25,Be a Super Citizen: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334677739,ELA,Grade 2,Unit-Chap  Assessments,2024-25,Module Assessment: Be a Super Citizen
019eb11c-410a-7ffb-86e6-a0294c669670,7334677764,ELA,Grade 2,Lesson  Assessments,2024-25,Look Around and Explore!: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334677815,ELA,Grade 2,Unit-Chap  Assessments,2024-25,Module Assessment: Look Around and Explore!
019eb11c-410a-7ffb-86e6-a0294c669670,7334677836,ELA,Grade 2,Lesson  Assessments,2024-25,Meet in the Middle: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334677866,ELA,Grade 2,Lesson  Assessments,2024-25,Meet in the Middle: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334677882,ELA,Grade 2,Unit-Chap  Assessments,2024-25,Module Assessment: Meet in the Middle
019eb11c-410a-7ffb-86e6-a0294c669670,7334677903,ELA,Grade 2,Lesson  Assessments,2024-25,Once Upon a Time: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334677923,ELA,Grade 2,Lesson  Assessments,2024-25,Once Upon a Time: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334677940,ELA,Grade 2,Lesson  Assessments,2024-25,Once Upon a Time: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334677961,ELA,Grade 2,Lesson  Assessments,2024-25,Module Assessment: Once Upon a Time
019eb11c-410a-7ffb-86e6-a0294c669670,7334677961,ELA,Grade 2,Assessments,2024-25,Module Assessment: Once Upon a Time
019eb11c-410a-7ffb-86e6-a0294c669670,7334677982,ELA,Grade 2,Assessments,2024-25,Lead the Way: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334678003,ELA,Grade 2,Lesson  Assessments,2024-25,Lead the Way: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334678025,ELA,Grade 2,Lesson  Assessments,2024-25,Lead the Way: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334678039,ELA,Grade 2,Lesson  Assessments,2024-25,Module Assessment: Lead the Way
019eb11c-410a-7ffb-86e6-a0294c669670,7334678059,ELA,Grade 2,Lesson  Assessments,2024-25,Weather Wise: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334678086,ELA,Grade 2,Lesson  Assessments,2024-25,Weather Wise: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334678155,ELA,Grade 2,Lesson  Assessments,2024-25,Module Assessment: Weather Wise
019eb11c-410a-7ffb-86e6-a0294c669670,7334678180,ELA,Grade 2,Assessments,2024-25,Everyone Has a Story: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334678220,ELA,Grade 2,Assessments,2024-25,Everyone Has a Story: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334679009,ELA,Grade 2,Lesson  Assessments,2024-25,Be a Super Citizen: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334679082,ELA,Grade 2,Lesson  Assessments,2024-25,Be a Super Citizen: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334679122,ELA,Grade 2,Lesson  Assessments,2024-25,Be a Super Citizen: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334679162,ELA,Grade 2,Unit-Chap  Assessments,2024-25,Module Assessment: Be a Super Citizen
019eb11c-410a-7ffb-86e6-a0294c669670,7334679235,ELA,Grade 2,Lesson  Assessments,2024-25,Look Around and Explore!: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334679306,ELA,Grade 2,Unit-Chap  Assessments,2024-25,Module Assessment: Look Around and Explore!
019eb11c-410a-7ffb-86e6-a0294c669670,7334679341,ELA,Grade 2,Lesson  Assessments,2024-25,Meet in the Middle: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334679392,ELA,Grade 2,Lesson  Assessments,2024-25,Meet in the Middle: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334679419,ELA,Grade 2,Unit-Chap  Assessments,2024-25,Module Assessment: Meet in the Middle
019eb11c-410a-7ffb-86e6-a0294c669670,7334679452,ELA,Grade 2,Lesson  Assessments,2024-25,Once Upon a Time: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334679487,ELA,Grade 2,Lesson  Assessments,2024-25,Once Upon a Time: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334679551,ELA,Grade 2,Lesson  Assessments,2024-25,Module Assessment: Once Upon a Time
019eb11c-410a-7ffb-86e6-a0294c669670,7334679587,ELA,Grade 2,Assessments,2024-25,Lead the Way: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334679618,ELA,Grade 2,Lesson  Assessments,2024-25,Lead the Way: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334679663,ELA,Grade 2,Lesson  Assessments,2024-25,Lead the Way: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334679687,ELA,Grade 2,Lesson  Assessments,2024-25,Module Assessment: Lead the Way
019eb11c-410a-7ffb-86e6-a0294c669670,7334679715,ELA,Grade 2,Lesson  Assessments,2024-25,Weather Wise: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334679736,ELA,Grade 2,Lesson  Assessments,2024-25,Weather Wise: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334679776,ELA,Grade 2,Lesson  Assessments,2024-25,Module Assessment: Weather Wise
019eb11c-410a-7ffb-86e6-a0294c669670,7334679791,ELA,Grade 2,Assessments,2024-25,Everyone Has a Story: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334679809,ELA,Grade 2,Lesson  Assessments,2024-25,Everyone Has a Story: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334679836,ELA,Grade 2,Lesson  Assessments,2024-25,Everyone Has a Story: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334679874,ELA,Grade 2,Lesson  Assessments,2024-25,Time to Grow!: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334679917,ELA,Grade 2,Lesson  Assessments,2024-25,Time to Grow!: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334679935,ELA,Grade 2,Lesson  Assessments,2024-25,Module Assessment: Time to Grow!
019eb11c-410a-7ffb-86e6-a0294c669670,7334680245,ELA,Grade 2,Lesson  Assessments,2024-25,Be a Super Citizen: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334680261,ELA,Grade 2,Lesson  Assessments,2024-25,Be a Super Citizen: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334680299,ELA,Grade 2,Lesson  Assessments,2024-25,Be a Super Citizen: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334680331,ELA,Grade 2,Unit-Chap  Assessments,2024-25,Module Assessment: Be a Super Citizen
019eb11c-410a-7ffb-86e6-a0294c669670,7334680366,ELA,Grade 2,Lesson  Assessments,2024-25,Look Around and Explore!: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334680413,ELA,Grade 2,Unit-Chap  Assessments,2024-25,Module Assessment: Look Around and Explore!
019eb11c-410a-7ffb-86e6-a0294c669670,7334680430,ELA,Grade 2,Lesson  Assessments,2024-25,Meet in the Middle: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334680475,ELA,Grade 2,Lesson  Assessments,2024-25,Meet in the Middle: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334680498,ELA,Grade 2,Unit-Chap  Assessments,2024-25,Module Assessment: Meet in the Middle
019eb11c-410a-7ffb-86e6-a0294c669670,7334680518,ELA,Grade 2,Lesson  Assessments,2024-25,Once Upon a Time: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334680536,ELA,Grade 2,Lesson  Assessments,2024-25,Once Upon a Time: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334680559,ELA,Grade 2,Lesson  Assessments,2024-25,Once Upon a Time: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334680580,ELA,Grade 2,Assessments,2024-25,Module Assessment: Once Upon a Time
019eb11c-410a-7ffb-86e6-a0294c669670,7334680590,ELA,Grade 2,Assessments,2024-25,Lead the Way: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334680610,ELA,Grade 2,Lesson  Assessments,2024-25,Lead the Way: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334680643,ELA,Grade 2,Lesson  Assessments,2024-25,Lead the Way: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334680664,ELA,Grade 2,Lesson  Assessments,2024-25,Module Assessment: Lead the Way
019eb11c-410a-7ffb-86e6-a0294c669670,7334680685,ELA,Grade 2,Lesson  Assessments,2024-25,Weather Wise: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334680706,ELA,Grade 2,Lesson  Assessments,2024-25,Weather Wise: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334680753,ELA,Grade 2,Lesson  Assessments,2024-25,Module Assessment: Weather Wise
019eb11c-410a-7ffb-86e6-a0294c669670,7334680779,ELA,Grade 2,Assessments,2024-25,Everyone Has a Story: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334680804,ELA,Grade 2,Lesson  Assessments,2024-25,Everyone Has a Story: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334680926,ELA,Grade 2,Lesson  Assessments,2024-25,Time to Grow!: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334680996,ELA,Grade 2,Lesson  Assessments,2024-25,Time to Grow!: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334681024,ELA,Grade 2,Lesson  Assessments,2024-25,Module Assessment: Time to Grow!
019eb11c-410a-7ffb-86e6-a0294c669670,7334738428,ELA,Grade 3,Lesson  Assessments,2024-25,What a Character!: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334738488,ELA,Grade 3,Lesson  Assessments,2024-25,What a Character!: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334738523,ELA,Grade 3,Lesson  Assessments,2024-25,What a Character!: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334738543,ELA,Grade 3,Unit-Chap  Assessments,2024-25,Module Assessment: What a Character!
019eb11c-410a-7ffb-86e6-a0294c669670,7334738602,ELA,Grade 3,Lesson  Assessments,2024-25,Use Your Words: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334738643,ELA,Grade 3,Lesson  Assessments,2024-25,Use Your Words: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334738663,ELA,Grade 3,Unit-Chap  Assessments,2024-25,Module Assessment: Use Your Words
019eb11c-410a-7ffb-86e6-a0294c669670,7334738724,ELA,Grade 3,Lesson  Assessments,2024-25,Let Freedom Ring!: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334738751,ELA,Grade 3,Lesson  Assessments,2024-25,Let Freedom Ring!: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334738785,ELA,Grade 3,Unit-Chap  Assessments,2024-25,Module Assessment: Let Freedom Ring!
019eb11c-410a-7ffb-86e6-a0294c669670,7334738820,ELA,Grade 3,Lesson  Assessments,2024-25,Stories on Stage: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334738857,ELA,Grade 3,Lesson  Assessments,2024-25,Stories on Stage: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334738893,ELA,Grade 3,Lesson  Assessments,2024-25,Stories on Stage: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334738908,ELA,Grade 3,Assessments,2024-25,Module Assessment: Stories on Stage
019eb11c-410a-7ffb-86e6-a0294c669670,7334738943,ELA,Grade 3,Assessments,2024-25,Teamwork: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334738972,ELA,Grade 3,Lesson  Assessments,2024-25,Teamwork: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334739018,ELA,Grade 3,Lesson  Assessments,2024-25,Teamwork: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334739045,ELA,Grade 3,Lesson  Assessments,2024-25,Module Assessment: Teamwork
019eb11c-410a-7ffb-86e6-a0294c669670,7334739094,ELA,Grade 3,Lesson  Assessments,2024-25,Animal Behaviors: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334739133,ELA,Grade 3,Lesson  Assessments,2024-25,Animal Behaviors: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334739203,ELA,Grade 3,Lesson  Assessments,2024-25,Module Assessment: Animal Behaviors
019eb11c-410a-7ffb-86e6-a0294c669670,7334739224,ELA,Grade 3,Assessments,2024-25,Make a Difference: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334739247,ELA,Grade 3,Lesson  Assessments,2024-25,Make a Difference: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334739542,ELA,Grade 3,Lesson  Assessments,2024-25,What a Character!: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334739567,ELA,Grade 3,Lesson  Assessments,2024-25,What a Character!: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334739599,ELA,Grade 3,Lesson  Assessments,2024-25,What a Character!: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334739629,ELA,Grade 3,Unit-Chap  Assessments,2024-25,Module Assessment: What a Character!
019eb11c-410a-7ffb-86e6-a0294c669670,7334739710,ELA,Grade 3,Lesson  Assessments,2024-25,Use Your Words: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334739746,ELA,Grade 3,Lesson  Assessments,2024-25,Use Your Words: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334739781,ELA,Grade 3,Lesson  Assessments,2024-25,Module Assessment: Use Your Words
019eb11c-410a-7ffb-86e6-a0294c669670,7334739781,ELA,Grade 3,Unit-Chap  Assessments,2024-25,Module Assessment: Use Your Words - 10/21/24
019eb11c-410a-7ffb-86e6-a0294c669670,7334739873,ELA,Grade 3,Lesson  Assessments,2024-25,Let Freedom Ring!: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334739935,ELA,Grade 3,Lesson  Assessments,2024-25,Let Freedom Ring!: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334739994,ELA,Grade 3,Unit-Chap  Assessments,2024-25,Module Assessment: Let Freedom Ring!
019eb11c-410a-7ffb-86e6-a0294c669670,7334740087,ELA,Grade 3,Lesson  Assessments,2024-25,Stories on Stage: Weekly Assessment: Week 1
019eb11c-410a-7ffb-86e6-a0294c669670,7334740162,ELA,Grade 3,Lesson  Assessments,2024-25,Stories on Stage: Weekly Assessment: Week 2
019eb11c-410a-7ffb-86e6-a0294c669670,7334740236,ELA,Grade 3,Lesson  Assessments,2024-25,Stories on Stage: Weekly Assessment: Week 3
019eb11c-410a-7ffb-86e6-a0294c669670,7334740293,ELA,Grade 3,Lesson  Assessments,2024-25,Module Assessment: Stories on Stage
019eb11c-410a-7ffb-86e6-a0294c669670,7334740354,ELA,Grade 3,Lesson  Assessments,2024-25,Teamwork: Weekly Assessment: Week 1
